Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-02-28,6.9958,6.9958,6.9958
2007-03-01,7.0019,7.0019,7.0019
2007-03-02,7.0637,7.0637,7.0637
2007-03-05,7.0801,7.0801,7.0801
2007-03-06,7.0953,7.0953,7.0953
2007-03-07,7.0528,7.0528,7.0528
2007-03-08,7.0456,7.0456,7.0456
2007-03-09,7.0667,7.0667,7.0667
2007-03-12,7.0918,7.0918,7.0918
2007-03-13,7.0526,7.0526,7.0526
2007-03-14,7.0272,7.0272,7.0272
2007-03-15,7.0182,7.0182,7.0182
2007-03-16,6.9674,6.9674,6.9674
2007-03-19,6.9693000000000005,6.9693000000000005,6.9693000000000005
2007-03-20,6.9875,6.9875,6.9875
2007-03-21,6.983,6.983,6.983
2007-03-22,6.9419,6.9419,6.9419
2007-03-23,6.9742,6.9742,6.9742
2007-03-26,7.0101,7.0101,7.0101
2007-03-27,6.983,6.983,6.983
2007-03-28,6.9611,6.9611,6.9611
2007-03-29,7.0111,7.0111,7.0111
2007-03-30,6.9827,6.9827,6.9827
2007-04-02,6.9854,6.9854,6.9854
2007-04-03,7.0225,7.0225,7.0225
2007-04-04,7.0178,7.0178,7.0178
2007-04-05,6.9636,6.9636,6.9636
2007-04-06,6.9241,6.9241,6.9241
2007-04-09,6.944,6.944,6.944
2007-04-10,6.9059,6.9059,6.9059
2007-04-11,6.8969000000000005,6.8969000000000005,6.8969000000000005
2007-04-12,6.8839999999999995,6.8839999999999995,6.8839999999999995
2007-04-13,6.8545,6.8545,6.8545
2007-04-16,6.8425,6.8425,6.8425
2007-04-17,6.8086,6.8086,6.8086
2007-04-18,6.7769,6.7769,6.7769
2007-04-19,6.7736,6.7736,6.7736
2007-04-20,6.7655,6.7655,6.7655
2007-04-23,6.7691,6.7691,6.7691
2007-04-24,6.7787,6.7787,6.7787
2007-04-25,6.7427,6.7427,6.7427
2007-04-26,6.7201,6.7201,6.7201
2007-04-27,6.7343,6.7343,6.7343
2007-04-30,6.7122,6.7122,6.7122
2007-05-01,6.6961,6.6961,6.6961
2007-05-02,6.727,6.727,6.727
2007-05-03,6.7148,6.7148,6.7148
2007-05-04,6.7491,6.7491,6.7491
2007-05-07,6.7414,6.7414,6.7414
2007-05-08,6.7318,6.7318,6.7318
2007-05-09,6.7874,6.7874,6.7874
2007-05-10,6.7981,6.7981,6.7981
2007-05-11,6.8524,6.8524,6.8524
2007-05-14,6.807,6.807,6.807
2007-05-15,6.7947,6.7947,6.7947
2007-05-16,6.7561,6.7561,6.7561
2007-05-17,6.8161000000000005,6.8161000000000005,6.8161000000000005
