Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2008-07-03,,,33.37
2008-07-04,,,33.43
2008-07-07,,,33.61
2008-07-08,,,33.69
2008-07-09,,,33.7
2008-07-10,,,33.68
2008-07-11,,,33.68
2008-07-14,,,33.65
2008-07-15,,,33.49
2008-07-16,,,33.52
2008-07-17,,,33.47
2008-07-18,,,33.43
2008-07-21,,,33.32
2008-07-22,,,33.36
2008-07-23,,,33.36
2008-07-24,,,33.47
2008-07-25,,,33.46
2008-07-28,,,33.45
2008-07-29,,,33.52
2008-07-30,,,33.49
2008-07-31,,,33.53
2008-08-01,,,33.54
2008-08-04,,,33.53
2008-08-05,,,33.61
2008-08-06,,,33.64
2008-08-07,,,33.64
2008-08-08,,,33.68
2008-08-11,,,33.73
2008-08-12,,,33.75
2008-08-13,,,33.67
2008-08-14,,,33.7
2008-08-15,,,33.79
2008-08-18,,,33.85
2008-08-19,,,33.99
2008-08-20,,,34.14
2008-08-21,,,34.08
2008-08-22,,,33.89
2008-08-25,,,34.12
2008-08-26,,,34.26
2008-08-27,,,34.12
2008-08-28,,,34.04
2008-08-29,,,34.18
2008-09-01,,,34.31
2008-09-02,,,34.47
2008-09-03,,,34.47
2008-09-04,,,34.43
2008-09-05,,,34.57
2008-09-08,,,34.43
2008-09-09,,,34.6
2008-09-10,,,34.61
2008-09-11,,,34.72
2008-09-12,,,34.74
2008-09-15,,,34.53
2008-09-16,,,34.28
2008-09-17,,,34.34
2008-09-18,,,34.13
2008-09-19,,,34.17
2008-09-22,,,33.93
2008-09-23,,,33.72
2008-09-24,,,33.98
2008-09-25,,,34.03
2008-09-26,,,33.98
2008-09-29,,,34.03
2008-09-30,,,34.04
2008-10-01,,,33.97
2008-10-02,,,34.05
2008-10-03,,,34.19
2008-10-06,,,34.36
2008-10-07,,,34.44
2008-10-08,,,34.54
2008-10-09,,,34.41
2008-10-10,,,34.4
2008-10-13,,,34.29
2008-10-14,,,34.1
2008-10-15,,,34.1
2008-10-16,,,34.29
2008-10-17,,,34.25
2008-10-20,,,34.24
2008-10-21,,,34.33
2008-10-22,,,34.46
2008-10-23,,,34.62
2008-10-24,,,34.67
2008-10-28,,,34.89
2008-10-29,,,34.88
2008-10-30,,,34.78
2008-10-31,,,35.02
2008-11-03,,,34.97
2008-11-04,,,34.99
2008-11-05,,,34.92
2008-11-06,,,35.06
2008-11-10,,,34.95
2008-11-11,,,34.91
2008-11-12,,,34.95
2008-11-13,,,35.07
2008-11-17,,,34.98
2008-11-18,,,35.02
2008-11-19,,,35.03
2008-11-20,,,35.11
2008-11-21,,,35.21
2008-11-24,,,35.22
2008-11-25,,,35.24
2008-11-26,,,35.3
2008-11-27,,,35.34
2008-11-28,,,35.48
2008-12-01,,,35.73
2008-12-02,,,35.66
2008-12-03,,,35.52
2008-12-04,,,35.68
2008-12-05,,,35.69
2008-12-08,,,35.65
2008-12-09,,,35.43
2008-12-10,,,35.42
2008-12-11,,,35.13
2008-12-12,,,35.04
2008-12-15,,,34.91
2008-12-16,,,34.82
2008-12-17,,,34.56
2008-12-18,,,34.43
2008-12-19,,,34.56
2008-12-22,,,34.56
2008-12-23,,,34.6
