Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-08-22,154.17,154.17,154.17
2007-08-28,157.46,157.46,157.46
2007-08-29,155.22,155.22,155.22
2007-08-30,157.45,157.45,157.45
2007-08-31,158.77,158.77,158.77
2007-09-03,158.42,158.42,158.42
2007-09-04,157.87,157.87,157.87
2007-09-05,157.26,157.26,157.26
2007-09-06,157.33,157.33,157.33
2007-09-07,157.37,157.37,157.37
2007-09-10,155.99,155.99,155.99
2007-09-11,156.93,156.93,156.93
2007-09-12,157.95,157.95,157.95
2007-09-13,158.68,158.68,158.68
2007-09-14,159.58,159.58,159.58
2007-09-17,159.99,159.99,159.99
2007-09-18,159.15,159.15,159.15
2007-09-19,161.96,161.96,161.96
2007-09-20,161.9,161.9,161.9
2007-09-21,161.8,161.8,161.8
2007-09-24,162.43,162.43,162.43
2007-09-25,161.53,161.53,161.53
2007-09-26,162.28,162.28,162.28
2007-09-27,163.36,163.36,163.36
2007-09-28,163.06,163.06,163.06
2007-10-01,164.06,164.06,164.06
2007-10-02,164.12,164.12,164.12
2007-10-03,163.96,163.96,163.96
2007-10-04,164.09,164.09,164.09
2007-10-05,164.75,164.75,164.75
2007-10-08,165.52,165.52,165.52
2007-10-09,164.35,164.35,164.35
2007-10-10,165.37,165.37,165.37
2007-10-11,166.16,166.16,166.16
2007-10-12,166.27,166.27,166.27
2007-10-15,166.76,166.76,166.76
2007-10-16,166.79,166.79,166.79
2007-10-17,164.92,164.92,164.92
2007-10-18,165.9,165.9,165.9
2007-10-19,164.56,164.56,164.56
2007-10-22,163.49,163.49,163.49
2007-10-23,162.76,162.76,162.76
2007-10-24,162.9,162.9,162.9
2007-10-25,162.49,162.49,162.49
2007-10-26,163.8,163.8,163.8
2007-10-29,164.67,164.67,164.67
2007-10-30,164.95,164.95,164.95
2007-10-31,165.61,165.61,165.61
2007-11-01,166.83,166.83,166.83
2007-11-02,165.4,165.4,165.4
2007-11-05,166.18,166.18,166.18
2007-11-06,166.18,166.18,166.18
2007-11-07,166.77,166.77,166.77
2007-11-08,164.95,164.95,164.95
2007-11-09,165.8,165.8,165.8
2007-11-12,161.59,161.59,161.59
2007-11-13,160.42,160.42,160.42
2007-11-14,162.92,162.92,162.92
2007-11-15,163.31,163.31,163.31
2007-11-16,160.99,160.99,160.99
2007-11-19,162.06,162.06,162.06
2007-11-20,161.97,161.97,161.97
2007-11-21,161.84,161.84,161.84
2007-11-22,161.91,161.91,161.91
2007-11-23,160.95,160.95,160.95
2007-11-26,160.86,160.86,160.86
2007-11-27,160.99,160.99,160.99
2007-11-28,160.7,160.7,160.7
2007-11-29,163.1,163.1,163.1
2007-11-30,162.6,162.6,162.6
2007-12-03,162.24,162.24,162.24
2007-12-04,161.63,161.63,161.63
2007-12-05,162.69,162.69,162.69
2007-12-06,162.03,162.03,162.03
2007-12-07,162.68,162.68,162.68
2007-12-10,163.66,163.66,163.66
2007-12-11,164.59,164.59,164.59
2007-12-12,163.05,163.05,163.05
2007-12-13,164.51,164.51,164.51
2007-12-14,164.61,164.61,164.61
