symbol,symbol1,SEHKENG,GICSCODE,GICSENG,LOTSIZE
1 HK Equity,00001.HK,Conglomerates,60,Real Estate,500
2 HK Equity,00002.HK,Utilities,55,Utilities,500
3 HK Equity,00003.HK,Utilities,55,Utilities,1000
4 HK Equity,00004.HK,Properties & Construction,60,Real Estate,1000
5 HK Equity,00005.HK,Financials,40,Financials,400
6 HK Equity,00006.HK,Utilities,55,Utilities,500
7 HK Equity,00007.HK,Properties & Construction,15,Materials,2000
8 HK Equity,00008.HK,Telecommunications,50,Communication Services,1000
9 HK Equity,00009.HK,Properties & Construction,60,Real Estate,6000
10 HK Equity,00010.HK,Properties & Construction,60,Real Estate,1000
11 HK Equity,00011.HK,Financials,40,Financials,100
12 HK Equity,00012.HK,Properties & Construction,60,Real Estate,1000
13 HK Equity,00013.HK,#N/A,#N/A,#N/A,#N/A
14 HK Equity,00014.HK,Properties & Construction,60,Real Estate,1000
15 HK Equity,00015.HK,Properties & Construction,20,Industrials,2000
16 HK Equity,00016.HK,Properties & Construction,60,Real Estate,500
17 HK Equity,00017.HK,Properties & Construction,60,Real Estate,1000
18 HK Equity,00018.HK,Consumer Discretionary,50,Communication Services,2000
19 HK Equity,00019.HK,Conglomerates,60,Real Estate,500
20 HK Equity,00020.HK,#N/A,#N/A,#N/A,#N/A
21 HK Equity,00021.HK,Properties & Construction,60,Real Estate,5000
22 HK Equity,00022.HK,Consumer Discretionary,25,Consumer Discretionary,40000
23 HK Equity,00023.HK,Financials,40,Financials,200
24 HK Equity,00024.HK,Materials,20,Industrials,2000
25 HK Equity,00025.HK,Conglomerates,20,Industrials,2000
26 HK Equity,00026.HK,Properties & Construction,60,Real Estate,200
27 HK Equity,00027.HK,Consumer Discretionary,25,Consumer Discretionary,1000
28 HK Equity,00028.HK,Properties & Construction,60,Real Estate,1000
29 HK Equity,00029.HK,Properties & Construction,60,Real Estate,2000
30 HK Equity,00030.HK,Consumer Staples,30,Consumer Staples,2000
31 HK Equity,00031.HK,Industrials,20,Industrials,2000
32 HK Equity,00032.HK,Consumer Discretionary,20,Industrials,1000
33 HK Equity,00033.HK,Consumer Discretionary,25,Consumer Discretionary,6000
34 HK Equity,00034.HK,Properties & Construction,60,Real Estate,1000
35 HK Equity,00035.HK,Properties & Construction,60,Real Estate,1000
36 HK Equity,00036.HK,Properties & Construction,25,Consumer Discretionary,3000
37 HK Equity,00037.HK,Properties & Construction,60,Real Estate,2000
38 HK Equity,00038.HK,Industrials,20,Industrials,2000
39 HK Equity,00039.HK,Consumer Staples,30,Consumer Staples,8000
40 HK Equity,00040.HK,Consumer Discretionary,45,Information Technology,1000
41 HK Equity,00041.HK,Properties & Construction,60,Real Estate,1000
42 HK Equity,00042.HK,Industrials,20,Industrials,2000
43 HK Equity,00043.HK,Consumer Staples,30,Consumer Staples,2000
44 HK Equity,00044.HK,#N/A,#N/A,#N/A,#N/A
45 HK Equity,00045.HK,Consumer Discretionary,25,Consumer Discretionary,500
46 HK Equity,00046.HK,Information Technology,45,Information Technology,2000
47 HK Equity,00047.HK,Consumer Discretionary,25,Consumer Discretionary,4000
48 HK Equity,00048.HK,Consumer Discretionary,25,Consumer Discretionary,10000
49 HK Equity,00049.HK,#N/A,#N/A,#N/A,#N/A
50 HK Equity,00050.HK,Properties & Construction,60,Real Estate,1000
51 HK Equity,00051.HK,Consumer Discretionary,60,Real Estate,1000
52 HK Equity,00052.HK,Consumer Discretionary,25,Consumer Discretionary,500
53 HK Equity,00053.HK,Properties & Construction,60,Real Estate,1000
54 HK Equity,00054.HK,#N/A,#N/A,#N/A,#N/A
55 HK Equity,00055.HK,Industrials,20,Industrials,10000
56 HK Equity,00056.HK,#N/A,#N/A,#N/A,#N/A
57 HK Equity,00057.HK,Industrials,20,Industrials,2000
58 HK Equity,00058.HK,Properties & Construction,15,Materials,20000
59 HK Equity,00059.HK,Properties & Construction,60,Real Estate,2000
60 HK Equity,00060.HK,Consumer Staples,30,Consumer Staples,2000
61 HK Equity,00061.HK,Energy,10,Energy,20000
62 HK Equity,00062.HK,Consumer Discretionary,20,Industrials,400
63 HK Equity,00063.HK,Properties & Construction,60,Real Estate,1000
64 HK Equity,00064.HK,Financials,40,Financials,2000
65 HK Equity,00065.HK,Energy,10,Energy,4000
66 HK Equity,00066.HK,Consumer Discretionary,20,Industrials,500
67 HK Equity,00067.HK,Materials,15,Materials,2000
68 HK Equity,00068.HK,Financials,40,Financials,1000
69 HK Equity,00069.HK,Consumer Discretionary,25,Consumer Discretionary,2000
70 HK Equity,00070.HK,Consumer Discretionary,25,Consumer Discretionary,10000
71 HK Equity,00071.HK,Consumer Discretionary,25,Consumer Discretionary,1000
72 HK Equity,00072.HK,Consumer Discretionary,50,Communication Services,2000
73 HK Equity,00073.HK,Consumer Staples,30,Consumer Staples,1000
74 HK Equity,00074.HK,#N/A,#N/A,#N/A,#N/A
75 HK Equity,00075.HK,Properties & Construction,60,Real Estate,2000
76 HK Equity,00076.HK,Industrials,45,Information Technology,4000
77 HK Equity,00077.HK,Consumer Discretionary,20,Industrials,2000
78 HK Equity,00078.HK,Consumer Discretionary,25,Consumer Discretionary,2000
79 HK Equity,00079.HK,Consumer Discretionary,25,Consumer Discretionary,4000
80 HK Equity,00080.HK,Financials,40,Financials,10000
81 HK Equity,00081.HK,Properties & Construction,60,Real Estate,1000
82 HK Equity,00082.HK,Information Technology,45,Information Technology,2000
83 HK Equity,00083.HK,Properties & Construction,60,Real Estate,2000
84 HK Equity,00084.HK,Consumer Discretionary,25,Consumer Discretionary,1000
85 HK Equity,00085.HK,Information Technology,45,Information Technology,2000
86 HK Equity,00086.HK,Financials,40,Financials,1000
87 HK Equity,00087.HK,Conglomerates,40,Financials,2500
88 HK Equity,00088.HK,Properties & Construction,60,Real Estate,1000
89 HK Equity,00089.HK,Properties & Construction,60,Real Estate,1000
90 HK Equity,00090.HK,Utilities,55,Utilities,2000
91 HK Equity,00091.HK,Energy,45,Information Technology,10000
92 HK Equity,00092.HK,Information Technology,45,Information Technology,6000
93 HK Equity,00093.HK,Properties & Construction,60,Real Estate,2000
94 HK Equity,00094.HK,Materials,15,Materials,2000
95 HK Equity,00095.HK,Properties & Construction,60,Real Estate,2000
96 HK Equity,00096.HK,Industrials,20,Industrials,2000
97 HK Equity,00097.HK,Consumer Discretionary,25,Consumer Discretionary,1000
98 HK Equity,00098.HK,Materials,15,Materials,1000
99 HK Equity,00099.HK,Industrials,45,Information Technology,1000
100 HK Equity,00100.HK,Consumer Discretionary,50,Communication Services,1000
101 HK Equity,00101.HK,Properties & Construction,60,Real Estate,1000
102 HK Equity,00102.HK,Consumer Discretionary,25,Consumer Discretionary,2000
103 HK Equity,00103.HK,Industrials,15,Materials,2000
104 HK Equity,00104.HK,Consumer Discretionary,25,Consumer Discretionary,5000
105 HK Equity,00105.HK,Properties & Construction,60,Real Estate,2000
106 HK Equity,00106.HK,Properties & Construction,60,Real Estate,4000
107 HK Equity,00107.HK,Industrials,20,Industrials,2000
108 HK Equity,00108.HK,Properties & Construction,20,Industrials,2000
109 HK Equity,00109.HK,Financials,40,Financials,10000
110 HK Equity,00110.HK,Information Technology,45,Information Technology,2000
111 HK Equity,00111.HK,Financials,40,Financials,2000
112 HK Equity,00112.HK,Properties & Construction,60,Real Estate,2000
113 HK Equity,00113.HK,Consumer Discretionary,25,Consumer Discretionary,500
114 HK Equity,00114.HK,Consumer Discretionary,25,Consumer Discretionary,5000
115 HK Equity,00115.HK,Properties & Construction,60,Real Estate,10000
116 HK Equity,00116.HK,Consumer Discretionary,25,Consumer Discretionary,1000
117 HK Equity,00117.HK,Industrials,45,Information Technology,2000
118 HK Equity,00118.HK,Industrials,20,Industrials,2000
119 HK Equity,00119.HK,Properties & Construction,60,Real Estate,1000
120 HK Equity,00120.HK,Properties & Construction,60,Real Estate,2000
121 HK Equity,00121.HK,#N/A,#N/A,#N/A,#N/A
122 HK Equity,00122.HK,Consumer Discretionary,25,Consumer Discretionary,1000
123 HK Equity,00123.HK,Properties & Construction,60,Real Estate,2000
124 HK Equity,00124.HK,Properties & Construction,60,Real Estate,2000
125 HK Equity,00125.HK,Consumer Discretionary,25,Consumer Discretionary,2000
126 HK Equity,00126.HK,Consumer Discretionary,25,Consumer Discretionary,2000
127 HK Equity,00127.HK,Properties & Construction,60,Real Estate,500
128 HK Equity,00128.HK,Consumer Discretionary,25,Consumer Discretionary,4000
129 HK Equity,00129.HK,Financials,60,Real Estate,2000
130 HK Equity,00130.HK,Consumer Discretionary,25,Consumer Discretionary,2000
131 HK Equity,00131.HK,Properties & Construction,60,Real Estate,1000
132 HK Equity,00132.HK,Conglomerates,20,Industrials,1000
133 HK Equity,00133.HK,Financials,40,Financials,2000
135 HK Equity,00135.HK,Utilities,10,Energy,2000
136 HK Equity,00136.HK,Information Technology,45,Information Technology,4000
137 HK Equity,00137.HK,Industrials,20,Industrials,1000
138 HK Equity,00138.HK,Consumer Discretionary,20,Industrials,2000
139 HK Equity,00139.HK,Financials,40,Financials,14000
140 HK Equity,00140.HK,#N/A,#N/A,#N/A,#N/A
141 HK Equity,00141.HK,Properties & Construction,60,Real Estate,2000
142 HK Equity,00142.HK,Consumer Staples,40,Financials,2000
143 HK Equity,00143.HK,Information Technology,45,Information Technology,2000
144 HK Equity,00144.HK,Industrials,20,Industrials,2000
145 HK Equity,00145.HK,Consumer Discretionary,20,Industrials,8000
146 HK Equity,00146.HK,Consumer Discretionary,25,Consumer Discretionary,1000
147 HK Equity,00147.HK,Properties & Construction,60,Real Estate,5000
148 HK Equity,00148.HK,Industrials,20,Industrials,500
149 HK Equity,00149.HK,Properties & Construction,60,Real Estate,5000
150 HK Equity,00150.HK,Consumer Discretionary,20,Industrials,2500
151 HK Equity,00151.HK,Consumer Staples,30,Consumer Staples,1000
152 HK Equity,00152.HK,Industrials,20,Industrials,500
153 HK Equity,00153.HK,Properties & Construction,20,Industrials,2000
154 HK Equity,00154.HK,Industrials,20,Industrials,1000
155 HK Equity,00155.HK,Industrials,20,Industrials,10000
156 HK Equity,00156.HK,Consumer Discretionary,25,Consumer Discretionary,10000
157 HK Equity,00157.HK,Consumer Discretionary,30,Consumer Staples,10000
158 HK Equity,00158.HK,Properties & Construction,60,Real Estate,500
159 HK Equity,00159.HK,Materials,15,Materials,4000
160 HK Equity,00160.HK,Properties & Construction,60,Real Estate,2000
