symbol,industry
000001.SZ,1000012612000000 
000002.SZ,6118000000000000 
000006.SZ,6118000000000000 
000008.SZ,6107000000000000 
000009.SZ,6123000000000000 
000012.SZ,6106010000000000 
600519.SH,6112000000000000 
000019.SZ,6120000000000000 
000021.SZ,6108000000000000 
000858.SZ,6112000000000000 
000027.SZ,6116000000000000 
600276.SH,6115000000000000 
000029.SZ,6118000000000000 
000333.SZ,6111000000000000 
000031.SZ,6118000000000000 
000032.SZ,1000012611000000 
000034.SZ,1000012601000000 
000035.SZ,6116000000000000 
000039.SZ,6107000000000000 
000046.SZ,6118000000000000 
000049.SZ,6108000000000000 
000050.SZ,6108000000000000 
000058.SZ,6120000000000000 
000059.SZ,6103000000000000 
000060.SZ,6105000000000000 
603288.SH,6112000000000000 
000062.SZ,6108000000000000 
000063.SZ,1000012611000000 
000065.SZ,6106020000000000 
000066.SZ,1000012601000000 
601888.SH,6121000000000000 
000070.SZ,1000012611000000 
000089.SZ,6117000000000000 
000090.SZ,6118000000000000 
000100.SZ,6108000000000000 
000651.SZ,6111000000000000 
000157.SZ,6107000000000000 
000158.SZ,1000012601000000 
000166.SZ,1000012613000000 
000301.SZ,6103000000000000 
002714.SZ,6101000000000000 
000338.SZ,1000012588000000 
000400.SZ,6107010000000000 
000401.SZ,6106010000000000 
000402.SZ,6118000000000000 
000413.SZ,6108000000000000 
000415.SZ,1000012613000000 
300122.SZ,6115000000000000 
000425.SZ,6107000000000000 
000488.SZ,6114000000000000 
002594.SZ,1000012588000000 
000661.SZ,6115000000000000 
000517.SZ,6118000000000000 
000519.SZ,1000012579000000 
000528.SZ,6107000000000000 
000537.SZ,6118000000000000 
300015.SZ,6115000000000000 
000540.SZ,6118000000000000 
000543.SZ,6116000000000000 
000544.SZ,6116000000000000 
000546.SZ,6106010000000000 
000547.SZ,1000012579000000 
600887.SH,6112000000000000 
000553.SZ,6103000000000000 
000555.SZ,1000012601000000 
600104.SH,1000012588000000 
000560.SZ,6118000000000000 
000563.SZ,1000012613000000 
002304.SZ,6112000000000000 
002607.SZ,6122010000000000 
000895.SZ,6112000000000000 
000582.SZ,6117000000000000 
000591.SZ,6116000000000000 
000568.SZ,6112000000000000 
300601.SZ,6115000000000000 
000598.SZ,6116000000000000 
000600.SZ,6116000000000000 
000601.SZ,6116000000000000 
000603.SZ,6105000000000000 
000617.SZ,1000012613000000 
000620.SZ,6118000000000000 
000538.SZ,6115000000000000 
300498.SZ,6101000000000000 
000627.SZ,1000012613000000 
000629.SZ,6102000000000000 
000630.SZ,6105000000000000 
600196.SH,6115000000000000 
600809.SH,6112000000000000 
000652.SZ,6123000000000000 
000656.SZ,6118000000000000 
600436.SH,6115000000000000 
000667.SZ,6118000000000000 
000671.SZ,6118000000000000 
000672.SZ,6106010000000000 
000676.SZ,6122010000000000 
000876.SZ,6101000000000000 
000682.SZ,6107010000000000 
000683.SZ,6103000000000000 
000685.SZ,6116000000000000 
000686.SZ,1000012613000000 
000688.SZ,6105000000000000 
000690.SZ,6116000000000000 
300413.SZ,6122010000000000 
000703.SZ,6103000000000000 
000708.SZ,6104000000000000 
000709.SZ,6104000000000000 
300142.SZ,6115000000000000 
000712.SZ,1000012613000000 
000717.SZ,6104000000000000 
000718.SZ,6118000000000000 
600690.SH,6111000000000000 
000720.SZ,6116000000000000 
000723.SZ,6102000000000000 
000725.SZ,6108000000000000 
000728.SZ,1000012613000000 
600438.SH,6107010000000000 
000732.SZ,6118000000000000 
000733.SZ,6108000000000000 
601633.SH,1000012588000000 
000738.SZ,1000012579000000 
002007.SZ,6115000000000000 
000750.SZ,1000012613000000 
000758.SZ,6105000000000000 
300347.SZ,6115000000000000 
000768.SZ,1000012579000000 
000776.SZ,1000012613000000 
000778.SZ,6104000000000000 
000783.SZ,1000012613000000 
600600.SH,6112000000000000 
000786.SZ,6106010000000000 
000789.SZ,6106010000000000 
002311.SZ,6101000000000000 
000795.SZ,6105000000000000 
002024.SZ,6120000000000000 
601238.SH,1000012588000000 
002027.SZ,6122010000000000 
601933.SH,6120000000000000 
000807.SZ,6105000000000000 
000810.SZ,6111000000000000 
000818.SZ,6103000000000000 
000823.SZ,6108000000000000 
000825.SZ,6104000000000000 
000826.SZ,6116000000000000 
000829.SZ,6120000000000000 
000830.SZ,6103000000000000 
000831.SZ,6105000000000000 
000596.SZ,6112000000000000 
002032.SZ,6111000000000000 
600741.SH,1000012588000000 
000800.SZ,1000012588000000 
600660.SH,1000012588000000 
000875.SZ,6116000000000000 
000069.SZ,6118000000000000 
000877.SZ,6106010000000000 
000878.SZ,6105000000000000 
000881.SZ,6103000000000000 
000883.SZ,6116000000000000 
600872.SH,6112000000000000 
000889.SZ,1000012611000000 
600298.SH,6101000000000000 
000898.SZ,6104000000000000 
000900.SZ,6117000000000000 
603369.SH,6112000000000000 
000902.SZ,6103000000000000 
000903.SZ,1000012588000000 
000910.SZ,6114000000000000 
000912.SZ,6103000000000000 
000785.SZ,6120000000000000 
000923.SZ,6102000000000000 
000930.SZ,6101000000000000 
300003.SZ,6115000000000000 
000932.SZ,6104000000000000 
000933.SZ,6105000000000000 
000935.SZ,6106010000000000 
000936.SZ,6103000000000000 
000937.SZ,6102000000000000 
000938.SZ,1000012601000000 
603658.SH,6115000000000000 
000951.SZ,1000012588000000 
000958.SZ,6116000000000000 
000959.SZ,6104000000000000 
000960.SZ,6105000000000000 
000961.SZ,6118000000000000 
002252.SZ,6115000000000000 
000967.SZ,6116000000000000 
000968.SZ,6102000000000000 
000969.SZ,6105000000000000 
000970.SZ,6105000000000000 
000975.SZ,6105000000000000 
000976.SZ,6107000000000000 
000977.SZ,1000012601000000 
000983.SZ,6102000000000000 
000987.SZ,1000012613000000 
000988.SZ,6108000000000000 
000990.SZ,6103000000000000 
000997.SZ,1000012601000000 
002157.SZ,6101000000000000 
002001.SZ,6115000000000000 
001979.SZ,6118000000000000 
002044.SZ,6115000000000000 
002002.SZ,6103000000000000 
002004.SZ,6103000000000000 
300529.SZ,6115000000000000 
002008.SZ,6108000000000000 
002010.SZ,6117000000000000 
002013.SZ,1000012579000000 
002015.SZ,6116000000000000 
002016.SZ,6118000000000000 
002017.SZ,1000012611000000 
600161.SH,6115000000000000 
600332.SH,6115000000000000 
300558.SZ,6115000000000000 
002023.SZ,1000012579000000 
300144.SZ,6121000000000000 
002025.SZ,1000012579000000 
002127.SZ,6120000000000000 
002028.SZ,6107010000000000 
600763.SH,6115000000000000 
