symbol,gicsector,gicgroup,gicind,gicsubind,standard_ind,LOTSIZE
A,35,3520,352030,35203010,3826,1
AA.3,15,1510,151040,15104010,3720,1
AA,15,1510,151040,15104010,3330,1
AAAB.,40,4010,401010,40101010,6020,1
AAAP,35,3520,352010,35201010,2836,1
AABA,25,2550,255020,25502020,7370,1
AABC,40,4010,401020,40102010,6035,1
AAC.1,20,2020,202010,20201070,7389,1
AACC,40,4020,402020,40202010,6153,1
AACE.,40,4020,402020,40202010,6099,1
AACG,25,2530,253020,25302010,8200,1
AACQW,15,1510,151030,15103020,2670,1
AAI,20,2030,203020,20302010,4512,1
AAL,20,2030,203020,20302010,4512,1
AALCP,20,2010,201070,20107010,7359,1
AAMC,60,6010,601020,60102040,6500,1
AAME,40,4030,403010,40301030,6321,1
AAN,25,2550,255040,25504060,7359,1
AANB,40,4010,401010,40101015,6020,1
AAOI,45,4520,452010,45201020,3674,1
AAON,20,2010,201020,20102010,3585,1
AAP..,25,2550,255020,25502010,5122,1
AAP,25,2550,255040,25504050,5531,1
AAPL,45,4520,452020,45202030,3663,1
AAR,20,2010,201070,20107010,7359,1
AAT,60,6010,601010,60101010,6798,1
AATI,45,4530,453010,45301020,3674,1
AATK,45,4520,452010,45201020,3444,1
AAU,15,1510,151040,15104020,1000,1
AAWW,20,2030,203010,20301010,4522,1
AAXN,20,2010,201010,20101010,3480,1
AB,40,4020,402030,40203010,6799,1
ABA,20,2030,203010,20301010,4513,1
ABAN,10,1010,101020,10102020,1311,1
ABAX,35,3510,351010,35101010,3845,1
ABB,20,2010,201040,20104010,3613,1
ABBC,40,4010,401020,40102010,6035,1
ABBK,40,4010,401020,40102010,6036,1
ABBV,35,3520,352010,35201010,2836,1
ABC,35,3510,351020,35102010,5122,1
ABCB,40,4010,401010,40101015,6020,1
ABCD,25,2530,253020,25302010,7370,1
ABCL,40,4010,401010,40101010,6035,1
ABCO,20,2020,202020,20202020,8742,1
ABCW,40,4010,401020,40102010,6035,1
ABDC,40,4020,402030,40203010,6797,1
ABEO,35,3520,352010,35201010,2836,1
ABEV,30,3020,302010,30201010,2082,1
ABF,20,2030,203010,20301010,4513,1
ABG.2,25,2540,254010,25401020,4841,1
ABG,25,2550,255040,25504050,5500,1
ABGX,35,3520,352010,35201010,2836,1
ABI.3,35,3520,352030,35203010,2835,1
ABII,35,3520,352010,35201010,2836,1
ABIO,35,3520,352010,35201010,2836,1
ABLX,25,2540,254010,25401040,6200,1
ABM,20,2020,202010,20201050,7340,1
ABMD,35,3510,351010,35101010,3841,1
ABNJ,40,4010,401020,40102010,6035,1
ABNK.1,40,4010,401010,40101015,6020,1
ABR,40,4020,402040,40204010,6798,1
ABR.PA,40,4020,402030,40203010,6282,1
ABR.PB,25,2530,253010,25301010,7990,1
ABR.PC,40,4020,402020,40202010,6141,1
ABS.1,30,3010,301010,30101030,5411,1
ABSC,35,3520,352010,35201010,3826,1
ABT,35,3510,351010,35101010,3845,1
ABTX,40,4010,401010,40101015,6020,1
ABUS,35,3520,352010,35201010,2836,1
ABV,55,5510,551010,55101010,4911,1
ABVA,40,4010,401010,40101015,6020,1
ABVT,50,5010,501010,50101010,4899,1
ABW.PA,60,6010,601010,60101010,6798,1
ABY.2,15,1510,151050,15105020,2621,1
AC,40,4020,402030,40203010,6200,1
ACA,20,2010,201030,20103010,3440,1
ACAD,35,3520,352010,35201010,2836,1
ACAM.1,35,3510,351020,35102015,8071,1
ACAP.1,40,4030,403010,40301040,6351,1
ACAS,40,4020,402030,40203010,6797,1
ACAT,25,2520,252020,25202010,3790,1
ACB,35,3520,352020,35202010,2834,1
ACBA,40,4010,401010,40101015,6020,1
ACBI,40,4010,401010,40101015,6020,1
ACC,60,6010,601010,60101060,6798,1
ACCD.1,45,4520,452010,45201020,3661,1
ACCD,35,3510,351030,35103010,7370,1
ACCL,45,4510,451030,45103010,7372,1
ACCO,20,2020,202010,20201060,2780,1
