,NAME,HKSE,SEHKENG,GICS,GICSCODE,GICSENG,LOTSIZE
00001.HK,长和,综合企业,Conglomerates,房地产,60,Real Estate,500
00002.HK,中电控股,公用事业,Utilities,公用事业,55,Utilities,500
00003.HK,香港中华煤气,公用事业,Utilities,公用事业,55,Utilities,1000
00004.HK,九龙仓集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00005.HK,汇丰控股,金融业,Financials,金融,40,Financials,400
00006.HK,电能实业,公用事业,Utilities,公用事业,55,Utilities,500
00007.HK,香港金融集团,地产建筑业,Properties & Construction,原材料,15,Materials,2000
00008.HK,电讯盈科,电讯业,Telecommunications,通讯服务,50,Communication Services,1000
00009.HK,金奥国际,地产建筑业,Properties & Construction,房地产,60,Real Estate,6000
00010.HK,恒隆集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00011.HK,恒生银行,金融业,Financials,金融,40,Financials,100
00012.HK,恒基地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00014.HK,希慎兴业,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00015.HK,盈信控股,地产建筑业,Properties & Construction,工业,20,Industrials,2000
00016.HK,新鸿基地产,地产建筑业,Properties & Construction,房地产,60,Real Estate,500
00017.HK,新世界发展,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00018.HK,东方报业集团,非必需性消费,Consumer Discretionary,通讯服务,50,Communication Services,2000
00019.HK,太古股份公司A,综合企业,Conglomerates,房地产,60,Real Estate,500
00021.HK,大中华地产控股,地产建筑业,Properties & Construction,房地产,60,Real Estate,5000
00022.HK,茂盛控股,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,40000
00023.HK,东亚银行,金融业,Financials,金融,40,Financials,200
00024.HK,宝威控股,原材料业,Materials,工业,20,Industrials,2000
00025.HK,CHEVALIER INT'L,综合企业,Conglomerates,工业,20,Industrials,2000
00026.HK,中华汽车,地产建筑业,Properties & Construction,房地产,60,Real Estate,200
00027.HK,银河娱乐,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,1000
00028.HK,天安,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00029.HK,达力集团,地产建筑业,Properties & Construction,房地产,60,Real Estate,2000
00030.HK,万隆控股集团,必需性消费,Consumer Staples,日常消费品,30,Consumer Staples,2000
00031.HK,航天控股,工业,Industrials,工业,20,Industrials,2000
00032.HK,港通控股,非必需性消费,Consumer Discretionary,工业,20,Industrials,1000
00033.HK,安山金控,非必需性消费,Consumer Discretionary,非日常生活消费品,25,Consumer Discretionary,6000
00034.HK,九龙建业,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00035.HK,远东发展,地产建筑业,Properties & Construction,房地产,60,Real Estate,1000
00036.HK,远东控股国际,地产建筑业,Properties & Construction,非日常生活消费品,25,Consumer Discretionary,3000
