,SPBDUB3T Index,SBMMTB3 Index
,PX_LAST,PX_LAST
date,,
2013-01-01,215.737,622.056
2013-01-02,215.732,622.0583
2013-01-03,215.732,622.0595
2013-01-04,215.734,622.0607
2013-01-05,215.734,622.0607
2013-01-06,215.734,622.0607
2013-01-07,215.734,622.0641
2013-01-08,215.735,622.0652
2013-01-09,215.737,622.0664
2013-01-10,215.735,622.0676
2013-01-11,215.735,622.0687
2013-01-12,215.735,622.0687
2013-01-13,215.735,622.0687
2013-01-14,215.732,622.0722
2013-01-15,215.728,622.0734
2013-01-16,215.731,622.0745
2013-01-17,215.733,622.0756
2013-01-18,215.737,622.0768
2013-01-19,215.737,622.0768
2013-01-20,215.737,622.0768
2013-01-21,215.737,622.0803
2013-01-22,215.739,622.0814
2013-01-23,215.739,622.0826
2013-01-24,215.738,622.0837
2013-01-25,215.741,622.0848
2013-01-26,215.741,622.0848
2013-01-27,215.741,622.0848
2013-01-28,215.743,622.0883
2013-01-29,215.744,622.0895
2013-01-30,215.743,622.0906
2013-01-31,215.743,622.0918
2013-02-01,215.744,622.0928
2013-02-02,215.744,622.0928
2013-02-03,215.744,622.0928
2013-02-04,215.744,622.0958
2013-02-05,215.744,622.0968
2013-02-06,215.744,622.0978
2013-02-07,215.745,622.0988
2013-02-08,215.745,622.0999
2013-02-09,215.745,622.0999
2013-02-10,215.745,622.0999
2013-02-11,215.743,622.1028
2013-02-12,215.743,622.1039
2013-02-13,215.74,622.1049
2013-02-14,215.737,622.1059
2013-02-15,215.741,622.1069
2013-02-16,215.741,622.1069
2013-02-17,215.741,622.1069
2013-02-18,215.741,622.1099
2013-02-19,215.739,622.1109
2013-02-20,215.74,622.1119
2013-02-21,215.74,622.1129
2013-02-22,215.742,622.114
2013-02-23,215.742,622.114
2013-02-24,215.742,622.114
2013-02-25,215.744,622.1169
2013-02-26,215.746,622.118
2013-02-27,215.747,622.119
2013-02-28,215.749,622.12
2013-03-01,215.751,622.1212
2013-03-02,215.751,622.1212
2013-03-03,215.751,622.1212
2013-03-04,215.753,622.1248
2013-03-05,215.754,622.126
2013-03-06,215.753,622.1273
2013-03-07,215.752,622.1285
2013-03-08,215.755,622.1297
2013-03-09,215.755,622.1297
2013-03-10,215.755,622.1297
2013-03-11,215.755,622.1333
2013-03-12,215.755,622.1345
2013-03-13,215.758,622.1357
2013-03-14,215.759,622.1369
2013-03-15,215.762,622.1381
2013-03-16,215.762,622.1381
2013-03-17,215.762,622.1381
2013-03-18,215.762,622.1418
2013-03-19,215.763,622.143
2013-03-20,215.764,622.1442
2013-03-21,215.764,622.1454
2013-03-22,215.766,622.1466
2013-03-23,215.766,622.1466
2013-03-24,215.766,622.1466
2013-03-25,215.766,622.1502
2013-03-26,215.766,622.1514
2013-03-27,215.766,622.1526
2013-03-28,215.769,622.1539
2013-03-29,215.769,622.1575
2013-03-30,215.769,622.1575
2013-03-31,215.769,622.1575
2013-04-01,215.768,622.1589
2013-04-02,215.769,622.1603
2013-04-03,215.77,622.1616
2013-04-04,215.77,622.163
2013-04-05,215.773,622.1644
2013-04-06,215.773,622.1644
2013-04-07,215.773,622.1644
2013-04-08,215.772,622.1686
