Date,000016.SH,000905.SH,CBA00101.CS,CCFI.WI,CCCI.FMM,H11025.CSI,885009.WI
2000-01-04,,,,518.1491,,,
2000-01-05,,,,512.2134,,,
2000-01-06,,,,515.235,,,
2000-01-07,,,,516.0869,,,
2000-01-10,,,,516.0869,,,
2000-01-11,,,,516.0869,,,
2000-01-12,,,,515.6266,,,
2000-01-13,,,,520.3332,,,
2000-01-14,,,,521.1203,,,
2000-01-17,,,,522.551,,,
2000-01-18,,,,526.2101,,,
2000-01-19,,,,525.8359,,,
2000-01-20,,,,526.2595,,,
2000-01-21,,,,525.766,,,
2000-01-24,,,,526.4973,,,
2000-01-25,,,,523.3359,,,
2000-01-26,,,,522.6315,,,
2000-01-27,,,,524.3085,,,
2000-01-28,,,,524.4347,,,
2000-02-14,,,,526.7084,,,
2000-02-15,,,,524.8212,,,
2000-02-16,,,,516.9124,,,
2000-02-17,,,,517.1085,,,
2000-02-18,,,,519.2723,,,
2000-02-21,,,,518.293,,,
2000-02-22,,,,513.5561,,,
2000-02-23,,,,516.5471,,,
2000-02-24,,,,519.2697,,,
2000-02-25,,,,518.8481,,,
2000-02-28,,,,514.0613,,,
2000-02-29,,,,500.3474,,,
2000-03-01,,,,500.1262,,,
2000-03-02,,,,500.9511,,,
2000-03-03,,,,500.6293,,,
2000-03-06,,,,500.3032,,,
2000-03-07,,,,499.8773,,,
2000-03-08,,,,488.8407,,,
2000-03-09,,,,489.8887,,,
2000-03-10,,,,495.1116,,,
2000-03-13,,,,491.0139,,,
2000-03-14,,,,490.1098,,,
2000-03-15,,,,494.2754,,,
2000-03-16,,,,497.7723,,,
2000-03-17,,,,499.1332,,,
2000-03-20,,,,499.0801,,,
2000-03-21,,,,496.2094,,,
2000-03-22,,,,499.2555,,,
2000-03-23,,,,495.0968,,,
2000-03-24,,,,495.819,,,
2000-03-27,,,,494.4119,,,
2000-03-28,,,,492.6075,,,
2000-03-29,,,,494.0939,,,
2000-03-30,,,,492.9524,,,
2000-03-31,,,,492.9865,,,
2000-04-03,,,,492.1851,,,
2000-04-04,,,,489.4675,,,
2000-04-05,,,,481.8401,,,
