,0,1,2,3,4,5,6,7
1991-12-31,新兴市场股票,全球高收益债券,美国小型股票,房地产信托,美国大型股票,美国综合债券,发达市场股票,商品
1992-12-31,美国小型股票,全球高收益债券,房地产信托,新兴市场股票,美国大型股票,美国综合债券,商品,发达市场股票
1993-12-31,新兴市场股票,发达市场股票,全球高收益债券,房地产信托,美国小型股票,美国大型股票,美国综合债券,商品
1994-12-31,商品,发达市场股票,房地产信托,美国大型股票,美国小型股票,美国综合债券,全球高收益债券,新兴市场股票
1995-12-31,美国大型股票,美国小型股票,全球高收益债券,美国综合债券,房地产信托,商品,发达市场股票,新兴市场股票
1996-12-31,房地产信托,商品,美国大型股票,全球高收益债券,美国小型股票,发达市场股票,新兴市场股票,美国综合债券
1997-12-31,美国大型股票,美国小型股票,房地产信托,全球高收益债券,美国综合债券,发达市场股票,商品,新兴市场股票
1998-12-31,美国大型股票,发达市场股票,美国综合债券,美国小型股票,全球高收益债券,房地产信托,新兴市场股票,商品
1999-12-31,新兴市场股票,发达市场股票,商品,美国小型股票,美国大型股票,全球高收益债券,美国综合债券,房地产信托
2000-12-31,商品,房地产信托,美国综合债券,全球高收益债券,美国小型股票,美国大型股票,发达市场股票,新兴市场股票
2001-12-31,房地产信托,美国综合债券,美国小型股票,全球高收益债券,新兴市场股票,美国大型股票,商品,发达市场股票
2002-12-31,商品,美国综合债券,全球高收益债券,房地产信托,新兴市场股票,发达市场股票,美国小型股票,美国大型股票
2003-12-31,新兴市场股票,美国小型股票,发达市场股票,房地产信托,全球高收益债券,美国大型股票,商品,美国综合债券
2004-12-31,房地产信托,新兴市场股票,发达市场股票,美国小型股票,全球高收益债券,美国大型股票,商品,美国综合债券
2005-12-31,新兴市场股票,商品,发达市场股票,房地产信托,美国大型股票,美国小型股票,全球高收益债券,美国综合债券
2006-12-31,房地产信托,新兴市场股票,发达市场股票,美国小型股票,美国大型股票,全球高收益债券,美国综合债券,商品
2007-12-31,新兴市场股票,商品,发达市场股票,美国综合债券,美国大型股票,全球高收益债券,美国小型股票,房地产信托
2008-12-31,美国综合债券,全球高收益债券,美国小型股票,商品,美国大型股票,房地产信托,发达市场股票,新兴市场股票
2009-12-31,新兴市场股票,全球高收益债券,发达市场股票,房地产信托,美国小型股票,美国大型股票,商品,美国综合债券
2010-12-31,房地产信托,美国小型股票,新兴市场股票,商品,美国大型股票,全球高收益债券,发达市场股票,美国综合债券
2011-12-31,房地产信托,美国综合债券,全球高收益债券,美国大型股票,美国小型股票,发达市场股票,商品,新兴市场股票
2012-12-31,全球高收益债券,新兴市场股票,房地产信托,发达市场股票,美国小型股票,美国大型股票,美国综合债券,商品
2013-12-31,美国小型股票,美国大型股票,发达市场股票,全球高收益债券,房地产信托,美国综合债券,新兴市场股票,商品
2014-12-31,房地产信托,美国大型股票,美国综合债券,美国小型股票,全球高收益债券,新兴市场股票,发达市场股票,商品
2015-12-31,房地产信托,美国大型股票,美国综合债券,发达市场股票,全球高收益债券,美国小型股票,新兴市场股票,商品
2016-12-31,美国小型股票,全球高收益债券,美国大型股票,商品,新兴市场股票,房地产信托,美国综合债券,发达市场股票
2017-12-31,新兴市场股票,发达市场股票,美国大型股票,美国小型股票,全球高收益债券,房地产信托,美国综合债券,商品
2018-10-31,美国大型股票,美国小型股票,房地产信托,美国综合债券,全球高收益债券,商品,发达市场股票,新兴市场股票
