,0,1,2,3,4,5,6,7
1991-12-31,EM Equity,High Yield,Small cap,REITs,Large cap,Fixed Income,DM Equity,Comdty
1992-12-31,Small cap,High Yield,REITs,EM Equity,Large cap,Fixed Income,Comdty,DM Equity
1993-12-31,EM Equity,DM Equity,High Yield,REITs,Small cap,Large cap,Fixed Income,Comdty
1994-12-31,Comdty,DM Equity,REITs,Large cap,Small cap,Fixed Income,High Yield,EM Equity
1995-12-31,Large cap,Small cap,High Yield,Fixed Income,REITs,Comdty,DM Equity,EM Equity
1996-12-31,REITs,Comdty,Large cap,High Yield,Small cap,DM Equity,EM Equity,Fixed Income
1997-12-31,Large cap,Small cap,REITs,High Yield,Fixed Income,DM Equity,Comdty,EM Equity
1998-12-31,Large cap,DM Equity,Fixed Income,Small cap,High Yield,REITs,EM Equity,Comdty
1999-12-31,EM Equity,DM Equity,Comdty,Small cap,Large cap,High Yield,Fixed Income,REITs
2000-12-31,Comdty,REITs,Fixed Income,High Yield,Small cap,Large cap,DM Equity,EM Equity
2001-12-31,REITs,Fixed Income,Small cap,High Yield,EM Equity,Large cap,Comdty,DM Equity
2002-12-31,Comdty,Fixed Income,High Yield,REITs,EM Equity,DM Equity,Small cap,Large cap
2003-12-31,EM Equity,Small cap,DM Equity,REITs,High Yield,Large cap,Comdty,Fixed Income
2004-12-31,REITs,EM Equity,DM Equity,Small cap,High Yield,Large cap,Comdty,Fixed Income
2005-12-31,EM Equity,Comdty,DM Equity,REITs,Large cap,Small cap,High Yield,Fixed Income
2006-12-31,REITs,EM Equity,DM Equity,Small cap,Large cap,High Yield,Fixed Income,Comdty
2007-12-31,EM Equity,Comdty,DM Equity,Fixed Income,Large cap,High Yield,Small cap,REITs
2008-12-31,Fixed Income,High Yield,Small cap,Comdty,Large cap,REITs,DM Equity,EM Equity
2009-12-31,EM Equity,High Yield,DM Equity,REITs,Small cap,Large cap,Comdty,Fixed Income
2010-12-31,REITs,Small cap,EM Equity,Comdty,Large cap,High Yield,DM Equity,Fixed Income
2011-12-31,REITs,Fixed Income,High Yield,Large cap,Small cap,DM Equity,Comdty,EM Equity
2012-12-31,High Yield,EM Equity,REITs,DM Equity,Small cap,Large cap,Fixed Income,Comdty
2013-12-31,Small cap,Large cap,DM Equity,High Yield,REITs,Fixed Income,EM Equity,Comdty
2014-12-31,REITs,Large cap,Fixed Income,Small cap,High Yield,EM Equity,DM Equity,Comdty
2015-12-31,REITs,Large cap,Fixed Income,DM Equity,High Yield,Small cap,EM Equity,Comdty
2016-12-31,Small cap,High Yield,Large cap,Comdty,EM Equity,REITs,Fixed Income,DM Equity
2017-12-31,EM Equity,DM Equity,Large cap,Small cap,High Yield,REITs,Fixed Income,Comdty
2018-10-31,Large cap,Small cap,REITs,Fixed Income,High Yield,Comdty,DM Equity,EM Equity
