,MSEUACWF INDEX,LEGATRUU INDEX
,PX_LAST,PX_LAST
date,,
1/1/2015,417.121,456.5313
2/1/2015,415.918,455.936
3/1/2015,415.918,455.936
4/1/2015,415.918,455.936
5/1/2015,408.01,455.639
6/1/2015,404.051,457.3734
7/1/2015,406.058,455.1824
8/1/2015,413.842,454.7009
9/1/2015,411.688,456.3424
10/1/2015,411.688,456.3424
11/1/2015,411.688,456.3424
12/1/2015,409.874,456.9791
13/1/2015,410.394,457.1202
14/1/2015,407.404,459.2567
15/1/2015,406.951,458.1975
16/1/2015,409.62,456.6238
17/1/2015,409.62,456.6238
18/1/2015,409.62,456.6238
19/1/2015,410.872,458.3619
20/1/2015,411.825,457.2412
21/1/2015,414.656,456.9202
22/1/2015,418.52,454.5694
23/1/2015,418.255,454.1833
24/1/2015,418.255,454.1833
25/1/2015,418.255,454.1833
26/1/2015,419.21,453.6292
27/1/2015,417.738,456.0836
28/1/2015,413.918,455.9706
29/1/2015,414.41,454.9329
30/1/2015,410.328,455.8092
31/1/2015,410.328,455.8092
1/2/2015,410.328,455.8092
2/2/2015,414.105,456.7804
3/2/2015,419.243,456.5171
4/2/2015,419.418,455.9785
5/2/2015,422.185,456.3415
6/2/2015,420.502,453.0467
7/2/2015,420.502,453.0467
8/2/2015,420.502,453.0467
9/2/2015,418.861,452.9493
10/2/2015,421.129,451.4557
11/2/2015,419.946,450.3554
12/2/2015,424.691,452.5661
13/2/2015,427.786,452.9675
14/2/2015,427.786,452.9675
15/2/2015,427.786,452.9675
16/2/2015,427.83,452.7181
17/2/2015,428.199,451.3523
18/2/2015,429.212,451.409
19/2/2015,429.602,451.6786
20/2/2015,431.166,451.575
21/2/2015,431.166,451.575
22/2/2015,431.166,451.575
23/2/2015,431.618,452.1333
24/2/2015,432.817,452.7851
25/2/2015,433.463,454.2561
26/2/2015,432.881,452.0495
27/2/2015,432.474,452.1183
28/2/2015,432.474,452.1183
1/3/2015,432.474,452.1183
2/3/2015,433.21,450.2848
3/3/2015,431.351,449.7471
4/3/2015,429.226,448.0189
5/3/2015,429.769,447.6152
6/3/2015,424.861,443.2629
7/3/2015,424.861,443.2629
8/3/2015,424.861,443.2629
9/3/2015,424.286,443.5955
10/3/2015,417.179,442.9397
11/3/2015,416.763,441.7809
12/3/2015,420.91,442.8786
13/3/2015,418.58,441.1022
14/3/2015,418.58,441.1022
15/3/2015,418.58,441.1022
16/3/2015,423.058,442.0288
17/3/2015,422.688,442.2709
18/3/2015,426.855,444.5856
19/3/2015,426.618,445.0231
20/3/2015,431.908,448.3908
21/3/2015,431.908,448.3908
22/3/2015,431.908,448.3908
23/3/2015,432.925,450.3513
24/3/2015,431.833,450.3993
25/3/2015,428.254,451.4327
26/3/2015,425.103,449.6975
27/3/2015,424.888,449.6165
28/3/2015,424.888,449.6165
29/3/2015,424.888,449.6165
30/3/2015,428.107,448.1121
31/3/2015,424.758,447.7604
1/4/2015,424.555,449.0041
2/4/2015,427.453,450.0479
3/4/2015,427.718,450.5219
4/4/2015,427.718,450.5219
5/4/2015,427.718,450.5219
6/4/2015,431.353,450.7975
7/4/2015,431.317,449.9592
8/4/2015,432.469,449.7084
