date,equity,bond
2015-01-01,3533.7,154.7911
2015-01-02,3533.7,154.7911
2015-01-03,3533.7,154.7911
2015-01-04,3533.7,154.8306
2015-01-05,3641.54,154.8531
2015-01-06,3641.06,154.8165
2015-01-07,3643.79,154.8858
2015-01-08,3559.26,154.9183
2015-01-09,3546.72,154.9136
2015-01-10,3546.72,154.9136
2015-01-11,3546.72,154.9136
2015-01-12,3513.58,154.996
2015-01-13,3514.04,155.4417
2015-01-14,3502.42,155.8225
2015-01-15,3604.12,155.8071
2015-01-16,3635.15,156.216
2015-01-17,3635.15,156.216
2015-01-18,3635.15,156.216
2015-01-19,3355.16,156.4364
2015-01-20,3396.22,156.5222
2015-01-21,3548.89,156.6067
2015-01-22,3567.61,156.7665
2015-01-23,3571.73,156.8245
2015-01-24,3571.73,156.8245
2015-01-25,3571.73,156.8245
2015-01-26,3607.99,157.0748
2015-01-27,3574.93,157.0817
2015-01-28,3525.32,156.8466
2015-01-29,3481.8,156.6749
2015-01-30,3434.39,156.6248
2015-01-31,3434.39,156.6248
2015-02-01,3434.39,156.6248
2015-02-02,3353.96,156.8762
2015-02-03,3437.45,157.046
2015-02-04,3401.77,157.0793
2015-02-05,3366.95,157.5063
2015-02-06,3312.42,157.3189
2015-02-07,3312.42,157.3189
2015-02-08,3312.42,157.3189
2015-02-09,3345.92,157.4733
2015-02-10,3406.94,157.5093
2015-02-11,3434.12,157.84
2015-02-12,3442.87,157.977
2015-02-13,3469.83,157.977
2015-02-14,3469.83,157.977
2015-02-15,3469.83,157.977
2015-02-16,3499.48,158.4587
2015-02-17,3522.32,158.4625
2015-02-18,3522.32,158.4625
2015-02-19,3522.32,158.4625
2015-02-20,3522.32,158.4625
2015-02-21,3522.32,158.4625
2015-02-22,3522.32,158.4625
2015-02-23,3522.32,158.4625
2015-02-24,3522.32,158.4625
2015-02-25,3478.73,158.6209
2015-02-26,3566.3,158.5235
2015-02-27,3572.84,158.3785
2015-02-28,3572.84,158.472
2015-03-01,3572.84,158.472
2015-03-02,3601.26,158.2397
2015-03-03,3507.9,158.1188
2015-03-04,3530.82,158.1315
2015-03-05,3496.34,157.7078
2015-03-06,3478.52,157.4568
2015-03-07,3478.52,157.4568
2015-03-08,3478.52,157.4568
2015-03-09,3537.75,157.2457
2015-03-10,3520.61,157.1674
2015-03-11,3524.65,157.7561
2015-03-12,3592.84,157.86
2015-03-13,3617.66,157.5241
2015-03-14,3617.66,157.5241
2015-03-15,3617.66,157.5241
2015-03-16,3705.67,157.2184
2015-03-17,3757.12,157.1355
2015-03-18,3846.05,157.0709
2015-03-19,3839.74,157.0295
2015-03-20,3892.57,157.2358
2015-03-21,3892.57,157.2358
2015-03-22,3892.57,157.2358
2015-03-23,3972.06,157.245
2015-03-24,3973.05,157.1733
2015-03-25,3940.41,157.1194
2015-03-26,3950,156.6379
2015-03-27,3971.7,156.4886
2015-03-28,3971.7,156.4886
2015-03-29,3971.7,156.4886
