,2822 HK EQUITY,3140 HK EQUITY,3141 HK EQUITY,BNDX US EQUITY,SCHF US EQUITY,VWO US Equity
Australia,,,0.182001,2.760502,6.076525,
Austria,,,,1.399419,0.237596,
Belgium,,,,2.201964,0.896772,
Bermuda,,0.038668,0.096421,0.009569,0.033567,
Brazil,,,,0.00579,,6.711324
British Virgin Islands,,,24.02322,0.022643,,
Bulgaria,,,,0.047615,,
Canada,,,1.361479,6.05698,7.24476,0.000132
Cayman Islands,,,15.30897,0.135357,,
Chile,,,,0.043828,0.025249,1.226237
China,99.18494,,8.614731,0.102634,0.12512,29.995227
Colombia,,,,0.005963,,0.462731
Czech Republic,,,,0.198499,,0.201458
Denmark,,,,0.793229,1.413518,
Egypt,,,,,,0.203743
Finland,,,,0.737696,1.118929,
France,,,,12.203803,8.79487,
Germany,,,,10.309561,7.950043,
Greece,,,,,,0.360829
Guernsey,,,,0.007816,,
Hong Kong,,,8.103441,0.018777,2.867603,4.0365
Hungary,,,,0.094652,,0.308471
India,,,5.537014,,,10.580887
Indonesia,,,9.672627,0.495707,,2.088885
Ireland,,1.134084,,0.745571,0.539089,
Isle of Man,,,0.43516,,0.040767,0.006587
Israel,,,,0.226096,0.495725,
Italy,,,,7.454015,1.807944,
Japan,,,,20.18913,22.879681,
Jersey,,,,0.13877,0.047081,
Jordan,,,,,0.020013,
Kuwait,,,,,,0.239382
Latvia,,,,0.003435,,
Liechtenstein,,,,0.000963,,
Lithuania,,,,0.016055,,
Luxembourg,,,,1.197689,0.276723,
Macau,,,,,0.092756,
Malaysia,,,2.408268,0.580199,,3.194128
Malta,,,,,,0.016401
Mexico,,,,0.848075,0.011527,3.581881
Morocco,,,,0.004564,,
Netherlands,,,0.90793,3.891216,3.92585,
New Zealand,,,,0.223175,0.240594,
Norway,,,,0.691551,0.65097,
Pakistan,,,,,,0.198735
Panama,,,,0.021238,,0.003983
Peru,,,,0.026132,,0.348139
Philippines,,,4.51472,,,1.204809
Poland,,,,0.509493,0.296195,0.01413
Portugal,,,,0.653592,0.132886,
Qatar,,,,,,0.949141
Romania,,,,0.082986,,0.058719
Russia,,,,0.253065,0.034106,3.751499
Singapore,,,3.948196,0.424541,1.060348,0.014379
Slovakia,,,,0.170767,,
Slovenia,,,,0.103025,,
South Africa,,,,,0.035799,6.349575
South Korea,,,11.5502,2.831277,4.166655,
Spain,,,,5.399862,2.551419,
Sweden,,,,1.27852,2.196422,
Switzerland,,0.405197,,1.265726,7.528377,
Taiwan,,,,,,14.64973
Thailand,,,1.248917,0.631078,,4.060652
Turkey,,,,,,0.698279
U.A.E.,,,,0.008375,0.022311,0.85821
U.K.,,0.424775,,7.040592,12.952786,0.06178
U.S.,,97.71259,0.846759,2.710153,0.649612,0.110316
