,2822 HK EQUITY,3140 HK EQUITY,3141 HK EQUITY,BNDX US EQUITY,SCHF US EQUITY,VWO US Equity
Basic Materials,0.825244,1.942784,3.177698,0.361497,7.1655,6.776059
Communications,2.16676,14.69038,7.127002,1.254619,5.782014,17.060698
"Consumer, Cyclical",8.482483,8.268952,2.031686,1.098789,12.271464,7.389
"Consumer, Non-cyclical",14.9914,22.10442,0.727814,2.182788,22.122527,9.563273
Diversified,,,2.595503,0.049387,0.505107,1.149307
Energy,2.828164,5.977331,14.86688,0.822243,7.017968,8.423651
Financial,59.65068,17.50785,36.84701,13.892714,23.783122,26.359772
Government,,,19.08921,76.872503,0.051547,0.100074
Industrial,7.543054,9.465886,2.800093,1.079511,12.348427,8.287761
Technology,1.369764,16.95079,,0.265581,5.178016,8.708401
Utilities,1.327395,2.806912,9.497158,1.925172,3.214492,2.728881
