,NAME,SHORT_NAME,SECURITY_NAME,NAME_CHINESE_SIMPLIFIED,SECURITY_DES,INDX_DES,DATA TYPE,TOTAL_RETURN_TYPE,SECURITY_TYP
ABTRHK Index,iBoxx ABF Hong Kong,iBoxx ABF Hong Kong,iBoxx ABF Hong Kong Total Retu,iBoxx ABF Hong Kong Total Re,ABTRHK,iBoxx ABF Hong Kong TR,Total Return,,Fixed Income Index
CFIIC50L Index,Chinese GBI 5-10yrs LCL,Chinese GBI 5-10yrs LCL,FTSE Chinese Government Bond I,FTSE Chinese Government Bond,CFIIC50L,FTSE Chinese Government Bond Index 5-10 Years in LCL terms,Total Return,,Fixed Income Index
CSICU013 Index,CSICU013,CSICU013,iShare300 Consumer Staple net,iShare300 Consumer Staple ne,CSICU013,CSI300 Consumer Staples Net TR HKD. The index has been discontinued.,,,Equity Index
CSIN0300 Index,CSI 300 Net Return Index,CSI 300 Net Return Index,CSI 300 Net Return Index,沪深300净回报指数,CSIN0300,"CSI 300 Net Return Index in CNY. For USD versions, please refers to CSIN0301 Index (onshore RMB rate USDCNY), and CSIH0749 Index (offshore RMB rate USDCNH).",Total Return,,Equity Index
CSIR0905 Index,CSI Small Cap 500 TR,CSI Small Cap 500 TR,CSI Small Cap 500 Total Return,CSI Small Cap 500 Total Retu,CSIR0905,CSI Smallcap 500 Total Return Index,Total Return,,Equity Index
DAX Index,DAX INDEX,DAX INDEX,Deutsche Boerse AG German Stoc,德国DAX 30指数,DAX,"The German Stock Index is a total return index of 30 selected German blue chip stocks traded on the Frankfurt Stock Exchange. The equities use free float shares in the index calculation. The DAX has a base value of 1,000 as of December 31, 1987. As of June 18, 1999 only XETRA equity prices are used to calculate all DAX indices.",Total Return,Gross Return,Equity Index
DAXK Index,DAX PRICE INDEX,DAX PRICE INDEX,Deutsche Borse AG German Stock,德国证交所德国股票价格指数DA,DAXK,"The German Stock Price Index a is price index using the same weightings as the DAX Index, but not including dividends. The DAX Price Index has a base value of 1,000 as of December 31, 1987.",Price Return,,Equity Index
FTJPEURN Index,FTSE Dev Eur DiverFacNTR,FTSE Dev Eur DiverFacNTR,JPMorgan Diversified Factor Eu,JPMorgan Diversified Factor,FTJPEURN,"The FTSE Developed Europe Diversified Factor Index is comprised of large and mid cap equity securities selected from the FTSE Developed Europe Index, and use a rules-based risk allocation and multi-factor selection process developed in partnership with J.P. Morgan Asset Management.",Total Return,,Equity Index
FTS5DEUR Index,FTSE  Dev Europe TR USD,FTSE  Dev Europe TR USD,FTSE Developed Europe Total Re,FTSE Developed Europe Total,FTS5DEUR,FTSE Developed Europe Total Return Index,Total Return,,Equity Index
GDDLEAFE Index,MSCI Daily TR Gross EAFE,MSCI Daily TR Gross EAFE,MSCI EAFE Gross Total Return L,MSCI EAFE Gross Total Return,GDDLEAFE,<H>Priced in MSCI LCL Currency; Calculations involving conversions are not fully supported.</H>  MSCI Daily Total Return Gross EAFE Local.,Total Return,Gross Return,Equity Index
GDDUEAFE Index,MSCI Daily TR Gross EAFE,MSCI Daily TR Gross EAFE,MSCI Daily TR Gross EAFE USD,MSCI Daily TR Gross EAFE USD,GDDUEAFE,"For the developed markets, indices with dividends reinvested provide an estimate of total return that would be achieved by reinvesting one twelfth of the annual yield reported at every month-end. The series with gross dividends reinvested takes into account actual dividends before withholding taxes, but excludes special tax credits declared by the companies.",Total Return,,Equity Index
GDLEACWF Index,MSCI AC World Daily TR G,MSCI AC World Daily TR G,MSCI ACWI Gross Total Return L,MSCI ACWI Gross Total Return,GDLEACWF,<H>Priced in MSCI LCL Currency; Calculations involving conversions are not fully supported.</H>  MSCI AC World Daily Total Return Gross Local. This information may not be reproduced or redisseminated without prior written permission from Morgan Stanley Capital International.,Total Return,Gross Return,Equity Index
GDLEEGF Index,MSCI Daily TR Gross Emer,MSCI Daily TR Gross Emer,MSCI EM Gross Total Return Loc,MSCI EM Gross Total Return L,GDLEEGF,MSCI Daily Total Return Gross Emerging Markets EM Local. This information may not be reproduced or redisseminated without prior written permission from Morgan Stanley Capital International.,Total Return,Gross Return,Equity Index
HSI1N Index,Hang Seng Index NR Index,Hang Seng Index NR Index,Hang Seng Index Net Total Retu,恒生指数净额总回报指数,HSI1N,Hang Seng Index Net Total Return Index,Total Return,,Equity Index
M1EA Index,MSCI EAFE NR,MSCI EAFE NR,MSCI EAFE Net Total Return USD,MSCI EAFE净回报美元指数,M1EA,"The MSCI EAFE Net Index is a free-float weighted equity index. The MSCI EAFE region covers DM countries in Europe, Australasia, Israel, and the Far East.",Total Return,Net Return,Equity Index
M1EF Index,MSCI EM NR,MSCI EM NR,MSCI Emerging Markets Net Tota,MSCI新兴市场净回报美元指数,M1EF,The MSCI Em (Emerging Markets) Net Index is a free float weighted equity index.,Total Return,Net Return,Equity Index
M1WD Index,MSCI AC WORLD  NR,MSCI AC WORLD  NR,MSCI ACWI Net Total Return USD,MSCI欧洲净回报美元指数,M1WD,"The MSCI ACWI Net Return USD Index is a free-float weighted equity index. MXWD includes both emerging and developed world markets. For developed markets only, please see MXWO.",Total Return,Net Return,Equity Index
M1WDU Index,MSCI AC WORLD ex USA NR,MSCI AC WORLD ex USA NR,MSCI ACWI ex USA Net Total Ret,MSCI所有国家全球除美国净回报,M1WDU,The MSCI AC World Index ex USA USD Net Total Return Index is a free-float weighted equity index,Total Return,Net Return,Equity Index
M2APJ Index,MSCI AC ASIA PACx JP GR,MSCI AC ASIA PACx JP GR,MSCI AC Asia Pacific ex Japan,MSCI AC Asia Pacific ex Japa,M2APJ,The MSCI AC Asia Pacific excluding Japan USD Gross Total Return Index is a free-float weighted equity index,Total Return,Gross Return,Equity Index
