,portfolio_value_0.2,portfolio_value_0.3,portfolio_value_0.4,portfolio_value_0.5,portfolio_value_0.6,portfolio_value_0.7,portfolio_value_0.8
2014-12-31,1,1,1,1,1,1,1
2015-01-05,1.01039917,1.01273509,1.01506998,1.01738268,1.01974118,1.02215559,1.02457013
2015-01-06,1.01140416,1.01473043,1.01805533,1.02126865,1.02429049,1.02731872,1.03047012
2015-01-07,1.01160203,1.01445176,1.0173004,1.02005623,1.02268098,1.02532499,1.0280564
2015-01-08,1.00668228,1.00878257,1.01088182,1.01281226,1.0144136,1.01600288,1.01778981
2015-01-09,1.00701403,1.00910625,1.01119756,1.013162,1.01486682,1.01655456,1.01839571
2015-01-12,1.0055718,1.00798965,1.01040641,1.0126322,1.01445497,1.01624681,1.01827241
2015-01-13,1.00768955,1.01059746,1.01350401,1.01614042,1.01824995,1.0203394,1.02273476
2015-01-14,1.00754687,1.00962674,1.01170571,1.01356493,1.01499612,1.01640824,1.0180633
2015-01-15,1.01466287,1.01826006,1.02185608,1.02533474,1.02861287,1.03189376,1.03529225
2015-01-16,1.01819583,1.02242434,1.02665157,1.03071352,1.03454763,1.03841191,1.04240591
2015-01-19,0.9993222,0.99943792,0.9995532,0.999294,0.99831244,0.99728755,0.99663949
2015-01-20,1.00635162,1.00819218,1.01003135,1.01139936,1.0118217,1.0121702,1.01302083
2015-01-21,1.01710621,1.02153085,1.02595349,1.03001058,1.03335051,1.03663844,1.04030904
2015-01-22,1.01945189,1.0244589,1.02946366,1.03405382,1.03783391,1.04155333,1.04570017
2015-01-23,1.01739461,1.02202231,1.02664804,1.03094486,1.03456968,1.03812732,1.0420356
2015-01-26,1.02008317,1.02559586,1.03110624,1.03621024,1.04053953,1.04481863,1.04950576
2015-01-27,1.01769659,1.02279901,1.02789919,1.03254258,1.03629908,1.03999473,1.04416382
2015-01-28,1.01275699,1.01697466,1.0211904,1.02494527,1.02778923,1.03056541,1.03382854
2015-01-29,1.00929339,1.01244295,1.01559095,1.0182538,1.01997731,1.0216453,1.02381974
2015-01-30,1.0063355,1.00885401,1.01137099,1.01338842,1.01441264,1.01537152,1.01687218
2015-02-02,1.00044468,1.00247574,1.00450531,1.00594115,1.00617411,1.00631563,1.00710602
2015-02-03,1.00651234,1.01023116,1.01394825,1.01710307,1.01914469,1.02111334,1.02368428
2015-02-04,1.00505517,1.00800198,1.01094741,1.0132845,1.01447859,1.01562998,1.0174032
2015-02-05,1.002763,1.00520317,1.00764214,1.00946915,1.01011177,1.01069045,1.01190871
2015-02-06,0.998291,0.9998846,1.00147725,1.00249917,1.00235312,1.00212003,1.0025234
2015-02-09,0.99948519,1.00136397,1.00324173,1.00461743,1.00497016,1.00525448,1.00610523
2015-02-10,1.00405632,1.00708867,1.01011973,1.01262525,1.01409288,1.01550246,1.01748606
2015-02-11,1.00735077,1.01106915,1.01478593,1.01794282,1.01998731,1.02195841,1.02453597
2015-02-12,1.00933369,1.01352636,1.01771714,1.02132489,1.02376175,1.02610895,1.02908724
2015-02-13,1.01330035,1.01810555,1.02290867,1.02708847,1.03003252,1.03288617,1.03640219
2015-02-16,1.01835694,1.02423077,1.0301022,1.03526673,1.03905419,1.04274877,1.04717688
2015-02-17,1.0217392,1.02836174,1.03498164,1.04086694,1.04536597,1.04979834,1.05497732
2015-02-25,1.01964766,1.02518045,1.03071079,1.03548518,1.03884769,1.04215402,1.04622537
2015-02-26,1.02566838,1.03207166,1.03847231,1.04417533,1.0486182,1.05302494,1.05811043
2015-02-27,1.02709483,1.03374571,1.04039392,1.04632822,1.05095951,1.05554362,1.06082568
2015-03-02,1.03045388,1.03789368,1.04533056,1.05198618,1.05723388,1.06243799,1.06839358
2015-03-03,1.02508363,1.03089963,1.03671311,1.04170297,1.04513654,1.04848467,1.05265801
2015-03-04,1.02808997,1.03538855,1.04268386,1.04910876,1.0537616,1.05824669,1.06366324
2015-03-05,1.02594424,1.03261672,1.03928609,1.0450499,1.04897642,1.05272963,1.05744207
2015-03-06,1.02270677,1.02830176,1.03389414,1.03865037,1.0417493,1.04471659,1.04856007
2015-03-09,1.02800048,1.03551456,1.0430254,1.04973423,1.05480863,1.05973157,1.06552031
2015-03-10,1.02893343,1.03662945,1.04432204,1.05110751,1.05603262,1.06077888,1.06650751
2015-03-11,1.02939019,1.03698664,1.04457977,1.05130354,1.05624756,1.06102717,1.06675558
2015-03-12,1.0333662,1.04189175,1.05041391,1.0581592,1.06433699,1.07037614,1.07724945
2015-03-13,1.03641664,1.04571769,1.0550152,1.06349738,1.07036144,1.07709377,1.08468577
2015-03-16,1.04525407,1.05734132,1.06942404,1.08063375,1.09009032,1.09938792,1.10961057
2015-03-17,1.04881495,1.0615962,1.07437271,1.08628845,1.09646914,1.10648514,1.11741519
2015-03-18,1.05366878,1.06815192,1.0826299,1.09624648,1.10818698,1.11998986,1.13267276
2015-03-19,1.05419094,1.06809239,1.08198901,1.09498038,1.10629092,1.11750411,1.12960289
2015-03-20,1.05634329,1.071471,1.08659364,1.10082606,1.11341703,1.12591196,1.13926447
2015-03-23,1.06220485,1.0797992,1.09738773,1.11399176,1.12884102,1.14361657,1.15930906
2015-03-24,1.06226392,1.08007789,1.09788613,1.11454037,1.12927275,1.14400646,1.15975395
2015-03-25,1.06076698,1.07883301,1.09689318,1.11368146,1.12838088,1.1431027,1.15892501
2015-03-26,1.05730759,1.07539738,1.09348133,1.11044979,1.12560078,1.14077991,1.15692442
2015-03-27,1.06194745,1.08048498,1.09901638,1.11635741,1.13178965,1.14726455,1.16374722
2015-03-30,1.07089636,1.09085784,1.1108126,1.12969486,1.14687414,1.16409065,1.18220531
2015-03-31,1.0677711,1.08836253,1.10894688,1.12840512,1.14594423,1.16344391,1.1819405
2015-04-01,1.07475557,1.09795103,1.12113857,1.14313106,1.16308763,1.18300048,1.20396833
2015-04-02,1.08091113,1.10448699,1.12805461,1.15032303,1.17039822,1.19043894,1.21161598
2015-04-03,1.0855025,1.11020914,1.13490714,1.15829902,1.17946928,1.20058882,1.22285041
2015-04-07,1.09045113,1.11754684,1.14463322,1.17044944,1.19406499,1.21760078,1.24226406
2015-04-08,1.08836554,1.11523699,1.14209952,1.16789658,1.19182389,1.21566082,1.24045635
2015-04-09,1.08460656,1.11134185,1.13806818,1.16371781,1.18737544,1.21087439,1.23537757
2015-04-10,1.09493931,1.12497579,1.15500188,1.18389485,1.21056991,1.23700191,1.26454341
2015-04-13,1.1028911,1.13569933,1.16849582,1.20017199,1.22941984,1.25827692,1.28832918
2015-04-14,1.10448019,1.13775845,1.17102464,1.20320746,1.23285392,1.26200643,1.29239767
2015-04-15,1.09775014,1.12893547,1.16010959,1.19036117,1.21834619,1.2458383,1.2744259
2015-04-16,1.10973561,1.1447483,1.17974823,1.21392873,1.24596246,1.27748347,1.31005794
2015-04-17,1.11533851,1.14993537,1.18451985,1.21833952,1.25021225,1.28163408,1.31401627
2015-04-20,1.10759029,1.13894018,1.17027896,1.20087952,1.22966646,1.25805984,1.28735443
2015-04-21,1.12121401,1.15672797,1.19222885,1.22689987,1.25953381,1.29175132,1.32501222
2015-04-22,1.136999,1.17513274,1.2132524,1.2504771,1.28558957,1.32029073,1.3560579
2015-04-23,1.13841515,1.17695427,1.21547903,1.25295156,1.28805583,1.32274287,1.35861461
2015-04-24,1.1356836,1.17320876,1.21071983,1.24709987,1.2809754,1.31443462,1.34915214
2015-04-27,1.14301179,1.18154658,1.22006705,1.25752176,1.29262594,1.32732545,1.36319514
2015-04-28,1.13512747,1.17099014,1.20683985,1.24172996,1.27455491,1.3070417,1.3405588
2015-04-29,1.14192471,1.17932014,1.21670174,1.25299601,1.28703732,1.3207552,1.35560105
2015-04-30,1.14357392,1.18122803,1.21886797,1.25532489,1.28942097,1.32322316,1.35820634
2015-05-04,1.14543735,1.183313,1.22117447,1.25785692,1.29227502,1.32644501,1.36174551
2015-05-05,1.12971239,1.16349321,1.19726141,1.22984553,1.26016002,1.29023268,1.32142999
2015-05-06,1.12800204,1.1622807,1.19654659,1.22960354,1.26032712,1.29079561,1.32241297
2015-05-07,1.12465941,1.1581359,1.19159981,1.22383918,1.25373858,1.28340653,1.31423866
2015-05-08,1.13559223,1.17270921,1.20981219,1.24545033,1.27834569,1.31099822,1.34500935
2015-05-11,1.15196352,1.19332067,1.2346623,1.27431447,1.31085821,1.34715012,1.38497152
2015-05-12,1.1604119,1.20364461,1.2468615,1.28820503,1.32624836,1.36409449,1.40355301
2015-05-13,1.16134075,1.20417368,1.24699046,1.28788552,1.32527952,1.36241101,1.40126343
2015-05-14,1.16366375,1.20464873,1.24561821,1.28470716,1.3203846,1.35581102,1.39291066
2015-05-15,1.15907819,1.19932089,1.23954847,1.27771709,1.31231862,1.34675495,1.38294251
2015-05-18,1.16248516,1.20372528,1.24495001,1.28381035,1.31869019,1.35345078,1.39015308
2015-05-19,1.17610044,1.22067626,1.26523558,1.30743122,1.34569365,1.38385416,1.42392895
2015-05-20,1.18395767,1.23094886,1.27792224,1.32241796,1.36270445,1.402846,1.44504974
2015-05-21,1.19888574,1.2502798,1.30165411,1.35032744,1.39429314,1.43803735,1.4840946
2015-05-22,1.20547287,1.25868955,1.31188585,1.36253541,1.40868425,1.45457833,1.50268281
2015-05-25,1.21856708,1.2734692,1.32835024,1.38075478,1.42884436,1.4767158,1.52671655
2015-05-26,1.2340093,1.29183574,1.34963986,1.40478055,1.45530452,1.50560382,1.55817409
2015-05-27,1.23681133,1.29361103,1.35038894,1.40437756,1.45362764,1.50269354,1.5540777
2015-05-28,1.20786418,1.25659297,1.30530252,1.35139299,1.39292859,1.43424915,1.4778072
2015-05-29,1.21292909,1.26224788,1.31154724,1.35811064,1.39999001,1.44168589,1.48567517
2015-06-01,1.2390463,1.29397229,1.34887655,1.4008887,1.44793887,1.4947755,1.54403531
2015-06-02,1.25222282,1.31030396,1.36836224,1.42325285,1.47275636,1.52205785,1.57399175
2015-06-03,1.25461627,1.31325917,1.37187899,1.4272331,1.47695578,1.5264318,1.57866265
2015-06-04,1.25620215,1.31481414,1.3734037,1.42878607,1.47877104,1.5285777,1.58100563
2015-06-05,1.25775336,1.31627413,1.37477237,1.43003781,1.47994334,1.52970421,1.58206374
2015-06-08,1.25356054,1.31166261,1.36974262,1.42506137,1.47577953,1.52634107,1.57913259
2015-06-09,1.25097227,1.30797228,1.36495043,1.41917964,1.4687578,1.51815181,1.56981416
2015-06-10,1.25583685,1.31477332,1.37368735,1.42961994,1.48055745,1.5313409,1.58457434
2015-06-11,1.25936802,1.31958958,1.37978815,1.43687141,1.48874362,1.54045949,1.59472349
2015-06-12,1.26239419,1.32384518,1.38527291,1.44351669,1.49651151,1.54940812,1.60489712
2015-06-15,1.25201898,1.30940645,1.36677149,1.42107242,1.47032253,1.51949195,1.5711792
2015-06-16,1.23486141,1.28732161,1.33976092,1.38941282,1.43440207,1.47927465,1.52646645
2015-06-17,1.24116068,1.29583787,1.35049352,1.40225185,1.4491446,1.4958965,1.54505878
2015-06-18,1.22234689,1.2716147,1.32086289,1.36731998,1.40910058,1.45075853,1.4947368
2015-06-19,1.19697335,1.23905707,1.28112377,1.32060044,1.35571535,1.39070802,1.42785968
2015-06-23,1.20570504,1.25150703,1.2972904,1.34056696,1.37955975,1.41840415,1.45939441
2015-06-24,1.21117196,1.2592387,1.30728604,1.35280054,1.39399841,1.43506013,1.47830331
2015-06-25,1.19094536,1.23448361,1.27800405,1.31916985,1.35623259,1.39311643,1.43207072
2015-06-26,1.15797001,1.19187703,1.22576967,1.25756923,1.28565774,1.31356564,1.34335469
2015-06-29,1.14160303,1.17006877,1.19852182,1.22518498,1.2486586,1.27198621,1.2969625
2015-06-30,1.16290766,1.19822231,1.23352248,1.26699233,1.29726441,1.32741581,1.35922766
2015-07-01,1.14682399,1.17750257,1.20792739,1.2364026,1.26147883,1.28621731,1.31234424
2015-07-02,1.13380384,1.16022067,1.18616506,1.21018052,1.2309077,1.25119889,1.272557
