MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
100312,MXWDIRE,ACWI IMI CORE RE,,,STRD,USD,
100312,M1WDIRE,ACWI IMI CORE RE,,,NETR,USD,
100312,M2WDIRE,ACWI IMI CORE RE,,,GRTR,USD,
100314,MXWDIRR,ACWI IMI CORE RENTAL RE,,,STRD,USD,
100314,M1WDIRR,ACWI IMI CORE RENTAL RE,,,NETR,USD,
100314,M2WDIRR,ACWI IMI CORE RENTAL RE,,,GRTR,USD,
100331,MXEAIRR,EAFE IMI CORE RETAIL RE,,,STRD,USD,
100331,M1EAIRR,EAFE IMI CORE RETAIL RE,,,NETR,USD,
100331,M2EAIRR,EAFE IMI CORE RETAIL RE,,,GRTR,USD,
100381,MXWOIRE,WORLD IMI CORE RE,,,STRD,USD,
100381,M1WOIRE,WORLD IMI CORE RE,,,NETR,USD,
100381,M2WOIRE,WORLD IMI CORE RE,,,GRTR,USD,
105653,GDLESRUS,MSCI Daily TR Gross Emerging Markets Russia Local,Standard,,Gross,Local,
105653,GDUESRUS,MSCI Daily TR Gross Emerging Markets Russia USD,Standard,,Gross,USD,
105653,MSELTRUS,MSCI Emerging Markets Russia Local,Standard,,Price,Local,
105653,MSEUSRUS,MSCI Emerging Markets Russia USD,Standard,,Price,USD,
105653,NDELSRU,MSCI Daily TR Net Emerging Markets Russia Local,Standard,,Net,Local,
105653,NDEUSRU,MSCI Daily Emerging Markets Russia Net Total Return US Dollar,Standard,,Net,USD,
105765,GDLESMO,MSCI Daily TR Gross Emerging Markets Morocco Local,Standard,,Gross,Local,
105765,GDUESMO,MSCI Daily TR Gross Emerging Markets Morocco USD,Standard,,Gross,USD,
105765,MSILMOR,MSCI Emerging Markets Morocco Local,Standard,,Price,Local,
105765,MSIUMOR,MSCI Emerging Markets Morocco USD,Standard,,Price,USD,
105765,NDELSMO,MSCI Daily TR Net Emerging Markets Morocco Local,Standard,,Net,Local,
105765,NDEUSMO,MSCI Daily TR Net Emerging Markets Morocco USD,Standard,,Net,USD,
105766,GDLESEG,MSCI Daily TR Gross Emerging Markets Egypt Local,Standard,,Gross,Local,
105766,GDUESEG,MSCI Daily TR Gross Emerging Markets Egypt USD,Standard,,Gross,USD,
105766,MSILEG,MSCI Emerging Markets Egypt Local,Standard,,Price,Local,
105766,MSIUEG,MSCI Emerging Markets Egypt USD,Standard,,Price,USD,
105766,NDELSEG,MSCI Daily TR Net Emerging Markets Egypt Local,Standard,,Net,Local,
105766,NDEUSEG,MSCI Daily TR Net Emerging Markets Egypt USD,Standard,,Net,USD,
105767,GDLESINF,MSCI Daily TR Gross Emerging Markets Indonesia Local,Standard,,Gross,Local,
105767,GDUESINF,MSCI Daily TR Gross Emerging Markets Indonesia USD,Standard,,Gross,USD,
105767,MSELTINF,MSCI Emerging Markets Indonesia Local,Standard,,Price,Local,
105767,MSEUSINF,MSCI Emerging Markets Indonesia USD,Standard,,Price,USD,
105767,NDELINF,MSCI Daily TR Net Emerging Markets Indonesia Local,Standard,,Net,Local,
105767,NDEUINF,MSCI Daily TR Net Emerging Markets Indonesia USD,Standard,,Net,USD,
105768,GDDLMAF,MSCI Daily TR Gross Malaysia Local,Standard,,Gross,Local,
105768,GDDUMAF,MSCI Daily TR Gross Malaysia USD,Standard,,Gross,USD,
105768,MSDEMAF,MSCI Daily PR Malaysia Euro,Standard,,Price,EUR,
105768,MSDEMAFG,MSCI Daily Gross TR Malaysia Euro,Standard,,Gross,EUR,
105768,MSDEMAFN,MSCI Daily Net TR Malaysia Euro,Standard,,Net,EUR,
105768,MSDLMAF,MSCI Malaysia Local,Standard,,Price,Local,
105768,MSDUMAF,MSCI Malaysia USD,Standard,,Price,USD,
105768,NDDLMAF,MSCI Daily TR Net Malaysia Local,Standard,,Net,Local,
105768,NDDUMAF,MSCI Daily TR Net Malaysia USD,Standard,,Net,USD,
105769,GDLESTHF,MSCI Daily TR Gross Emerging Markets Thailand Local,Standard,,Gross,Local,
105769,GDUESTHF,MSCI Daily TR Gross Emerging Markets Thailand USD,Standard,,Gross,USD,
105769,MSELTTHF,MSCI Emerging Markets Thailand Local,Standard,,Price,Local,
105769,MSEUSTHF,MSCI Emerging Markets Thailand USD,Standard,,Price,USD,
105769,NDELTHF,MSCI Daily TR Net Emerging Markets Thailand Local,Standard,,Net,Local,
105769,NDEUTHF,MSCI Daily TR Net Emerging Markets Thailand USD,Standard,,Net,USD,
105771,DLGAAS,MSCI Daily TR Growth Gross Australia Local,Standard,Growth,Gross,Local,
105771,DUGAAS,MSCI Daily TR Growth Gross Australia USD,Standard,Growth,Gross,USD,
105771,MGLAAS,MSCI Growth Australia Local,Standard,Growth,Price,Local,
105771,MGUAAS,MSCI Growth Australia USD,Standard,Growth,Price,USD,
105771,NAGLAS,MSCI Daily TR Net Growth Australia Local,Standard,Growth,Net,Local,
105771,NAGUAS,MSCI Daily TR Net Growth Australia USD,Standard,Growth,Net,USD,
105772,DLVAAS,MSCI Daily TR Value Gross Australia Local,Standard,Value,Gross,Local,
105772,DUVAAS,MSCI Daily TR Value Gross Australia USD,Standard,Value,Gross,USD,
105772,MVLAAS,MSCI Value Australia Local,Standard,Value,Price,Local,
105772,MVUAAS,MSCI Value Australia USD,Standard,Value,Price,USD,
105772,NAVLAS,MSCI Daily TR Net Value Australia Local,Standard,Value,Net,Local,
105772,NAVUAS,MSCI Daily TR Net Value Australia USD,Standard,Value,Net,USD,
105773,GDLGAT,MSCI Daily TR Gross Growth Austria Local,Standard,Growth,Gross,Local,
105773,GDUGAT,MSCI Daily TR Gross Growth Austria USD,Standard,Growth,Gross,USD,
105773,MGLDAT,MSCI Growth Austria Local,Standard,Growth,Price,Local,
105773,MGUDAT,MSCI Growth Austria USD,Standard,Growth,Price,USD,
105773,NDUGAT,MSCI Daily TR Net Growth Austria USD,Standard,Growth,Net,USD,
105773,NLDGAT,MSCI Daily TR Net Growth Austria Local,Standard,Growth,Net,Local,
105774,GDLVAT,MSCI Daily TR Gross Value Austria Local,Standard,Value,Gross,Local,
105774,GDUVAT,MSCI Daily TR Gross Value Austria USD,Standard,Value,Gross,USD,
105774,MVLDAT,MSCI Value Austria Local,Standard,Value,Price,Local,
105774,MVUDAT,MSCI Value Austria USD,Standard,Value,Price,USD,
105774,NDLVAT,MSCI Daily TR Net Value Austria Local,Standard,Value,Net,Local,
105774,NDUVAT,MSCI Daily TR Net Value Austria USD,Standard,Value,Net,USD,
105775,GDLGBE,MSCI Daily TR Gross Growth Belgium Local,Standard,Growth,Gross,Local,
105775,GDUGBE,MSCI Daily TR Gross Growth Belgium USD,Standard,Growth,Gross,USD,
105775,MGLDBE,MSCI Growth Belgium Local,Standard,Growth,Price,Local,
105775,MGUDBE,MSCI Growth Belgium USD,Standard,Growth,Price,USD,
