,MSCI Index Code,BBG Ticker,Bloomberg Index Name,Size,Style,Variant,Currency,Extra Info
13,105653,GDUESRUS,MSCI Daily TR Gross Emerging Markets Russia USD,Standard,,Gross,USD,
19,105765,GDUESMO,MSCI Daily TR Gross Emerging Markets Morocco USD,Standard,,Gross,USD,
25,105766,GDUESEG,MSCI Daily TR Gross Emerging Markets Egypt USD,Standard,,Gross,USD,
31,105767,GDUESINF,MSCI Daily TR Gross Emerging Markets Indonesia USD,Standard,,Gross,USD,
37,105768,GDDUMAF,MSCI Daily TR Gross Malaysia USD,Standard,,Gross,USD,
46,105769,GDUESTHF,MSCI Daily TR Gross Emerging Markets Thailand USD,Standard,,Gross,USD,
5142,300300,GDUESISN,MSCI Daily TR Gross Emerging Markets Israel Foreign USD,Standard,,Gross,USD,
5148,300400,GDUESIS,MSCI Daily TR Gross Emerging Markets Israel USD,Standard,,Gross,USD,
5186,302400,GDUETCF,MSCI Daily TR Gross Emerging Markets China USD,Standard,,Gross,USD,
14586,848400,GDUETMXF,MSCI Daily TR Gross Emerging Markets Mexico USD,Standard,,Gross,USD,
14609,886200,GDUESVZF,MSCI Daily TR Gross Emerging Markets Venezuela USD,Standard,,Gross,USD,
14718,899700,GDUEEGFA,MSCI Daily TR Gross Emerging Markets EM Asia USD,Standard,,Gross,USD,
14754,903200,GDUESAG,MSCI Daily TR Gross Emerging Markets Argentina USD,Standard,,Gross,USD,
14760,903600,GDDUAS,MSCI Daily TR Gross Australia USD,Standard,,Gross,USD,
14777,904000,GDDUAT,MSCI Daily TR Gross Austria USD,Standard,,Gross,USD,
14792,905600,GDDUBE,MSCI Daily TR Gross Belgium USD,Standard,,Gross,USD,
14807,907600,GDUEBRAF,MSCI Daily TR Gross Brazil USD,Standard,,Gross,USD,
14813,912400,GDDUCA,MSCI Daily TR Gross Canada USD,Standard,,Gross,USD,
14828,914400,GDUESSL,MSCI Daily TR Gross Emerging Markets Sri Lanka USD,Standard,,Gross,USD,
14834,915200,GDUESCH,MSCI Daily TR Gross Emerging Markets Chile USD,Standard,,Gross,USD,
14840,915800,GDUESTW,MSCI Daily TR Gross Emerging Markets Taiwan USD,Standard,,Gross,USD,
14846,917000,GDUESCO,MSCI Daily TR Gross Emerging Markets Colombia USD,Standard,,Gross,USD,
14852,920000,GDUESCZ,MSCI Daily TR Gross Emerging Markets Czech Republic USD,Standard,,Gross,USD,
14858,920800,GDDUDE,MSCI Daily TR Gross Denmark USD,Standard,,Gross,USD,
14873,924600,GDDUFI,MSCI Daily TR Gross Finland USD,Standard,,Gross,USD,
14888,925000,GDDUFR,MSCI Daily TR Gross France USD,Standard,,Gross,USD,
14903,928000,GDDUGR,MSCI Daily TR Gross Germany USD,Standard,,Gross,USD,
14918,930000,GDUESGE,MSCI Daily TR Gross Greece USD,Standard,,Gross,USD,
14933,934400,GDDUHK,MSCI Daily TR Gross Hong Kong USD,Standard,,Gross,USD,
14950,934800,GDUESHG,MSCI Daily TR Gross Emerging Markets Hungary USD,Standard,,Gross,USD,
14956,935600,GDUESIA,MSCI Daily TR Gross Emerging Markets India USD,Standard,,Gross,USD,
14965,937200,GDDUIE,MSCI Daily TR Gross Ireland USD,Standard,,Gross,USD,
14980,937600,GDUESISD,MSCI Daily TR Gross Emerging Markets Israel Domestic USD,Standard,,Gross,USD,
14986,938000,GDDUIT,MSCI Daily TR Gross Italy USD,Standard,,Gross,USD,
15001,939200,GDDUJN,MSCI Daily TR Gross Japan USD,Standard,,Gross,USD,
15018,940000,GDUESJO,MSCI Daily TR Gross Emerging Markets Jordan USD,Standard,,Gross,USD,
15024,941000,GDUESKO,MSCI Daily TR Gross Emerging Markets Korea USD,Standard,,Gross,USD,
15030,952800,GDDUNE,MSCI Daily TR Gross Netherlands USD,Standard,,Gross,USD,
15045,955400,GDDUNZ,MSCI Daily TR Gross New Zealand USD,Standard,,Gross,USD,
15062,957800,GDDUNO,MSCI Daily TR Gross Norway USD,Standard,,Gross,USD,
15077,958600,GDUESPF,MSCI Daily TR Gross Emerging Markets Pakistan USD,Standard,,Gross,USD,
15083,960400,GDUESPR,MSCI Daily TR Gross Emerging Markets Peru USD,Standard,,Gross,USD,
15089,961600,GDUESPO,MSCI Daily TR Gross Emerging Markets Poland USD,Standard,,Gross,USD,
15095,962000,GDDUPT,MSCI Daily TR Gross Portugal USD,Standard,,Gross,USD,
15110,971000,GDUESSA,MSCI Daily TR Gross Emerging Markets South Africa USD,Standard,,Gross,USD,
15116,972400,GDDUSP,MSCI Daily TR Gross Spain USD,Standard,,Gross,USD,
15131,975200,GDDUSW,MSCI Daily TR Gross Sweden USD,Standard,,Gross,USD,
15146,975600,GDDUSZ,MSCI Daily TR Gross Switzerland USD,Standard,,Gross,USD,
15161,979200,GDUESTK,MSCI Daily TR Gross Emerging Markets Turkey USD,Standard,,Gross,USD,
15167,982600,GDDUUK,MSCI Daily TR Gross UK USD,Standard,,Gross,USD,
15182,984000,GDDUUS,MSCI Daily TR Gross USA USD,Standard,,Gross,USD,
15197,990100,GDDUWI,MSCI Daily TR Gross World USD,Standard,,Gross,USD,
15229,990300,GDDUEAFE,MSCI Daily TR Gross EAFE USD,Standard,,Gross,USD,
15251,990500,GDDUE15,MSCI Daily TR Gross Europe USD,Standard,,Gross,USD,
15266,990600,GDUEEU,MSCI Daily TR Gross EU USD,Standard,,Gross,USD,
15287,990800,GDDUP,MSCI Daily TR Gross Pacific USD,Standard,,Gross,USD,
15349,991200,GDDUKOK,MSCI Daily TR Gross Kokusai USD,Standard,,Gross,USD,
15363,991300,GDDUEASE,MSCI Daily TR Gross EASEA USD,Standard,,Gross,USD,
15520,998100,GDDUSG,MSCI Daily TR Gross Singapore USD,Standard,,Gross,USD,
