,0,1,2,3,4
1990-12-31,Austria,Emerging_Markets_Mexico,Greece,Hong_Kong,UK
1991-12-31,Australia,Emerging_Markets_Mexico,Hong_Kong,Singapore,USA
1992-12-31,Emerging_Markets_EM_Asia,Emerging_Markets_Mexico,Hong_Kong,Switzerland,USA
1993-12-31,Emerging_Markets_EM_Asia,Finland,Hong_Kong,New_Zealand,Singapore
1994-12-31,Finland,Ireland,Japan,Norway,Sweden
1995-12-31,Kokusai,Spain,Sweden,Switzerland,USA
1996-12-31,Emerging_Markets_China,Emerging_Markets_Egypt,Portugal,Spain,Sweden
1997-12-31,Emerging_Markets_Mexico,Greece,Italy,Portugal,Switzerland
1998-12-31,Belgium,Finland,Greece,Italy,Spain
1999-12-31,Emerging_Markets_Russia,Emerging_Markets_Turkey,Finland,Malaysia,Singapore
2000-12-31,Canada,Emerging_Markets_Israel_Domestic,Emerging_Markets_Israel_Foreign,Emerging_Markets_Israel,Switzerland
2001-12-31,Emerging_Markets_Colombia,Emerging_Markets_Jordan,Emerging_Markets_Korea,Emerging_Markets_Russia,Emerging_Markets_Sri_Lanka
2002-12-31,Emerging_Markets_Czech_Republic,Emerging_Markets_Hungary,Emerging_Markets_Indonesia,Emerging_Markets_Pakistan,Emerging_Markets_Sri_Lanka
2003-12-31,Brazil,Emerging_Markets_Argentina,Emerging_Markets_Peru,Emerging_Markets_Thailand,Emerging_Markets_Turkey
2004-12-31,Austria,Emerging_Markets_Colombia,Emerging_Markets_Czech_Republic,Emerging_Markets_Egypt,Emerging_Markets_Hungary
2005-12-31,Emerging_Markets_Colombia,Emerging_Markets_Egypt,Emerging_Markets_Jordan,Emerging_Markets_Pakistan,Emerging_Markets_Russia
2006-12-31,China_A,Emerging_Markets_China,Emerging_Markets_Indonesia,Emerging_Markets_Morocco,Emerging_Markets_Venezuela
2007-12-31,Brazil,China_A,Emerging_Markets_India,Emerging_Markets_Peru,Emerging_Markets_Turkey
2008-12-31,Emerging_Markets_Colombia,Emerging_Markets_Israel_Foreign,Emerging_Markets_Israel,Emerging_Markets_Morocco,Emerging_Markets_Venezuela
2009-12-31,Brazil,Emerging_Markets_India,Emerging_Markets_Indonesia,Emerging_Markets_Russia,Emerging_Markets_Sri_Lanka
2010-12-31,Emerging_Markets_Argentina,Emerging_Markets_Chile,Emerging_Markets_Peru,Emerging_Markets_Sri_Lanka,Emerging_Markets_Thailand
2011-12-31,Emerging_Markets_Indonesia,Ireland,Malaysia,New_Zealand,USA
2012-12-31,Belgium,Emerging_Markets_Colombia,Emerging_Markets_Egypt,Emerging_Markets_Poland,Emerging_Markets_Turkey
2013-12-31,Emerging_Markets_Argentina,Emerging_Markets_Pakistan,Finland,Greece,Ireland
2014-12-31,China_A,Emerging_Markets_Egypt,Emerging_Markets_India,Emerging_Markets_Indonesia,Emerging_Markets_Israel
2015-12-31,Belgium,Denmark,Emerging_Markets_Hungary,Emerging_Markets_Israel,Ireland
2016-12-31,Brazil,Emerging_Markets_Morocco,Emerging_Markets_Pakistan,Emerging_Markets_Peru,Emerging_Markets_Russia
2017-12-31,Austria,Emerging_Markets_Argentina,Emerging_Markets_China,Emerging_Markets_Korea,Emerging_Markets_Poland
2018-10-31,Emerging_Markets_Israel,Emerging_Markets_Peru,Emerging_Markets_Russia,Finland,Norway
