,0,1,2,3,4
2001-12-31,哥伦比亚,约旦,韩国,俄罗斯,斯里兰卡
2002-12-31,捷克,匈牙利,印度尼西亚,巴基斯坦,斯里兰卡
2003-12-31,巴西,阿根廷,秘鲁,泰国,土耳其
2004-12-31,奥地利,哥伦比亚,捷克,埃及,匈牙利
2005-12-31,哥伦比亚,埃及,约旦,巴基斯坦,俄罗斯
2006-12-31,中国 A 股,阿根廷,中国,印度尼西亚,摩洛哥
2007-12-31,巴西,中国 A 股,印度,秘鲁,土耳其
2008-12-31,哥伦比亚,以色列,摩洛哥,日本,瑞士
2009-12-31,巴西,印度,印度尼西亚,俄罗斯,斯里兰卡
2010-12-31,阿根廷,智利,秘鲁,斯里兰卡,泰国
2011-12-31,印度尼西亚,爱尔兰,马来西亚,新西兰,美国
2012-12-31,比利时,哥伦比亚,埃及,波兰,土耳其
2013-12-31,阿根廷,巴基斯坦,芬兰,希腊,爱尔兰
2014-12-31,中国 A 股,埃及,印度,印度尼西亚,以色列
2015-12-31,比利时,丹麦,匈牙利,以色列,爱尔兰
2016-12-31,巴西,摩洛哥,巴基斯坦,秘鲁,俄罗斯
2017-12-31,奥地利,阿根廷,中国,韩国,波兰
2018-10-31,以色列,秘鲁,俄罗斯,芬兰,挪威
