,0,1,2,3,4
1990-12-31,Austria,Emerging_Markets_EM,Hong_Kong,UK,USA
1991-12-31,Australia,Emerging_Markets_EM,Hong_Kong,New_Zealand,USA
1992-12-31,Emerging_Markets_EM,Finland,Hong_Kong,Switzerland,UK
1993-12-31,Emerging_Markets_EM,Emerging_Markets_Taiwan,Finland,Hong_Kong,Singapore
1994-12-31,Emerging_Markets_EM,Emerging_Markets_Taiwan,Finland,Japan,Norway
1995-12-31,Emerging_Markets_Israel,Hong_Kong,Kokusai,Switzerland,USA
1996-12-31,Emerging_Markets_Taiwan,Finland,Portugal,Spain,Sweden
1997-12-31,Denmark,Italy,Portugal,Spain,Switzerland
1998-12-31,Belgium,Finland,France,Italy,Spain
1999-12-31,Brazil,Emerging_Markets_Russia,Emerging_Markets_Turkey,Finland,Singapore
2000-12-31,Denmark,Emerging_Markets_Israel_Domestic,Emerging_Markets_Israel,Emerging_Markets_Venezuela,Norway
2001-12-31,Emerging_Markets_Colombia,Emerging_Markets_Korea,Emerging_Markets_Russia,Emerging_Markets_Sri_Lanka,Emerging_Markets_Turkey
2002-12-31,Emerging_Markets_Argentina,Emerging_Markets_Colombia,Emerging_Markets_Pakistan,Emerging_Markets_Sri_Lanka,Emerging_Markets_Venezuela
2003-12-31,Emerging_Markets_Egypt,Emerging_Markets_Peru,Emerging_Markets_Thailand,Emerging_Markets_Turkey,Emerging_Markets_Venezuela
2004-12-31,Emerging_Markets_Colombia,Emerging_Markets_Czech_Republic,Emerging_Markets_Egypt,Emerging_Markets_Hungary,Emerging_Markets_Indonesia
2005-12-31,Emerging_Markets_Argentina,Emerging_Markets_Colombia,Emerging_Markets_Egypt,Emerging_Markets_Jordan,Emerging_Markets_Russia
2006-12-31,China_A,Emerging_Markets_Argentina,Emerging_Markets_China,Emerging_Markets_Indonesia,Emerging_Markets_Venezuela
2007-12-31,China_A,Emerging_Markets_China,Emerging_Markets_India,Emerging_Markets_Indonesia,Emerging_Markets_Peru
2008-12-31,Emerging_Markets_Chile,Emerging_Markets_Colombia,Emerging_Markets_Israel_Foreign,Emerging_Markets_Morocco,Emerging_Markets_South_Africa
2009-12-31,China_A,Emerging_Markets_India,Emerging_Markets_Indonesia,Emerging_Markets_Pakistan,Emerging_Markets_Sri_Lanka
2010-12-31,Denmark,Emerging_Markets_Argentina,Emerging_Markets_Peru,Emerging_Markets_Sri_Lanka,Emerging_Markets_Thailand
2011-12-31,Emerging_Markets_Indonesia,Emerging_Markets_South_Africa,Ireland,Malaysia,New_Zealand
2012-12-31,Belgium,Emerging_Markets_Egypt,Emerging_Markets_Pakistan,Emerging_Markets_Phil,Emerging_Markets_Turkey
2013-12-31,Emerging_Markets_Argentina,Emerging_Markets_Pakistan,Finland,Greece,Japan
2014-12-31,China_A,Emerging_Markets_Egypt,Emerging_Markets_Indonesia,Emerging_Markets_Israel,Emerging_Markets_Turkey
2015-12-31,Belgium,Denmark,Emerging_Markets_Hungary,Emerging_Markets_Russia,Ireland
2016-12-31,Brazil,Emerging_Markets_Egypt,Emerging_Markets_Morocco,Emerging_Markets_Pakistan,Emerging_Markets_Peru
2017-12-31,Austria,Emerging_Markets_Argentina,Emerging_Markets_China,Emerging_Markets_Peru,Emerging_Markets_Turkey
2018-10-31,Brazil,Emerging_Markets_Israel,Emerging_Markets_Russia,Finland,Norway
