,,0
2002-12-31,Emerging_Markets_Russia,0.15708459
2003-12-31,Emerging_Markets_Pakistan,0.43412988
2004-12-31,Emerging_Markets_Thailand,-0.009215
2005-12-31,Emerging_Markets_Colombia,1.07520691
2006-12-31,Emerging_Markets_Egypt,0.17084045
2007-12-31,China_A,1.75720482
2008-12-31,China_A,-0.6176294
2009-12-31,Emerging_Markets_Morocco,-0.0497738
2010-12-31,Emerging_Markets_Sri_Lanka,0.74098739
2011-12-31,Emerging_Markets_Argentina,-0.3894209
2012-12-31,Ireland,0.06294536
2013-12-31,Emerging_Markets_Turkey,-0.2651787
2014-12-31,Emerging_Markets_Argentina,0.19197979
2015-12-31,China_A,0.0721653
2016-12-31,Emerging_Markets_Hungary,0.35369548
2017-12-31,Brazil,0.2448318
2018-10-31,Emerging_Markets_Argentina,-0.510265
