,,0
2002-12-31,Emerging_Markets_Russia,12.0
2003-12-31,Emerging_Markets_Pakistan,32.0
2004-12-31,Emerging_Markets_Thailand,56.0
2005-12-31,Emerging_Markets_Colombia,2.0
2006-12-31,Emerging_Markets_Egypt,47.0
2007-12-31,China_A,1.0
2008-12-31,China_A,48.0
2009-12-31,Emerging_Markets_Morocco,56.0
2010-12-31,Emerging_Markets_Sri_Lanka,2.0
2011-12-31,Emerging_Markets_Argentina,55.0
2012-12-31,Ireland,46.0
2013-12-31,Emerging_Markets_Turkey,56.0
2014-12-31,Emerging_Markets_Argentina,6.0
2015-12-31,China_A,7.0
2016-12-31,Emerging_Markets_Hungary,6.0
2017-12-31,Brazil,34.0
2018-10-31,Emerging_Markets_Argentina,57.0
