,NEAR US Equity,NEAR US Equity,NEAR US Equity,FLOT US Equity,FLOT US Equity,FLOT US Equity,MINT US Equity,MINT US Equity,MINT US Equity,ERND LN EQUITY,ERND LN EQUITY,ERND LN EQUITY,ERNA LN EQUITY,ERNA LN EQUITY,ERNA LN EQUITY,FLOT LN EQUITY,FLOT LN EQUITY,FLOT LN EQUITY,FLOA LN EQUITY,FLOA LN EQUITY,FLOA LN EQUITY,MINT LN EQUITY,MINT LN EQUITY,MINT LN EQUITY
,PX_LAST,PX_HIGH,PX_LOW,PX_LAST,PX_HIGH,PX_LOW,PX_LAST,PX_HIGH,PX_LOW,PX_LAST,PX_HIGH,PX_LOW,PX_LAST,PX_HIGH,PX_LOW,PX_LAST,PX_HIGH,PX_LOW,PX_LAST,PX_HIGH,PX_LOW,PX_LAST,PX_HIGH,PX_LOW
date,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,50.02,50.09,49.95,50.54,50.58,50.49,101.06,101.08,101.013,100.06,100.06,100.06,,,,,,,,,,100.925,100.95,100.925
2015-01-02,50.02,50.08,50.0,50.49,50.5565,50.49,101.07,101.07,101.0,100.06,100.06,100.06,,,,,,,,,,100.925,100.95,100.9
2015-01-03,50.02,50.08,50.0,50.49,50.5565,50.49,101.07,101.07,101.0,100.06,100.06,100.06,,,,,,,,,,100.925,100.95,100.9
2015-01-04,50.02,50.08,50.0,50.49,50.5565,50.49,101.07,101.07,101.0,100.06,100.06,100.06,,,,,,,,,,100.925,100.95,100.9
2015-01-05,50.05,50.08,50.03,50.52,50.53,50.43,101.08,101.08,101.01,100.05,100.05,100.05,,,,,,,,,,100.96,100.96,100.91
2015-01-06,50.0983,50.14,50.04,50.52,50.53,50.5,101.06,101.09,101.0135,100.06,100.06,100.06,,,,,,,,,,100.935,100.96,100.91
2015-01-07,50.055,50.1,50.04,50.55,50.55,50.49,101.1,101.1,100.99,100.08,100.08,100.08,,,,,,,,,,100.935,100.96,100.91
2015-01-08,50.1,50.11,50.05,50.58,50.58,50.53,100.99,101.08,100.99,100.04,100.04,100.02,,,,,,,,,,100.945,100.97,100.92
2015-01-09,50.11,50.12,50.06,50.58,50.58,50.54,101.04,101.08,101.01,100.03,100.03,100.03,,,,,,,,,,100.945,100.97,100.92
2015-01-10,50.11,50.12,50.06,50.58,50.58,50.54,101.04,101.08,101.01,100.03,100.03,100.03,,,,,,,,,,100.945,100.97,100.92
2015-01-11,50.11,50.12,50.06,50.58,50.58,50.54,101.04,101.08,101.01,100.03,100.03,100.03,,,,,,,,,,100.945,100.97,100.92
2015-01-12,50.11,50.11,50.098,50.55,50.58,50.54,101.02,101.08,101.02,100.09,100.09,100.09,,,,,,,,,,100.965,100.965,100.94
2015-01-13,50.11,50.11,50.09,50.56,50.57,50.54,101.08,101.1,101.0,100.095,100.14,100.095,,,,,,,,,,100.95,101.0,100.95
2015-01-14,50.13,50.13,50.1,50.555,50.58,50.5401,101.05,101.11,101.04,100.085,100.13,100.03,,,,,,,,,,100.985,101.0,100.96
2015-01-15,50.11,50.13,50.09,50.59,50.59,50.55,101.06,101.1,101.05,100.095,100.095,100.03,,,,,,,,,,100.935,100.96,100.91
2015-01-16,50.13,50.14,50.1,50.57,50.58,50.55,100.99,101.1,100.99,100.09,100.13,100.09,,,,,,,,,,100.935,100.935,100.91
2015-01-17,50.13,50.14,50.1,50.57,50.58,50.55,100.99,101.1,100.99,100.09,100.13,100.09,,,,,,,,,,100.935,100.935,100.91
2015-01-18,50.13,50.14,50.1,50.57,50.58,50.55,100.99,101.1,100.99,100.09,100.13,100.09,,,,,,,,,,100.935,100.935,100.91
2015-01-19,50.13,50.14,50.1,50.57,50.58,50.55,100.99,101.1,100.99,100.055,100.055,100.055,,,,,,,,,,100.925,100.95,100.9
2015-01-20,50.08,50.12,50.07,50.58,50.6,50.54,101.1,101.1,101.01,100.02,100.02,100.0,,,,,,,,,,100.925,100.95,100.9
2015-01-21,50.1199,50.12,50.09,50.58,50.58,50.53,101.02,101.1,101.01,100.01,100.01,100.01,,,,,,,,,,100.935,100.96,100.91
2015-01-22,50.07,50.128,50.05,50.57,50.58,50.55,101.05,101.09,101.01,100.02,100.02,100.02,,,,,,,,,,100.92,100.96,100.9
2015-01-23,50.1,50.1,50.07,50.57,50.57,50.53,101.05,101.11,101.03,100.095,100.095,100.095,,,,,,,,,,100.935,100.935,100.9
2015-01-24,50.1,50.1,50.07,50.57,50.57,50.53,101.05,101.11,101.03,100.095,100.095,100.095,,,,,,,,,,100.935,100.935,100.9
2015-01-25,50.1,50.1,50.07,50.57,50.57,50.53,101.05,101.11,101.03,100.095,100.095,100.095,,,,,,,,,,100.935,100.935,100.9
2015-01-26,50.1,50.11,50.07,50.55,50.5636,50.55,101.07,101.1,101.05,100.03,100.05,100.01,,,,,,,,,,100.97,100.97,100.93
2015-01-27,50.07,50.11,50.07,50.6,50.6,50.53,101.07,101.09,101.0501,100.015,100.015,100.015,,,,,,,,,,100.94,100.98,100.93
2015-01-28,50.0862,50.12,50.08,50.56,50.6,50.54,101.0894,101.1,101.05,100.065,100.065,100.065,,,,,,,,,,100.94,100.97,100.93
2015-01-29,50.0802,50.11,50.08,50.57,50.59,50.56,101.08,101.09,101.07,100.045,100.11,100.045,,,,,,,,,,100.955,100.98,100.25
2015-01-30,50.1072,50.15,50.09,50.57,50.6,50.5252,101.08,101.08,101.0,100.055,100.055,100.055,,,,,,,,,,100.97,100.98,100.93
2015-01-31,50.1072,50.15,50.09,50.57,50.6,50.5252,101.08,101.08,101.0,100.055,100.055,100.055,,,,,,,,,,100.97,100.98,100.93
2015-02-01,50.1072,50.15,50.09,50.57,50.6,50.5252,101.08,101.08,101.0,100.055,100.055,100.055,,,,,,,,,,100.97,100.98,100.93
2015-02-02,50.09,50.1,50.07,50.54,50.57,50.53,101.04,101.07,101.02,100.065,100.065,100.065,,,,,,,,,,100.945,100.98,100.92
2015-02-03,50.11,50.12,50.04,50.59,50.6292,50.5301,101.02,101.08,100.99,100.045,100.09,100.02,,,,,,,,,,100.955,100.98,100.93
2015-02-04,50.0969,50.12,50.07,50.62,50.62,50.58,101.05,101.05,101.02,100.045,100.045,100.045,,,,,,,,,,100.965,100.98,100.94
2015-02-05,50.1,50.11,50.07,50.61,50.63,50.58,101.04,101.06,101.01,100.06,100.06,100.01,,,,,,,,,,100.955,100.99,100.95
