name,CSDCCCode,SecId,PerformanceId,MasterPortfolioId,ISIN,obsoletedate,obsoletetype
Huaan AnXi Guaranteed Fd A,2398,F00000WYPM,0P00017M48,,,23/10/2018,Liquidated
Huaan AnXi Guaranteed Fd C,2399,F00000WYPN,0P00017M49,,,23/10/2018,Liquidated
Penghua JinDing Principal Gtd Bal Fd A,2504,F00000WZGI,0P00017MX4,,,19/10/2018,Liquidated
Penghua JinDing Principal Gtd Bal Fd C,2505,F00000WZGJ,0P00017MX5,,,19/10/2018,Liquidated
China Fund Wenli Principal Guaranteed Fd,804,F00000UDWC,0P000147K7,,,18/10/2018,Liquidated
UBS SDIC Emerging Markets Stock QDII Fd,161210,F00000HGQ2,0P0000O2VJ,,,18/10/2018,Liquidated
E Fund Xinzhuan Zhaoli Alloc A,,F000010PCQ,0P0001DKNK,,,17/10/2018,Liquidated
E Fund Xinzhuan Zhaoli Alloc C,,F000010PCR,0P0001DKNL,,,17/10/2018,Liquidated
CITIC Prudential Huize Bd (LOF),165530,F00001084O,0P0001CU64,,,12/10/2018,Liquidated
New China Healthy Life Thm Alloc,2715,F00000X6T3,0P00017ZHE,,,12/10/2018,Liquidated
Truvalue Xin Ret Mixed Fd A,3190,F00000XM2C,0P00018J2Q,,,11/10/2018,Liquidated
Truvalue Xin Ret Mixed Fd C,3191,F00000XM2D,0P00018J2R,,,11/10/2018,Liquidated
Truvalue Xin Value Alloc A,3232,F00000XMNU,0P00018JRW,,,11/10/2018,Liquidated
Truvalue Xin Value Alloc C,3233,F00000XMNV,0P00018JRX,,,11/10/2018,Liquidated
Zhong Ou Qifeng Dynamic Alloc Hybrid A,2013,F00000WIFT,0P00016ZCA,,,11/10/2018,Liquidated
Zhong Ou Qifeng Dynamic Alloc Hybrid C,2014,F00000WIFZ,0P00016ZCG,,,11/10/2018,Liquidated
FTS New Value Alloc A,2097,F00000WKFI,0P000171VC,,,10/10/2018,Liquidated
FTS New Value Alloc C,2098,F00000WKFJ,0P000171VD,,,10/10/2018,Liquidated
MinSheng Royal New Profit Bd Fd A,984,F00000WO66,0P0001764Q,,,9/10/2018,Liquidated
MinSheng Royal New Profit Bd Fd C,987,F00000WO67,0P0001764R,,,9/10/2018,Liquidated
Zhonghai Zhongxin Alloc,2110,F00000WJ76,0P000170F3,,,9/10/2018,Liquidated
Zhong Ou China HS300 Enhanced Idx(LOF)A,166007,F00000HKQT,0P0000O85N,,,8/10/2018,Liquidated
Zhong Ou China HS300 Enhanced Idx(LOF)E,1884,F00000WE3P,0P00016S5R,,,8/10/2018,Liquidated
Zhongrong Rongan Gtd NO.2 Fd,1739,F00000W5WC,0P00016I8X,,,29/9/2018,Liquidated
CIB Juming Flex Alloc,6046,F000010M4L,0P0001DGRA,,,28/9/2018,Liquidated
Tebon Xinxing Stable Flxbl Alloc,1259,F00000VQ5U,0P00015WNK,,,28/9/2018,Liquidated
Yinhua Quantified Wisdom PowerAlloc,62,F00000X52V,0P00017W0S,,,28/9/2018,Liquidated
China Life Bao wenjian Ret Fd A,1846,F00000WJYZ,0P000171BC,,,27/9/2018,Liquidated
China Life Bao wenjian Ret Fd C,2312,F00000WPT1,0P00017816,,,27/9/2018,Liquidated
BOCOM Schroders Excellent Return mix A,519764,F00000WQFQ,0P0001793T,,,26/9/2018,Liquidated
BOCOM Schroders Excellent Return mix C,519765,F00000YCOE,0P00019IIQ,,,26/9/2018,Liquidated
ChinaAMC New JinXiang Alloc A,3698,F00000YBR1,0P00019GV5,,,26/9/2018,Liquidated
ChinaAMC New JinXiang Alloc C,3699,F00000YBR2,0P00019GV6,,,26/9/2018,Liquidated
CMF AnYing Principal Gtd Balance Fund,217024,F00000OOEE,0P0000WNB3,,,25/9/2018,Liquidated
CIFM Total Return Bond Fund A,370025,F00000PAFK,0P0000XRGV,,,22/9/2018,Liquidated
CIFM Total Return Bond Fund C,370026,F00000PAFL,0P0000XRGW,,,22/9/2018,Liquidated
IGW JingYi ShengLi Bd A,3409,F00000XRQA,0P00018PVN,,,21/9/2018,Liquidated
IGW JingYi ShengLi Bd C,3410,F00000XRQB,0P00018PVO,,,21/9/2018,Liquidated
Fullgoal FuLi Stable Alloc A,3991,F00000YBYL,0P00019H7Q,,,20/9/2018,Liquidated
Fullgoal FuLi Stable Alloc C,3992,F00000YBYM,0P00019H7R,,,20/9/2018,Liquidated
China Fund WenHui Bd A,3976,F00000YJJ3,0P00019RV4,,,19/9/2018,Liquidated
China Fund WenHui Bd C,3977,F00000YJJ4,0P00019RV5,,,19/9/2018,Liquidated
Huaan New AnPing Alloc A,3801,F00000YBYF,0P00019H7K,,,19/9/2018,Liquidated
Huaan New AnPing Alloc C,3802,F00000YBYG,0P00019H7L,,,19/9/2018,Liquidated
HuaAn New Lexiang Grt mix,1800,F00000W6N8,0P00016J5Q,,,18/9/2018,Liquidated
HFT XinYue Alloc A,4491,F00000YRF5,0P0001A2MA,,,14/9/2018,Liquidated
HFT XinYue Alloc C,4490,F00000YRF6,0P0001A2MB,,,14/9/2018,Liquidated
CMF FengHe Flex Alloc A,2540,F00000XL8D,0P00018HWZ,,,13/9/2018,Liquidated
CMF FengHe Flex Alloc C,2541,F00000XL8E,0P00018HX0,,,13/9/2018,Liquidated
ChangSheng ShengPing Alloc A,3490,F00000XWQP,0P00018V7H,,,11/9/2018,Liquidated
ChangSheng ShengPing Alloc C,3491,F00000XWQQ,0P00018V7I,,,11/9/2018,Liquidated
ChinaAMC New JinTu Alloc A,3906,F00000Y9B2,0P00019CLD,,,11/9/2018,Liquidated
ChinaAMC New JinTu Alloc C,3907,F00000Y9B3,0P00019CLE,,,11/9/2018,Liquidated
CITIC Prudential XinFeng Return Alloc A,4518,F00000YQSO,0P0001A1S6,,,11/9/2018,Liquidated
CITIC Prudential XinFeng Return Alloc B,4519,F00000YQSP,0P0001A1S7,,,11/9/2018,Liquidated
Founder Fubon Sel Alloc A,1431,F00000VXI7,0P000166XL,,,8/9/2018,Liquidated
Founder Fubon Sel Alloc C,2297,F00000WS75,0P00017BNC,,,8/9/2018,Liquidated
Dacheng Jingpeng Flxbl Alloc A,1333,F00000VT1D,0P0001617M,,,7/9/2018,Liquidated
Dacheng Jingpeng Flxbl Alloc C,2374,F00000WR98,0P00017AMM,,,7/9/2018,Liquidated
FTS New Income Flexible Alloc A,2114,F00000XNK7,0P00018KU0,,,7/9/2018,Liquidated
FTS New Income Flexible Alloc C,2115,F00000XNK8,0P00018KU1,,,7/9/2018,Liquidated
Hongta High-quality Grwoth Alloc A,1673,F00000W20G,0P00016DCF,,,7/9/2018,Liquidated
Hongta High-quality Grwoth Alloc C,1674,F00000W20H,0P00016DCG,,,7/9/2018,Liquidated
Great Wall Principal Gtd Balance Fd,200016,F00000OHVP,0P0000WEJW,,,6/9/2018,Liquidated
Huafu ChenXin Alloc A,2726,F00000X50I,0P00017VYE,,,5/9/2018,Liquidated
Huafu ChenXin Alloc C,2727,F00000X50M,0P00017VYI,,,5/9/2018,Liquidated
Tebon RuiJing Bd A,3902,F00000Y7RI,0P000199JB,,,5/9/2018,Liquidated
Tebon RuiJing Bd C,3903,F00000Y7RJ,0P000199JC,,,5/9/2018,Liquidated
FTS New Power Alloc Fd C,2100,F00000XMNJ,0P00018JRL,,,4/9/2018,Liquidated
GF AnXiang Return Alloc A,3035,F00000XLVD,0P00018IV8,,,4/9/2018,Liquidated
GF AnXiang Return Alloc C,3036,F00000XLVE,0P00018IV9,,,4/9/2018,Liquidated
Harvest New Normal Alloc A,1639,F00000WP2E,0P0001777M,,,4/9/2018,Liquidated
Harvest New Normal Alloc C,1640,F00000WP2F,0P0001777N,,,4/9/2018,Liquidated
Maxwealth Quant Alloc,1754,F00000W6N5,0P00016J5N,,,4/9/2018,Liquidated
SWS Value YouXiang Alloc,4768,F00000Z2F9,0P0001AMRN,,,4/9/2018,Liquidated
UBS SDIC New Grow Alloc A,2041,F00000WK60,0P000171KB,,,4/9/2018,Liquidated
UBS SDIC New Grow Alloc C,2042,F00000WK61,0P000171KC,,,4/9/2018,Liquidated
Bosera JuRui Pure Bond,2781,F00000X7ML,0P000180OX,,,3/9/2018,Liquidated
Galaxy CSI 300 Enh Idx Classified Fund,161507,F00000PJHD,0P0000Y2ZD,,,31/8/2018,Liquidated
Galaxy CSI 300 Enh Idx Classified Plus,150122,F00000PJHF,0P0000Y2ZF,,,31/8/2018,Liquidated
Galaxy CSI 300 Enh Idx Classified Prefer,150121,F00000PJHE,0P0000Y2ZE,,,31/8/2018,Liquidated
GF AnRui Return Alloc A,2941,F00000XIA4,0P00018D7X,,,31/8/2018,Liquidated
GF AnRui Return Alloc C,2942,F00000XIAO,0P00018D8I,,,31/8/2018,Liquidated
Zhong Ou Junyi Money Market Fund,4213,F00000YDW6,0P00019JXC,,,31/8/2018,Liquidated
GF Antai Return Mix,1290,F00000VS64,0P00015ZJ2,,,30/8/2018,Liquidated
UBS SDIC New Income Alloc A,2039,F00000WIZY,0P0001706A,,,30/8/2018,Liquidated
UBS SDIC New Income Alloc C,2040,F00000WIZZ,0P0001706B,,,30/8/2018,Liquidated
Ping An-UOB Qut Grt Multi-stray Alloc A,3559,F00000XXS4,0P00018X6C,,,29/8/2018,Liquidated
Ping An-UOB Qut Grt Multi-stray Alloc C,3560,F00000XXS5,0P00018X6D,,,29/8/2018,Liquidated
Galaxy Junhong Flx Alloc A,4690,F000010ENL,0P0001D6A7,,,25/8/2018,Liquidated
Galaxy Junhong Flx Alloc C,4691,F000010ENM,0P0001D6A8,,,25/8/2018,Liquidated
Shanxi YuLi Bond Fund,3179,F00000XLSA,0P00018IQ1,,,25/8/2018,Liquidated
UBS SDIC AnYi Multi-Strategy Alloc,4287,F00000YK18,0P00019SGG,,,25/8/2018,Liquidated
MANULIFE TEDA JingTianBao MMKT Fd A,4414,F00000YLSH,0P00019UCD,,,24/8/2018,Liquidated
MANULIFE TEDA JingTianBao MMKT Fd B,4415,F00000YLSI,0P00019UCE,,,24/8/2018,Liquidated
MinSheng Royal New Power Alloc D,1274,F00000XDKW,0P000187Q2,,,24/8/2018,Liquidated
Dacheng Jingsui Flxbl Alloc A,1263,F00000VQ14,0P00015WGZ,,,23/8/2018,Liquidated
Dacheng Jingsui Flxbl Alloc C,2372,F00000WR97,0P00017AML,,,23/8/2018,Liquidated
Galaxy Runli Guaranteed Mixed A,519675,F00000U4ZK,0P00013XZY,,,22/8/2018,Liquidated
Galaxy Runli Guaranteed Mixed I,519648,F00000WJEU,0P000170NJ,,,22/8/2018,Liquidated
