,F0000000E7,F00000MCRR,F00000QKMH,F00000QKN5,F00000V471,F00000YW53,F00000Z9UC,F000010HP8
1,99.84082,37.31884,44.24029,27.70246,76.20193,40.84812,58.87935,98.21724
10,0,0,0,0,0,0,0,0
11,0,0,0,0,13.27186,0,0,0
12,0,8.56663,5.19858,20.62453,6.01166,9.77365,2.86436,0
13,0,19.59851,8.68262,30.72895,8.53275,2.76046,6.98611,0
2,0,16.29274,37.27178,0.60232,31.11106,43.91736,23.81563,1.20404
3,0,1.50584,0.37867,0,3.60392,0,0.63859,0
4,0,4.2387,0,0,0.07473,0,0,0
5,0,1.54495,0,0,0.03482,0,0,0
6,0,2.85023,0,0,0.11613,0,0,0
7,0,3.57704,0,0,0.77696,0,0,0
8,0,3.10258,0,0,0.10074,0,0,0.57847
9,0,0,0,0,0,0,0,0
