,0,1
0,00001.HK,长和
1,00002.HK,中电控股
2,00003.HK,香港中华煤气
3,00004.HK,九龙仓集团
4,00005.HK,汇丰控股
5,00006.HK,电能实业
6,00007.HK,香港金融集团
7,00008.HK,电讯盈科
8,00009.HK,九号运通
9,00010.HK,恒隆集团
10,00011.HK,恒生银行
11,00012.HK,恒基地产
12,00014.HK,希慎兴业
13,00015.HK,盈信控股
14,00016.HK,新鸿基地产
15,00017.HK,新世界发展
16,00018.HK,东方报业集团
17,00019.HK,太古股份公司A
18,00020.HK,会德丰
19,00021.HK,大中华地产控股
20,00022.HK,茂盛控股
21,00023.HK,东亚银行
22,00024.HK,宝威控股
23,00025.HK,CHEVALIER INT'L
24,00026.HK,中华汽车
25,00027.HK,银河娱乐
26,00028.HK,天安
27,00029.HK,达力集团
28,00030.HK,万隆控股集团
29,00031.HK,航天控股
30,00032.HK,港通控股
31,00033.HK,云铜股份(新)
32,00034.HK,九龙建业
33,00035.HK,远东发展
34,00036.HK,远东控股国际
35,00037.HK,远东酒店实业
36,00038.HK,第一拖拉机股份
37,00039.HK,中国北大荒
38,00040.HK,金山工业
39,00041.HK,鹰君
40,00042.HK,东北电气
41,00043.HK,卜蜂国际
42,00045.HK,大酒店
43,00046.HK,科联系统
44,00047.HK,合兴集团
45,00048.HK,中国汽车内饰
46,00050.HK,香港小轮(集团)
47,00051.HK,海港企业
48,00052.HK,FAIRWOOD HOLD
49,00053.HK,国浩集团
50,00055.HK,中星集团控股
51,00056.HK,联合地产(香港)
52,00057.HK,震雄集团
53,00058.HK,新威国际
54,00059.HK,天誉置业
55,00060.HK,香港食品投资
56,00061.HK,绿领控股
57,00062.HK,载通
58,00063.HK,中国烯谷集团
59,00064.HK,结好控股
60,00065.HK,弘海高新资源
61,00066.HK,港铁公司
62,00067.HK,旭光高新材料
63,00068.HK,利兴发展
64,00069.HK,香格里拉(亚洲)
65,00070.HK,金粤控股
66,00071.HK,美丽华酒店
67,00072.HK,现代传播
68,00073.HK,亚洲果业
69,00075.HK,渝太地产
70,00076.HK,南海石油
71,00077.HK,进智公共交通
72,00078.HK,REGAL INT'L
73,00079.HK,世纪建业
74,00080.HK,中国新经济投资
75,00081.HK,中国海外宏洋集团
76,00082.HK,第一视频
77,00083.HK,信和置业
78,00084.HK,宝光实业
79,00085.HK,中电华大科技
80,00086.HK,新鸿基公司
81,00087.HK,太古股份公司B
82,00088.HK,TAI CHEUNG HOLD
83,00089.HK,大生地产
84,00090.HK,普星洁能
85,00091.HK,标准资源控股
86,00092.HK,冠军科技集团
87,00093.HK,TERMBRAY IND
88,00094.HK,绿心集团
89,00095.HK,绿景中国地产
90,00096.HK,YUSEI
91,00097.HK,恒基发展
92,00098.HK,兴发铝业
93,00099.HK,王氏国际
94,00100.HK,白马户外媒体
95,00101.HK,恒隆地产
96,00102.HK,凯升控股
97,00103.HK,首长宝佳
98,00104.HK,ASIA COMM HOLD
99,00105.HK,凯联国际酒店
100,00106.HK,朗诗绿色集团
101,00107.HK,四川成渝高速公路
102,00108.HK,国锐地产
103,00109.HK,天成国际
104,00110.HK,中国长远
105,00111.HK,信达国际控股
106,00112.HK,勒泰集团
107,00113.HK,迪生创建
108,00114.HK,HERALD HOLD
109,00115.HK,钧濠集团
110,00116.HK,周生生
111,00117.HK,天利控股集团
112,00118.HK,大同机械
113,00119.HK,保利置业集团
114,00120.HK,COSMOPOL INT'L
115,00121.HK,卜蜂莲花
116,00122.HK,鳄鱼恤
117,00123.HK,越秀地产
118,00124.HK,粤海置地
119,00125.HK,新兴光学
120,00126.HK,佳宁娜
121,00127.HK,华人置业
122,00128.HK,安宁控股
123,00129.HK,泛海集团
124,00130.HK,慕诗国际
125,00131.HK,卓能(集团)
126,00132.HK,中国兴业控股
127,00133.HK,招商局中国基金
128,00135.HK,昆仑能源
129,00136.HK,恒腾网络
130,00137.HK,金辉集团
131,00138.HK,中建富通
132,00139.HK,中达集团控股
133,00141.HK,天禧海嘉控股
134,00142.HK,第一太平
135,00143.HK,国安国际
136,00144.HK,招商局港口
137,00145.HK,香港建屋贷款
138,00146.HK,TAI PING CARPET
139,00147.HK,国际商业结算
140,00148.HK,建滔集团
141,00149.HK,中国农产品交易
142,00150.HK,HYPEBEAST
143,00151.HK,中国旺旺
144,00152.HK,深圳国际
145,00153.HK,中国赛特
146,00154.HK,北京控股环境集团
147,00155.HK,中国源畅
148,00156.HK,力宝华润
149,00157.HK,自然美
150,00158.HK,万邦投资
151,00159.HK,布莱克万矿业
152,00160.HK,汉国置业
153,00161.HK,中航国际控股
154,00162.HK,世纪金花
155,00163.HK,英皇国际
156,00164.HK,中国宝力科技
157,00165.HK,中国光大控股
158,00166.HK,新时代能源
159,00167.HK,IDT INT'L
160,00168.HK,青岛啤酒股份
161,00169.HK,万达酒店发展
162,00171.HK,银建国际
163,00172.HK,金榜集团
164,00173.HK,嘉华国际
165,00174.HK,盛洋投资
166,00175.HK,吉利汽车
167,00176.HK,先机企业集团
168,00177.HK,江苏宁沪高速公路
169,00178.HK,莎莎国际
170,00179.HK,德昌电机控股
171,00180.HK,开达集团
172,00181.HK,闽港控股
173,00182.HK,协合新能源
174,00183.HK,宏辉集团
175,00184.HK,激成投资
176,00185.HK,正商实业
177,00186.HK,敏捷控股
178,00187.HK,京城机电股份
179,00188.HK,新华汇富金融
180,00189.HK,东岳集团
181,00190.HK,香港建设(控股)
182,00191.HK,丽新国际
183,00193.HK,冠中地产
184,00194.HK,廖创兴企业
185,00195.HK,绿科科技国际
186,00196.HK,宏华集团
187,00197.HK,亨泰
188,00198.HK,星美控股
189,00199.HK,德祥地产
190,00200.HK,新濠国际发展
191,00201.HK,华大酒店
192,00202.HK,润中国际控股
193,00204.HK,中国投资开发
194,00205.HK,财讯传媒
195,00206.HK,华商国际海洋控股
196,00207.HK,大悦城地产
197,00208.HK,保利达资产
198,00209.HK,瀛晟科学
199,00210.HK,达芙妮国际
200,00211.HK,STYLAND HOLD
201,00212.HK,NANYANG HOLD
202,00213.HK,NATIONAL ELEC H
203,00214.HK,汇汉控股
204,00215.HK,和记电讯香港
205,00216.HK,建业实业
206,00217.HK,中国诚通发展集团
207,00218.HK,申万宏源香港
208,00219.HK,顺豪物业
209,00220.HK,统一企业中国
210,00221.HK,易易壹金融
211,00222.HK,闽信集团
212,00223.HK,易生活控股
213,00224.HK,建生国际
214,00225.HK,博富临置业
215,00226.HK,力宝
216,00227.HK,第一上海
217,00228.HK,中能控股
218,00229.HK,利民实业
219,00230.HK,五矿地产
220,00231.HK,平安证券集团控股
221,00232.HK,中国航空工业国际
222,00233.HK,铭源医疗
223,00234.HK,新世纪集团
224,00235.HK,中策集团
225,00236.HK,香港生力啤
226,00237.HK,安全货仓
227,00238.HK,长兴国际
228,00239.HK,白花油
229,00240.HK,利基控股
230,00241.HK,阿里健康
231,00242.HK,信德集团
232,00243.HK,QPL INT'L
233,00244.HK,先施
234,00245.HK,中国民生金融
235,00246.HK,瑞金矿业
236,00247.HK,TST PROPERTIES
237,00248.HK,香港通讯国际控股
238,00250.HK,中国数码信息
239,00251.HK,爪哇控股
240,00252.HK,华信地产财务
241,00253.HK,顺豪控股
242,00254.HK,国家联合资源
243,00255.HK,龙记集团
244,00256.HK,冠城钟表珠宝
245,00257.HK,中国光大国际
246,00258.HK,汤臣集团
247,00259.HK,亿都(国际控股)
248,00260.HK,幸福控股
249,00261.HK,大湾区投资控股
250,00262.HK,迪臣发展国际
251,00263.HK,高富集团控股
252,00264.HK,中玺国际
253,00265.HK,东胜旅游
254,00266.HK,天德地产
255,00267.HK,中信股份
256,00268.HK,金蝶国际
257,00269.HK,中国资源交通
258,00270.HK,粤海投资
259,00271.HK,亚证地产
260,00272.HK,瑞安房地产
261,00273.HK,茂宸集团
262,00274.HK,中富资源
263,00275.HK,凯华集团
264,00276.HK,蒙古能源
265,00277.HK,太兴置业
266,00278.HK,华厦置业
267,00279.HK,民众金融科技
268,00280.HK,景福集团
269,00281.HK,川河集团
270,00282.HK,壹传媒
271,00285.HK,比亚迪电子
272,00286.HK,同佳健康
273,00287.HK,永发置业
274,00288.HK,万洲国际
275,00289.HK,WING ON CO
276,00290.HK,中国富强金融
277,00291.HK,华润啤酒
278,00292.HK,泛海酒店
279,00293.HK,国泰航空
280,00294.HK,长江制衣
281,00295.HK,江山控股
282,00296.HK,英皇娱乐酒店
283,00297.HK,中化化肥
284,00298.HK,庄士中国
285,00299.HK,宝新置地
286,00300.HK,昆明机床
287,00303.HK,VTECH HOLDINGS
288,00305.HK,五菱汽车
289,00306.HK,冠忠巴士集团
290,00307.HK,优派能源发展
291,00308.HK,香港中旅
292,00309.HK,新华通讯频媒
293,00310.HK,嘉进投资国际
294,00311.HK,联泰控股
295,00312.HK,岁宝百货
296,00313.HK,裕田中国
297,00315.HK,数码通电讯
298,00316.HK,东方海外国际
299,00317.HK,中船防务
300,00318.HK,黄河实业
301,00320.HK,金宝通
302,00321.HK,德永佳集团
303,00322.HK,康师傅控股
304,00323.HK,马鞍山钢铁股份
305,00326.HK,中国星集团
306,00327.HK,百富环球
307,00328.HK,ALCO HOLDINGS
308,00329.HK,东建国际
309,00330.HK,思捷环球
310,00331.HK,丰盛服务集团
311,00332.HK,元亨燃气
312,00333.HK,黛丽斯国际
313,00334.HK,华显光电
314,00335.HK,美建集团
315,00336.HK,华宝国际
316,00337.HK,绿地香港
317,00338.HK,上海石油化工股份
318,00339.HK,核心经济投资
319,00340.HK,潼关黄金
320,00341.HK,大家乐集团
321,00342.HK,新海能源
322,00343.HK,文化传信
323,00345.HK,VITASOY INT'L
324,00346.HK,延长石油国际
325,00347.HK,鞍钢股份
326,00348.HK,中国智能健康
327,00351.HK,亚洲能源物流
328,00352.HK,富阳
329,00353.HK,能源国际投资
330,00354.HK,中国软件国际
331,00355.HK,世纪城市国际
332,00356.HK,鼎立资本
333,00357.HK,瑞港集团
334,00358.HK,江西铜业股份
335,00359.HK,海升果汁
336,00360.HK,新焦点
337,00361.HK,顺龙控股
338,00362.HK,信阳毛尖
339,00363.HK,上海实业控股
340,00364.HK,区块链集团
341,00365.HK,紫光控股
342,00366.HK,陆氏集团(越南)
343,00367.HK,庄士机构国际
344,00369.HK,永泰地产
