sinal,date,value,percentage
bull signal,1990-03-26,3014.020,0.100
bull peak,1990-07-23,3559.890,0.301
bear signal,1990-08-06,3107.980,0.100
bear bottom,1990-09-28,2760.820,0.224
bull signal,1990-10-23,3081.230,0.100
bull peak,1992-07-16,6162.530,1.232
bear signal,1992-08-20,5481.610,0.100
bear bottom,1992-08-25,5291.490,0.141
bull signal,1992-10-15,5913.640,0.100
bull peak,1992-11-12,6447.110,0.218
bear signal,1992-12-01,5501.710,0.100
bear bottom,1992-12-03,4978.210,0.228
bull signal,1992-12-28,5531.650,0.100
bull peak,1993-03-09,6508.000,0.307
bear signal,1993-03-15,5854.610,0.100
bear bottom,1993-03-15,5854.610,0.100
bull signal,1993-04-14,6789.740,0.100
bull peak,1994-01-04,12201.090,1.084
bear signal,1994-01-12,10712.730,0.100
bear bottom,1994-01-13,10176.510,0.166
bull signal,1994-01-19,11363.770,0.100
bull peak,1994-02-04,12157.570,0.195
bear signal,1994-02-16,10634.140,0.100
bear bottom,1994-03-21,8667.030,0.287
bull signal,1994-04-12,9738.090,0.100
bull peak,1994-04-13,9753.760,0.125
bear signal,1994-05-03,8679.130,0.100
bear bottom,1994-05-04,8369.440,0.142
bull signal,1994-05-16,9253.410,0.100
bull peak,1994-05-20,9631.630,0.151
bear signal,1994-06-27,8647.480,0.100
bear bottom,1994-07-11,8394.940,0.128
bull signal,1994-07-27,9402.180,0.100
bull peak,1994-09-07,10165.870,0.211
bear signal,1994-11-22,8948.430,0.100
bear bottom,1995-01-23,6967.930,0.315
bull signal,1995-02-06,7897.800,0.100
bull peak,1996-02-16,11594.990,0.664
bear signal,1996-03-11,10397.450,0.100
bear bottom,1996-03-13,10249.480,0.116
bull signal,1996-08-20,11312.510,0.100
bull peak,1997-01-20,13868.240,0.353
bear signal,1997-03-20,12472.330,0.100
bear bottom,1997-04-03,12055.170,0.131
bull signal,1997-05-05,13399.340,0.100
bull peak,1997-08-07,16673.270,0.383
bear signal,1997-08-28,14876.100,0.100
