date,SHCOMP INDEX,MXWD INDEX,SPX INDEX,SHSZ300 INDEX,HSI INDEX
1990-01-01,,139.57,353.4,,2836.57
1990-01-02,,140.01,359.69,,2838.07
1990-01-03,,140.08,358.76,,2858.72
1990-01-04,,140.59,355.67,,2867.95
1990-01-05,,139.45,352.2,,2839.94
1990-01-06,,139.45,352.2,,2839.94
1990-01-07,,139.45,352.2,,2839.94
1990-01-08,,139.8,353.79,,2816.24
1990-01-09,,138.64,349.62,,2822.16
1990-01-10,,137.86,347.31,,2868.0
1990-01-11,,138.25,348.53,,2855.52
1990-01-12,,136.46,339.93,,2835.94
1990-01-13,,136.46,339.93,,2835.94
1990-01-14,,136.46,339.93,,2835.94
1990-01-15,,135.64,337.0,,2786.69
1990-01-16,,134.15,340.75,,2751.79
1990-01-17,,133.82,337.4,,2754.84
1990-01-18,,132.89,338.19,,2771.67
1990-01-19,,132.88,339.15,,2776.29
1990-01-20,,132.88,339.15,,2776.29
1990-01-21,,132.88,339.15,,2776.29
1990-01-22,,132.08,330.38,,2771.65
1990-01-23,,132.16,331.61,,2762.45
1990-01-24,,131.59,330.26,,2756.39
1990-01-25,,131.56,326.08,,2768.86
1990-01-26,,131.88,325.8,,2768.86
1990-01-27,,131.88,325.8,,2768.86
1990-01-28,,131.88,325.8,,2768.86
1990-01-29,,133.06,325.2,,2768.86
1990-01-30,,132.64,322.98,,2760.8
1990-01-31,,132.91,329.08,,2751.6
1990-02-01,,133.31,328.79,,2738.24
1990-02-02,,133.87,330.92,,2736.55
1990-02-03,,133.87,330.92,,2736.55
1990-02-04,,133.87,330.92,,2736.55
1990-02-05,,134.26,331.85,,2756.67
1990-02-06,,134.41,329.66,,2792.89
1990-02-07,,134.01,333.75,,2844.89
1990-02-08,,133.96,332.96,,2903.77
1990-02-09,,133.37,333.62,,2893.9
1990-02-10,,133.37,333.62,,2893.9
1990-02-11,,133.37,333.62,,2893.9
1990-02-12,,132.87,330.08,,2894.66
1990-02-13,,132.48,331.02,,2863.55
1990-02-14,,132.77,332.01,,2870.43
1990-02-15,,133.66,334.89,,2910.04
1990-02-16,,133.69,332.72,,2939.25
1990-02-17,,133.69,332.72,,2939.25
1990-02-18,,133.69,332.72,,2939.25
1990-02-19,,133.13,332.72,,2968.0
1990-02-20,,131.3,327.99,,2980.9
1990-02-21,,129.34,327.67,,2862.27
1990-02-22,,128.98,325.7,,2927.92
1990-02-23,,126.69,324.15,,2894.31
1990-02-24,,126.69,324.15,,2894.31
1990-02-25,,126.69,324.15,,2894.31
1990-02-26,,124.45,328.67,,2872.63
1990-02-27,,125.78,330.26,,2932.62
1990-02-28,,127.09,331.89,,2951.98
1990-03-01,,125.84,332.74,,2933.13
1990-03-02,,126.4,335.54,,2937.93
1990-03-03,,126.4,335.54,,2937.93
1990-03-04,,126.4,335.54,,2937.93
1990-03-05,,126.17,333.74,,2938.68
1990-03-06,,126.35,337.93,,2933.23
1990-03-07,,125.63,336.95,,2926.45
1990-03-08,,126.57,340.27,,2915.73
1990-03-09,,125.96,337.93,,2912.67
1990-03-10,,125.96,337.93,,2912.67
1990-03-11,,125.96,337.93,,2912.67
1990-03-12,,124.9,338.67,,2892.98
1990-03-13,,123.27,336.0,,2887.62
1990-03-14,,122.89,336.87,,2881.23
1990-03-15,,123.12,338.07,,2892.81
1990-03-16,,124.05,341.91,,2886.46
1990-03-17,,124.05,341.91,,2886.46
1990-03-18,,124.05,341.91,,2886.46
1990-03-19,,122.36,343.53,,2871.39
1990-03-20,,120.98,341.57,,2880.03
1990-03-21,,120.25,339.74,,2926.92
1990-03-22,,117.77,335.69,,2948.67
1990-03-23,,119.28,337.22,,2974.16
1990-03-24,,119.28,337.22,,2974.16
1990-03-25,,119.28,337.22,,2974.16
1990-03-26,,121.01,337.63,,3014.02
1990-03-27,,121.37,341.5,,3010.85
