,SHCOMP INDEX,MXWD INDEX,SPX INDEX,SHSZ300 INDEX,HSI INDEX
,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
date,,,,,
1990-01-01,,,14.71,,
1990-01-02,,,14.9718,,
1990-01-03,,,14.9331,,
1990-01-04,,,14.8045,,
1990-01-05,,,15.12,,
1990-01-06,,,15.12,,
1990-01-07,,,15.12,,
1990-01-08,,,15.1883,,
1990-01-09,,,15.0092,,
1990-01-10,,,14.9101,,
1990-01-11,,,14.9624,,
1990-01-12,,,14.66,,
1990-01-13,,,14.66,,
1990-01-14,,,14.66,,
1990-01-15,,,14.5336,,
1990-01-16,,,14.6954,,
1990-01-17,,,14.5509,,
1990-01-18,,,14.585,,
1990-01-19,,,14.24,,
1990-01-20,,,14.24,,
1990-01-21,,,14.24,,
1990-01-22,,,13.8718,,
1990-01-23,,,13.9234,,
1990-01-24,,,13.8667,,
1990-01-25,,,13.6912,,
1990-01-26,,,13.94,,
1990-01-27,,,13.94,,
1990-01-28,,,13.94,,
1990-01-29,,,13.9143,,
1990-01-30,,,13.8193,,
1990-01-31,,,13.7859,,
1990-02-01,,,13.7486,,
1990-02-02,,,13.8337,,
1990-02-03,,,13.8337,,
1990-02-04,,,13.8337,,
1990-02-05,,,13.83,,
1990-02-06,,,13.7424,,
1990-02-07,,,13.9229,,
1990-02-08,,,13.9023,,
1990-02-09,,,13.9235,,
1990-02-10,,,13.9235,,
1990-02-11,,,13.9235,,
1990-02-12,,,13.7859,,
1990-02-13,,,13.8252,,
1990-02-14,,,13.8563,,
1990-02-15,,,13.982,,
1990-02-16,,,13.882,,
1990-02-17,,,13.882,,
1990-02-18,,,13.882,,
1990-02-19,,,13.882,,
1990-02-20,,,13.6947,,
1990-02-21,,,13.6823,,
1990-02-22,,,13.5912,,
1990-02-23,,,13.5209,,
1990-02-24,,,13.5209,,
1990-02-25,,,13.5209,,
1990-02-26,,,13.7252,,
1990-02-27,,,13.7895,,
1990-02-28,,,13.9664,,
1990-03-01,,,13.9961,,
1990-03-02,,,14.1571,,
1990-03-03,,,14.1571,,
1990-03-04,,,14.1571,,
1990-03-05,,,14.0789,,
1990-03-06,,,14.2691,,
1990-03-07,,,14.237,,
1990-03-08,,,14.3747,,
1990-03-09,,,14.2773,,
1990-03-10,,,14.2773,,
1990-03-11,,,14.2773,,
1990-03-12,,,14.3081,,
1990-03-13,,,14.1946,,
1990-03-14,,,14.2409,,
1990-03-15,,,14.3019,,
1990-03-16,,,14.4876,,
1990-03-17,,,14.4876,,
1990-03-18,,,14.4876,,
1990-03-19,,,14.5664,,
1990-03-20,,,14.4803,,
1990-03-21,,,14.3967,,
1990-03-22,,,14.2256,,
1990-03-23,,,14.2955,,
1990-03-24,,,14.2955,,
1990-03-25,,,14.2955,,
1990-03-26,,,14.316,,
1990-03-27,,,14.4823,,
1990-03-28,,,14.4906,,
1990-03-29,,,14.4831,,
1990-03-30,,,14.3812,,
1990-03-31,,,14.3812,,
1990-04-01,,,14.3812,,
1990-04-02,,,14.4079,,
1990-04-03,,,14.6199,,
1990-04-04,,,14.5078,,
1990-04-05,,,14.4994,,
1990-04-06,,,14.4751,,
1990-04-07,,,14.4751,,
1990-04-08,,,14.4751,,
1990-04-09,,,14.5297,,
1990-04-10,,,14.5494,,
1990-04-11,,,14.5364,,
1990-04-12,,,14.6456,,
1990-04-13,,,14.6456,,
1990-04-14,,,14.6456,,
1990-04-15,,,14.6456,,
1990-04-16,,,14.669599999999999,,
1990-04-17,,,14.6732,,
