,SecuCode
0,603999.SH
1,603998.SH
2,603997.SH
3,603996.SH
4,603993.SH
5,603991.SH
6,603990.SH
7,603989.SH
8,603988.SH
9,603987.SH
10,603986.SH
11,603985.SH
12,603980.SH
13,603979.SH
14,603978.SH
15,603977.SH
16,603976.SH
17,603970.SH
18,603969.SH
19,603968.SH
20,603966.SH
21,603963.SH
22,603960.SH
23,603959.SH
24,603958.SH
25,603955.SH
26,603939.SH
27,603938.SH
28,603937.SH
29,603936.SH
30,603933.SH
31,603929.SH
32,603928.SH
33,603926.SH
34,603922.SH
35,603920.SH
36,603919.SH
37,603918.SH
38,603917.SH
39,603916.SH
40,603912.SH
41,603909.SH
42,603908.SH
43,603906.SH
44,603903.SH
45,603901.SH
46,603900.SH
47,603899.SH
48,603898.SH
49,603897.SH
50,603896.SH
51,603895.SH
52,603890.SH
53,603889.SH
54,603888.SH
55,603887.SH
56,603886.SH
57,603885.SH
58,603883.SH
59,603882.SH
60,603881.SH
61,603880.SH
62,603879.SH
63,603878.SH
64,603877.SH
65,603876.SH
66,603871.SH
67,603869.SH
68,603868.SH
69,603866.SH
70,603861.SH
71,603860.SH
72,603859.SH
73,603858.SH
74,603856.SH
75,603855.SH
76,603848.SH
77,603843.SH
78,603839.SH
79,603838.SH
80,603833.SH
81,603829.SH
82,603828.SH
83,603826.SH
84,603825.SH
85,603823.SH
86,603822.SH
87,603819.SH
88,603818.SH
89,603817.SH
90,603816.SH
91,603813.SH
92,603811.SH
93,603809.SH
94,603808.SH
95,603806.SH
96,603803.SH
97,603801.SH
98,603800.SH
99,603799.SH
100,603798.SH
101,603797.SH
102,603789.SH
103,603788.SH
104,603787.SH
105,603779.SH
106,603778.SH
107,603777.SH
108,603776.SH
109,603773.SH
110,603768.SH
111,603767.SH
112,603766.SH
113,603758.SH
114,603757.SH
115,603738.SH
116,603737.SH
117,603733.SH
118,603730.SH
119,603729.SH
120,603728.SH
121,603727.SH
122,603726.SH
123,603725.SH
124,603722.SH
125,603721.SH
126,603718.SH
127,603717.SH
128,603716.SH
129,603713.SH
130,603712.SH
131,603711.SH
132,603709.SH
133,603708.SH
134,603707.SH
135,603706.SH
136,603703.SH
137,603701.SH
138,603699.SH
139,603698.SH
140,603696.SH
141,603693.SH
142,603690.SH
143,603689.SH
144,603688.SH
145,603686.SH
146,603685.SH
147,603683.SH
148,603680.SH
149,603679.SH
150,603678.SH
151,603677.SH
152,603676.SH
153,603669.SH
154,603668.SH
155,603667.SH
156,603666.SH
157,603665.SH
158,603663.SH
159,603661.SH
160,603660.SH
161,603659.SH
162,603658.SH
163,603657.SH
164,603656.SH
165,603655.SH
166,603650.SH
167,603648.SH
168,603639.SH
169,603638.SH
170,603637.SH
171,603636.SH
172,603633.SH
173,603630.SH
174,603628.SH
175,603626.SH
176,603619.SH
177,603618.SH
178,603617.SH
179,603616.SH
180,603615.SH
181,603612.SH
182,603611.SH
183,603609.SH
184,603608.SH
185,603607.SH
186,603606.SH
