,exchange,code
0,CFE,IC
1,CFE,IF
2,CFE,IH
3,CFE,T
4,CFE,TF
5,CFE,TS
6,SHF,AG
7,SHF,AL
8,SHF,AU
9,SHF,BU
10,SHF,CU
11,SHF,FU
12,SHF,HC
13,SHF,NI
14,SHF,PB
15,SHF,RB
16,SHF,RU
17,SHF,SN
18,SHF,SP
19,SHF,WR
20,SHF,ZN
21,DCE,A
22,DCE,B
23,DCE,BB
24,DCE,C
25,DCE,CS
26,DCE,EG
27,DCE,FB
28,DCE,I
29,DCE,J
30,DCE,JD
31,DCE,JM
32,DCE,L
33,DCE,M
34,DCE,P
35,DCE,PP
36,DCE,V
37,DCE,Y
38,CZC,AP
39,CZC,CF
40,CZC,CY
41,CZC,FG
42,CZC,JR
43,CZC,LR
44,CZC,MA
45,CZC,OI
46,CZC,PM
47,CZC,RI
48,CZC,RM
49,CZC,RS
50,CZC,SF
51,CZC,SM
52,CZC,SR
53,CZC,TA
54,CZC,WH
55,CZC,ZC
