,NON_NON_20,NON_NON_40,NON_NON_60,NON_NON_80
VTI,0.08596288451128123,0.15299231401540456,0.24701263299273774,0.3459131591680906
SCHF,0.05000543061505862,0.08640000751291117,0.129600027929492,0.17281478725132812
VWO,0.019555851693795204,0.030101493044976946,0.05741555685252732,0.08380078511938127
VB,0.017275833180337125,0.01967583744906774,0.0232758491495986,0.026875837940864237
AGG,0.14000699999988114,0.18000900000000003,0.120006,0.060003
EMB,0.05444716666662044,0.07000350000000001,0.046668999999999995,0.0233345
HYG,0.07000349999994057,0.09000450000000002,0.060003,0.0300015
FLOT,0.27597379999976573,0.21198060000000002,0.1413204,0.07066019999999999
VTIP,0.0373351999999683,0.0480024,0.0320016,0.016000799999999996
SHV,0.22223333333314468,-6.667011905712756e-29,-6.762739334621502e-29,8.42176743742912e-30
GLD,0.007999999999993276,0.016,0.024,0.032
XLE,-9.768882584537293e-14,0.019265895279980707,0.02120650854555394,0.02480550022906119
QQQ,-9.768600198591266e-14,0.019265942674924864,0.02530498707115456,0.024805499905858265
ASHR,0.019199999999776566,0.03839999999998756,0.05068592331758639,0.06388592135570913
INDA,-2.0801487951529296e-13,0.01789851002274644,0.021498514141349394,0.02509850902970714
