date,open,high,low,close
2019-10-11 00:00:00+00:00,1.1011,1.1014,1.1005,1.1006
2019-10-11 01:00:00+00:00,1.1006,1.1016,1.1006,1.1016
2019-10-11 02:00:00+00:00,1.1016,1.1018,1.1016,1.1017
2019-10-11 03:00:00+00:00,1.1017,1.1018,1.1015,1.1015
2019-10-11 04:00:00+00:00,1.1015,1.102,1.1015,1.1016
2019-10-11 05:00:00+00:00,1.1016,1.1019,1.1014,1.1016
2019-10-11 06:00:00+00:00,1.1016,1.1023,1.1012,1.1018
2019-10-11 07:00:00+00:00,1.1018,1.102,1.1009,1.1011
2019-10-11 08:00:00+00:00,1.1011,1.1016,1.1001,1.101
2019-10-11 09:00:00+00:00,1.101,1.1025,1.1007,1.102
2019-10-11 10:00:00+00:00,1.102,1.104,1.102,1.1035
2019-10-11 11:00:00+00:00,1.1035,1.1063,1.1034,1.1055
2019-10-11 12:00:00+00:00,1.1055,1.1056,1.1038,1.1046
2019-10-11 13:00:00+00:00,1.1046,1.1063,1.1044,1.1053
2019-10-11 14:00:00+00:00,1.1054,1.1057,1.1026,1.1034
2019-10-11 15:00:00+00:00,1.1034,1.1054,1.1034,1.1039
2019-10-11 16:00:00+00:00,1.1039,1.1052,1.1031,1.1051
2019-10-11 17:00:00+00:00,1.1051,1.1052,1.1042,1.1046
2019-10-11 18:00:00+00:00,1.1046,1.1047,1.1041,1.1042
2019-10-11 19:00:00+00:00,1.1042,1.1048,1.1036,1.104
2019-10-11 20:00:00+00:00,1.104,1.1042,1.1033,1.1042
2019-10-13 18:00:00+00:00,1.1044,1.1051,1.1035,1.1037
2019-10-13 19:00:00+00:00,1.1037,1.1039,1.1033,1.1035
2019-10-13 20:00:00+00:00,1.1035,1.1036,1.1031,1.1034
2019-10-13 21:00:00+00:00,1.1033,1.1038,1.1032,1.1037
2019-10-13 22:00:00+00:00,1.1037,1.1037,1.1029,1.103
2019-10-13 23:00:00+00:00,1.103,1.1031,1.1025,1.1028
2019-10-14 00:00:00+00:00,1.1028,1.1032,1.1024,1.1028
2019-10-14 01:00:00+00:00,1.1028,1.1029,1.1025,1.1029
2019-10-14 02:00:00+00:00,1.1029,1.1029,1.1026,1.1028
2019-10-14 03:00:00+00:00,1.1028,1.1031,1.1026,1.1031
2019-10-14 04:00:00+00:00,1.1031,1.1036,1.1031,1.1031
2019-10-14 05:00:00+00:00,1.1031,1.1034,1.1026,1.103
2019-10-14 06:00:00+00:00,1.103,1.1032,1.1013,1.1018
2019-10-14 07:00:00+00:00,1.1018,1.103,1.1014,1.1018
2019-10-14 08:00:00+00:00,1.1018,1.1033,1.1016,1.103
2019-10-14 09:00:00+00:00,1.103,1.1039,1.103,1.1038
2019-10-14 10:00:00+00:00,1.1038,1.1043,1.1029,1.1031
2019-10-14 11:00:00+00:00,1.1031,1.1031,1.1025,1.1028
2019-10-14 12:00:00+00:00,1.1028,1.1032,1.1024,1.1024
2019-10-14 13:00:00+00:00,1.1024,1.1029,1.1021,1.1025
2019-10-14 14:00:00+00:00,1.1025,1.1031,1.102,1.1024
2019-10-14 15:00:00+00:00,1.1024,1.1027,1.1018,1.1027
2019-10-14 16:00:00+00:00,1.1027,1.1031,1.1023,1.103
2019-10-14 17:00:00+00:00,1.103,1.1031,1.1025,1.1026
2019-10-14 18:00:00+00:00,1.1026,1.1033,1.1025,1.1031
2019-10-14 19:00:00+00:00,1.1031,1.1032,1.1024,1.1024
2019-10-14 20:00:00+00:00,1.1024,1.1027,1.1023,1.1027
2019-10-14 21:00:00+00:00,1.1027,1.103,1.1024,1.1024
2019-10-14 22:00:00+00:00,1.1025,1.1029,1.1025,1.1028
2019-10-14 23:00:00+00:00,1.1028,1.1028,1.1025,1.1026
2019-10-15 00:00:00+00:00,1.1026,1.1027,1.1022,1.1026
2019-10-15 01:00:00+00:00,1.1026,1.1032,1.1025,1.103
2019-10-15 02:00:00+00:00,1.103,1.1031,1.1026,1.1027
2019-10-15 03:00:00+00:00,1.1027,1.1032,1.1027,1.1032
2019-10-15 04:00:00+00:00,1.1032,1.1033,1.1027,1.1029
2019-10-15 05:00:00+00:00,1.1029,1.1033,1.1027,1.1033
2019-10-15 06:00:00+00:00,1.1033,1.1046,1.1026,1.1039
2019-10-15 07:00:00+00:00,1.1039,1.1039,1.1013,1.1021
2019-10-15 08:00:00+00:00,1.1021,1.1031,1.1019,1.1027
2019-10-15 09:00:00+00:00,1.1027,1.1027,1.1007,1.1013
2019-10-15 10:00:00+00:00,1.1013,1.102,1.1009,1.1016
2019-10-15 11:00:00+00:00,1.1016,1.1017,1.1003,1.1006
2019-10-15 12:00:00+00:00,1.1006,1.101,1.0996,1.1005
2019-10-15 13:00:00+00:00,1.1005,1.101,1.0991,1.0994
2019-10-15 14:00:00+00:00,1.0994,1.1045,1.0993,1.1035
2019-10-15 15:00:00+00:00,1.1035,1.1044,1.1031,1.1035
2019-10-15 16:00:00+00:00,1.1035,1.1037,1.1016,1.1023
2019-10-15 17:00:00+00:00,1.1023,1.1032,1.1017,1.103
2019-10-15 18:00:00+00:00,1.103,1.1036,1.1028,1.1036
2019-10-15 19:00:00+00:00,1.1036,1.1038,1.1031,1.1034
2019-10-15 20:00:00+00:00,1.1034,1.1035,1.103,1.1033
2019-10-15 21:00:00+00:00,1.1033,1.1036,1.1025,1.1031
2019-10-15 22:00:00+00:00,1.1031,1.1035,1.1031,1.1034
