date,open,high,low,close
2019-10-11 00:00:00+00:00,72.954,73.205,72.92,73.131
2019-10-11 01:00:00+00:00,73.131,73.184,73.058,73.129
2019-10-11 02:00:00+00:00,73.128,73.171,73.091,73.164
2019-10-11 03:00:00+00:00,73.165,73.245,73.148,73.208
2019-10-11 04:00:00+00:00,73.207,73.207,73.14,73.169
2019-10-11 05:00:00+00:00,73.169,73.233,73.158,73.212
2019-10-11 06:00:00+00:00,73.212,73.236,73.111,73.202
2019-10-11 07:00:00+00:00,73.202,73.291,73.195,73.247
2019-10-11 08:00:00+00:00,73.247,73.355,73.213,73.351
2019-10-11 09:00:00+00:00,73.351,73.468,73.324,73.434
2019-10-11 10:00:00+00:00,73.435,73.621,73.434,73.582
2019-10-11 11:00:00+00:00,73.582,73.795,73.561,73.794
2019-10-11 12:00:00+00:00,73.794,73.794,73.603,73.624
2019-10-11 13:00:00+00:00,73.624,73.81,73.582,73.774
2019-10-11 14:00:00+00:00,73.774,73.833,73.708,73.769
2019-10-11 15:00:00+00:00,73.769,73.958,73.769,73.834
2019-10-11 16:00:00+00:00,73.834,73.876,73.623,73.747
2019-10-11 17:00:00+00:00,73.747,73.915,73.651,73.691
2019-10-11 18:00:00+00:00,73.692,73.802,73.651,73.793
2019-10-11 19:00:00+00:00,73.793,73.823,73.608,73.618
2019-10-11 20:00:00+00:00,73.618,73.69,73.551,73.558
2019-10-13 18:00:00+00:00,73.504,73.601,73.504,73.555
2019-10-13 19:00:00+00:00,73.555,73.597,73.51,73.51
2019-10-13 20:00:00+00:00,73.51,73.586,73.51,73.572
2019-10-13 21:00:00+00:00,73.572,73.693,73.56,73.693
2019-10-13 22:00:00+00:00,73.693,73.75,73.659,73.729
2019-10-13 23:00:00+00:00,73.729,73.742,73.64,73.738
2019-10-14 00:00:00+00:00,73.737,73.739,73.404,73.447
2019-10-14 01:00:00+00:00,73.446,73.476,73.284,73.435
2019-10-14 02:00:00+00:00,73.435,73.507,73.363,73.488
2019-10-14 03:00:00+00:00,73.488,73.545,73.469,73.525
2019-10-14 04:00:00+00:00,73.525,73.591,73.499,73.501
2019-10-14 05:00:00+00:00,73.502,73.525,73.417,73.468
2019-10-14 06:00:00+00:00,73.468,73.501,73.277,73.36
2019-10-14 07:00:00+00:00,73.36,73.394,73.191,73.193
2019-10-14 08:00:00+00:00,73.193,73.264,73.163,73.24
2019-10-14 09:00:00+00:00,73.24,73.263,72.998,73.077
2019-10-14 10:00:00+00:00,73.075,73.082,73.017,73.07
2019-10-14 11:00:00+00:00,73.07,73.119,73.055,73.116
2019-10-14 12:00:00+00:00,73.116,73.158,73.097,73.128
2019-10-14 13:00:00+00:00,73.128,73.23,73.119,73.205
2019-10-14 14:00:00+00:00,73.205,73.372,73.176,73.36
2019-10-14 15:00:00+00:00,73.36,73.416,73.298,73.377
2019-10-14 16:00:00+00:00,73.378,73.455,73.365,73.445
2019-10-14 17:00:00+00:00,73.445,73.464,73.424,73.443
2019-10-14 18:00:00+00:00,73.443,73.447,73.391,73.394
2019-10-14 19:00:00+00:00,73.393,73.439,73.379,73.436
