date,AUDCAD,AUDJPY,EURUSD,USDJPY,USDKRW,000005.SZ,0005.HK,1299.HK,2388.HK,2813.HK,3010.HK,3077.HK,3081.HK,600016.SH,600028.SH,601398.SH,601628.SH
09/01/2018,0.026288113,0.001037284,0.007577798,0.003656255,0.026154431,0.003029946,0.035480749,0.041901699,0.045190259,0.013276588,0.012562824,0.04798287,0.001552839,0.027410462,0.026672932,0.04708744,0.018472588
09/02/2018,0.019203039,0.028428819,0.007691533,0.042436872,0.037494904,0.007706501,0.003820917,0.049972305,0.01650104,0.048500132,0.040082426,0.010705789,0.026017341,0.043334164,0.007796021,0.023479254,0.033200934
09/03/2018,0.029799429,0.026522913,0.028565363,0.000287292,0.033236989,0.00070106,0.00810214,0.030149797,0.031553532,0.045336356,0.024325745,0.001971039,0.00037875,0.03153257,0.03918163,0.041226776,0.021043295
09/04/2018,0.039930924,0.035448949,0.008594679,0.00212719,0.040081037,0.035954814,0.026296435,0.006523727,0.007427482,0.031253211,0.013599681,0.039004425,0.036304365,0.034734723,0.037634611,0.027643132,0.025793151
09/05/2018,0.021940842,0.043982224,0.027861585,0.046086526,0.021351549,0.00105368,0.014436271,0.045462851,0.027642781,0.015407389,0.01850009,0.025681371,0.023981817,0.00029649,0.035975303,0.016039107,0.033558439
09/06/2018,0.049207278,0.003803701,0.033285841,0.033049542,0.032303381,0.019234668,0.026235476,0.003702172,0.01654002,0.045209929,0.021179289,0.047712009,0.001347511,0.014158634,0.028390681,0.040271223,0.033985024
09/07/2018,0.027665149,0.026849281,0.027944446,0.012833058,0.0483603,0.011097572,0.047566503,0.030761386,0.007836508,0.014158472,0.005607087,0.00464038,0.007367325,0.014535233,0.014068806,0.03545881,0.042067637
09/08/2018,0.034295267,0.001118414,0.025425212,0.008824423,0.033181987,0.048551264,0.027031988,0.033708395,0.007131849,0.016051771,0.024870497,0.045435134,0.028887645,0.023455189,0.048898377,0.013491644,0.006174244
09/09/2018,0.024460587,0.047771658,0.032683487,0.008243422,0.027746033,0.024548647,0.019930348,0.038171342,0.035822613,0.036379049,0.049878377,0.008816286,0.022912432,0.008069119,0.049656762,0.045242976,0.043517784
09/10/2018,0.045246997,0.045213023,0.025737915,0.021610179,0.034527954,0.029289618,0.032354333,0.025252642,0.018679407,0.042527571,0.019618894,0.035855415,0.017223567,0.022396971,0.01364528,0.034210842,0.026552524
09/11/2018,0.025047632,0.005365653,0.004398931,0.043490016,7.47E-05,0.030259015,0.049679672,0.004912057,0.019888047,0.047551233,0.02178555,0.04538874,0.035222663,0.036427785,0.039522104,0.004316253,0.015562248
