,open,high,low,close
2017-12-11 08:00:00 UTC,9.01,9.15,9.0,9.08
2017-12-12 08:00:00 UTC,9.09,9.09,8.9,8.9
2017-12-13 08:00:00 UTC,8.87,8.96,8.85,8.95
2017-12-14 08:00:00 UTC,8.94,8.98,8.85,8.95
2017-12-15 08:00:00 UTC,8.91,9.04,8.88,9.0
2017-12-16 08:00:00 UTC,8.91,9.04,8.88,9.0
2017-12-17 08:00:00 UTC,8.91,9.04,8.88,9.0
2017-12-18 08:00:00 UTC,8.98,9.04,8.86,8.9
2017-12-19 08:00:00 UTC,8.91,8.96,8.87,8.92
2017-12-20 08:00:00 UTC,8.91,8.92,8.77,8.79
2017-12-21 08:00:00 UTC,8.8,8.89,8.75,8.8
2017-12-22 08:00:00 UTC,8.81,8.97,8.8,8.89
2017-12-23 08:00:00 UTC,8.81,8.97,8.8,8.89
2017-12-24 08:00:00 UTC,8.81,8.97,8.8,8.89
2017-12-25 08:00:00 UTC,8.85,8.92,8.6,8.64
2017-12-26 08:00:00 UTC,8.66,8.73,8.51,8.72
2017-12-27 08:00:00 UTC,8.68,8.82,8.63,8.68
2017-12-28 08:00:00 UTC,8.68,8.87,8.65,8.8
2017-12-29 08:00:00 UTC,8.87,9.08,8.84,9.06
2017-12-30 08:00:00 UTC,8.87,9.08,8.84,9.06
2017-12-31 08:00:00 UTC,8.87,9.08,8.84,9.06
2018-01-01 08:00:00 UTC,8.87,9.08,8.84,9.06
2018-01-02 08:00:00 UTC,9.08,9.14,8.86,9.02
2018-01-03 08:00:00 UTC,9.01,9.1,8.93,9.05
2018-01-04 08:00:00 UTC,9.04,9.16,9.01,9.06
2018-01-05 08:00:00 UTC,9.05,9.06,8.9,8.97
2018-01-06 08:00:00 UTC,9.05,9.06,8.9,8.97
2018-01-07 08:00:00 UTC,9.05,9.06,8.9,8.97
2018-01-08 08:00:00 UTC,8.97,8.97,8.84,8.9
2018-01-09 08:00:00 UTC,8.9,8.91,8.83,8.86
2018-01-10 08:00:00 UTC,8.86,8.86,8.73,8.77
2018-01-11 08:00:00 UTC,8.76,8.91,8.71,8.89
2018-01-12 08:00:00 UTC,8.88,8.89,8.76,8.78
2018-01-13 08:00:00 UTC,8.88,8.89,8.76,8.78
2018-01-14 08:00:00 UTC,8.88,8.89,8.76,8.78
2018-01-15 08:00:00 UTC,8.79,8.79,8.3,8.33
2018-01-16 08:00:00 UTC,8.31,8.4,8.29,8.38
2018-01-17 08:00:00 UTC,8.37,8.53,8.3,8.45
2018-01-18 08:00:00 UTC,8.45,8.48,8.41,8.43
2018-01-19 08:00:00 UTC,8.45,8.49,8.38,8.39
2018-01-20 08:00:00 UTC,8.45,8.49,8.38,8.39
2018-01-21 08:00:00 UTC,8.45,8.49,8.38,8.39
2018-01-22 08:00:00 UTC,8.38,8.54,8.26,8.45
2018-01-23 08:00:00 UTC,8.49,8.52,8.43,8.49
2018-01-24 08:00:00 UTC,8.48,8.68,8.44,8.67
2018-01-25 08:00:00 UTC,8.64,8.93,8.59,8.73
2018-01-26 08:00:00 UTC,8.7,8.98,8.67,8.85
2018-01-27 08:00:00 UTC,8.7,8.98,8.67,8.85
2018-01-28 08:00:00 UTC,8.7,8.98,8.67,8.85
2018-01-29 08:00:00 UTC,8.85,8.85,8.62,8.64
2018-01-30 08:00:00 UTC,8.67,8.73,8.62,8.65
2018-01-31 08:00:00 UTC,8.3,8.38,7.8,7.83
2018-02-01 08:00:00 UTC,7.85,7.88,7.38,7.38
2018-02-02 08:00:00 UTC,7.4,7.57,7.31,7.43
2018-02-03 08:00:00 UTC,7.4,7.57,7.31,7.43
2018-02-04 08:00:00 UTC,7.4,7.57,7.31,7.43
2018-02-05 08:00:00 UTC,7.33,7.39,7.26,7.27
2018-02-06 08:00:00 UTC,7.11,7.18,6.76,6.8
2018-02-07 08:00:00 UTC,6.98,7.05,6.79,6.98
2018-02-08 08:00:00 UTC,6.98,7.1,6.95,7.04
2018-02-09 08:00:00 UTC,6.85,6.98,6.72,6.85
2018-02-10 08:00:00 UTC,6.85,6.98,6.72,6.85
2018-02-11 08:00:00 UTC,6.85,6.98,6.72,6.85
2018-02-12 08:00:00 UTC,6.9,7.1,6.88,7.04
2018-02-13 08:00:00 UTC,7.06,7.13,7.01,7.06
2018-02-14 08:00:00 UTC,7.05,7.12,7.0,7.07
2018-02-15 08:00:00 UTC,7.05,7.12,7.0,7.07
2018-02-16 08:00:00 UTC,7.05,7.12,7.0,7.07
2018-02-17 08:00:00 UTC,7.05,7.12,7.0,7.07
2018-02-18 08:00:00 UTC,7.05,7.12,7.0,7.07
2018-02-19 08:00:00 UTC,7.05,7.12,7.0,7.07
2018-02-20 08:00:00 UTC,7.05,7.12,7.0,7.07
2018-02-21 08:00:00 UTC,7.05,7.12,7.0,7.07
2018-02-22 08:00:00 UTC,7.15,7.21,7.12,7.18
2018-02-23 08:00:00 UTC,7.16,7.25,7.09,7.15
2018-02-24 08:00:00 UTC,7.16,7.25,7.09,7.15
2018-02-25 08:00:00 UTC,7.16,7.25,7.09,7.15
2018-02-26 08:00:00 UTC,7.2,7.34,7.15,7.33
2018-02-27 08:00:00 UTC,7.32,7.48,7.3,7.44
2018-02-28 08:00:00 UTC,7.39,7.41,7.1,7.35
2018-03-01 08:00:00 UTC,7.29,7.72,7.25,7.67
2018-03-02 08:00:00 UTC,7.58,8.08,7.48,7.95
2018-03-03 08:00:00 UTC,7.58,8.08,7.48,7.95
2018-03-04 08:00:00 UTC,7.58,8.08,7.48,7.95
2018-03-05 08:00:00 UTC,7.9,8.27,7.71,7.95
2018-03-06 08:00:00 UTC,7.88,8.18,7.78,8.15
2018-03-07 08:00:00 UTC,8.12,8.55,8.03,8.2
2018-03-08 08:00:00 UTC,8.13,8.16,7.95,8.01
2018-03-09 08:00:00 UTC,8.0,8.12,7.87,8.02
2018-03-10 08:00:00 UTC,8.0,8.12,7.87,8.02
2018-03-11 08:00:00 UTC,8.0,8.12,7.87,8.02
2018-03-12 08:00:00 UTC,8.06,8.21,8.0,8.15
2018-03-13 08:00:00 UTC,8.15,8.16,7.99,8.01
2018-03-14 08:00:00 UTC,8.01,8.13,7.84,7.99
2018-03-15 08:00:00 UTC,7.9,7.95,7.71,7.8
2018-03-16 08:00:00 UTC,7.84,8.58,7.84,8.58
2018-03-17 08:00:00 UTC,7.84,8.58,7.84,8.58
2018-03-18 08:00:00 UTC,7.84,8.58,7.84,8.58
2018-03-19 08:00:00 UTC,8.42,8.54,8.27,8.39
2018-03-20 08:00:00 UTC,8.23,8.38,8.19,8.35
2018-03-21 08:00:00 UTC,8.27,8.43,8.16,8.16
2018-03-22 08:00:00 UTC,8.16,8.3,8.11,8.18
2018-03-23 08:00:00 UTC,8.0,8.0,7.36,7.36
2018-03-24 08:00:00 UTC,8.0,8.0,7.36,7.36
2018-03-25 08:00:00 UTC,8.0,8.0,7.36,7.36
2018-03-26 08:00:00 UTC,7.3,7.45,7.03,7.43
2018-03-27 08:00:00 UTC,7.52,7.72,7.5,7.65
2018-03-28 08:00:00 UTC,7.49,7.83,7.45,7.74
2018-03-29 08:00:00 UTC,7.75,7.79,7.67,7.77
2018-03-30 08:00:00 UTC,7.76,7.86,7.75,7.83
2018-03-31 08:00:00 UTC,7.76,7.86,7.75,7.83
2018-04-01 08:00:00 UTC,7.76,7.86,7.75,7.83
2018-04-02 08:00:00 UTC,7.88,7.96,7.77,7.8
2018-04-03 08:00:00 UTC,7.66,7.69,7.51,7.55
2018-04-04 08:00:00 UTC,7.59,7.64,7.46,7.46
2018-04-05 08:00:00 UTC,7.59,7.64,7.46,7.46
2018-04-06 08:00:00 UTC,7.59,7.64,7.46,7.46
2018-04-07 08:00:00 UTC,7.59,7.64,7.46,7.46
2018-04-08 08:00:00 UTC,7.59,7.64,7.46,7.46
2018-04-09 08:00:00 UTC,7.44,7.51,7.35,7.45
2018-04-10 08:00:00 UTC,7.47,7.49,7.38,7.48
2018-04-11 08:00:00 UTC,7.51,7.59,7.48,7.52
2018-04-12 08:00:00 UTC,7.48,7.57,7.39,7.41
2018-04-13 08:00:00 UTC,7.45,7.56,7.38,7.38
2018-04-14 08:00:00 UTC,7.45,7.56,7.38,7.38
2018-04-15 08:00:00 UTC,7.45,7.56,7.38,7.38
2018-04-16 08:00:00 UTC,6.7,6.91,6.7,6.73
2018-04-17 08:00:00 UTC,6.73,6.86,6.69,6.7
2018-04-18 08:00:00 UTC,6.76,6.87,6.63,6.8
