Date,Time,Period,Srv Med,Srv Avg,Srv High,Srv Low,Srv Num,Actual,Prior,Revised
11/27/1996,21:30,3Q P,- -,- -,- -,- -,0,- -,- -,- -
3/26/1997,21:30,4Q F,- -,4.00%,- -,- -,0,3.80%,3.90%,3.60%
4/30/1997,20:30,1Q A,4.20%,4.20%,- -,- -,2,5.60%,3.80%,4.20%
5/28/1997,20:30,1Q P,- -,6.10%,- -,- -,0,5.80%,5.60%,2.60%
6/25/1997,20:30,1Q F,5.80%,5.80%,6.30%,5.50%,13,5.90%,5.80%,- -
7/31/1997,20:30,2Q A,- -,1.70%,- -,- -,0,2.20%,4.90%,3.10%
8/27/1997,20:30,2Q P,- -,3.30%,- -,- -,0,3.60%,2.20%,6.80%
9/24/1997,20:30,2Q F,- -,3.70%,- -,- -,0,3.30%,4.90%,- -
10/30/1997,21:30,3Q A,- -,3.20%,- -,- -,0,3.50%,3.30%,6.20%
11/26/1997,21:30,3Q P,- -,3.60%,- -,- -,0,3.30%,3.50%,- -
12/23/1997,21:30,3Q F,3.30%,3.30%,3.50%,3.30%,11,3.10%,3.30%,5.10%
1/30/1998,21:30,4Q A,- -,3.70%,- -,- -,0,4.30%,3.10%,5.10%
2/27/1998,21:30,4Q P,- -,3.70%,- -,- -,0,3.90%,4.30%,3.50%
3/26/1998,21:30,4Q F,3.90%,3.90%,4.10%,3.70%,22,3.70%,3.90%,- -
4/30/1998,20:30,1Q A,3.40%,3.30%,4.10%,2.70%,19,4.20%,3.70%,- -
5/28/1998,20:30,1Q P,- -,4.40%,- -,- -,0,4.80%,4.20%,4.10%
6/25/1998,20:30,1Q F,4.80%,4.90%,5.30%,4.80%,29,5.40%,4.80%,- -
7/31/1998,20:30,2Q A,0.40%,0.30%,3.10%,-1.50%,51,1.40%,5.40%,4.50%
8/27/1998,20:30,2Q P,1.60%,1.60%,2.00%,1.30%,36,1.60%,1.40%,3.80%
9/24/1998,20:30,2Q F,1.60%,1.70%,1.90%,1.60%,57,1.80%,1.60%,- -
10/30/1998,21:30,3Q A,2.30%,2.30%,3.90%,0.90%,67,3.30%,1.80%,- -
11/24/1998,21:30,3Q P,3.90%,3.90%,4.20%,3.70%,34,3.90%,3.30%,5.30%
12/23/1998,21:30,3Q F,- -,- -,- -,- -,0,3.70%,3.90%,- -
1/29/1999,21:30,4Q A,4.40%,4.50%,6.10%,3.60%,37,5.60%,3.70%,5.10%
2/26/1999,21:30,4Q P,6.00%,6.00%,6.50%,5.60%,34,6.10%,5.60%,- -
3/31/1999,21:30,4Q F,6.10%,6.10%,6.20%,5.90%,40,6.00%,6.10%,- -
4/30/1999,20:30,1Q A,3.30%,3.40%,5.50%,2.50%,44,4.50%,6.00%,6.60%
5/27/1999,20:30,1Q P,4.30%,4.30%,4.80%,3.90%,41,4.10%,4.50%,3.60%
6/25/1999,20:30,1Q F,4.20%,4.20%,4.60%,4.10%,49,4.30%,4.10%,- -
7/29/1999,20:30,2Q A,3.40%,3.40%,4.20%,2.70%,50,2.30%,4.30%,3.80%
8/26/1999,20:30,2Q P,1.80%,1.80%,2.50%,1.30%,43,1.80%,2.30%,- -
9/30/1999,20:30,2Q F,1.80%,1.80%,2.00%,1.80%,46,1.60%,1.80%,- -
10/28/1999,20:30,3Q A,4.50%,4.50%,5.70%,3.50%,41,4.80%,1.60%,3.10%
11/24/1999,21:30,3Q P,5.10%,5.10%,5.70%,4.80%,46,5.50%,4.80%,- -
12/22/1999,21:30,3Q F,5.50%,5.50%,5.80%,5.20%,44,5.70%,5.50%,- -
1/28/2000,21:30,4Q A,5.20%,5.20%,6.20%,4.30%,42,5.80%,5.70%,5.30%
2/25/2000,21:30,4Q P,6.50%,6.40%,6.80%,5.80%,38,6.90%,5.80%,7.00%
3/30/2000,21:30,4Q F,7.00%,7.10%,7.80%,6.60%,44,7.30%,6.90%,- -
4/27/2000,20:30,1Q A,6.00%,6.00%,7.00%,4.80%,44,5.40%,7.30%,- -
5/25/2000,20:30,1Q P,5.20%,5.20%,5.60%,4.80%,48,5.40%,5.40%,1.50%
6/29/2000,20:30,1Q F,5.40%,5.40%,5.60%,5.20%,47,5.50%,5.40%,- -
7/28/2000,20:30,2Q A,3.80%,3.80%,4.60%,3.00%,44,5.20%,5.50%,1.00%
8/25/2000,20:30,2Q P,5.40%,5.40%,6.00%,5.00%,45,5.30%,5.20%,7.50%
9/28/2000,20:30,2Q F,5.30%,5.30%,5.50%,5.20%,42,5.60%,5.30%,- -
10/27/2000,20:30,3Q A,3.60%,3.60%,4.50%,2.50%,0,2.70%,5.60%,- -
11/29/2000,21:30,3Q P,2.20%,2.20%,3.50%,1.70%,41,2.40%,2.70%,- -
12/21/2000,21:30,3Q F,2.40%,2.40%,2.60%,2.10%,40,2.20%,2.40%,0.50%
1/31/2001,21:30,4Q A,2.00%,2.00%,3.30%,1.00%,51,1.40%,2.20%,- -
2/28/2001,21:30,4Q P,1.00%,1.00%,1.60%,0.40%,45,1.10%,1.40%,2.50%
3/29/2001,21:30,4Q F,1.10%,1.10%,1.20%,0.90%,51,1.00%,1.10%,- -
4/27/2001,20:30,1Q A,1.10%,1.10%,3.30%,-0.50%,51,2.00%,1.00%,- -
5/25/2001,20:30,1Q P,1.40%,1.30%,2.00%,-0.50%,47,1.30%,2.00%,-1.10%
6/29/2001,20:30,1Q F,1.30%,1.20%,1.50%,0.70%,45,1.20%,1.30%,- -
7/27/2001,20:30,2Q A,1.00%,0.90%,2.00%,-1.50%,55,0.70%,1.20%,-0.50%
8/29/2001,20:30,2Q P,0.00%,0.00%,0.30%,-0.30%,45,0.20%,0.70%,2.40%
9/28/2001,20:30,2Q F,0.10%,0.10%,0.20%,-0.10%,48,0.30%,0.20%,- -
10/31/2001,21:30,3Q A,-1.00%,-1.00%,0.00%,-2.50%,57,-0.40%,0.30%,- -
11/30/2001,21:30,3Q P,-1.00%,-1.00%,-0.40%,-1.60%,57,-1.10%,-0.40%,-1.70%
12/21/2001,21:30,3Q F,-1.10%,-1.10%,-1.00%,-1.40%,43,-1.30%,-1.10%,- -
1/30/2002,21:30,4Q A,-1.10%,-1.10%,0.40%,-2.50%,58,0.20%,-1.30%,- -
2/28/2002,21:30,4Q P,0.90%,0.90%,1.50%,-0.10%,61,1.40%,0.20%,1.10%
3/28/2002,21:30,4Q F,1.40%,1.40%,1.60%,1.20%,55,1.70%,1.40%,- -
4/26/2002,20:30,1Q A,5.00%,4.90%,6.40%,3.50%,70,5.80%,1.70%,- -
5/24/2002,20:30,1Q P,6.00%,6.00%,6.50%,5.00%,59,5.60%,5.80%,3.50%
6/27/2002,20:30,1Q F,5.60%,5.60%,6.10%,5.30%,53,6.10%,5.60%,- -
7/31/2002,20:30,2Q A,2.30%,2.20%,3.50%,1.00%,65,1.10%,6.10%,2.70%
8/29/2002,20:30,2Q P,1.10%,1.20%,1.60%,0.90%,58,1.10%,1.10%,2.40%
9/27/2002,20:30,2Q F,1.10%,1.20%,1.40%,0.80%,58,1.30%,1.10%,- -
10/31/2002,21:30,3Q A,3.70%,3.70%,5.50%,2.50%,67,3.10%,1.30%,- -
11/26/2002,21:30,3Q P,3.80%,3.70%,4.20%,3.10%,51,4.00%,3.10%,1.80%
12/20/2002,21:30,3Q F,4.00%,4.00%,4.10%,3.70%,56,4.00%,4.00%,- -
1/30/2003,21:30,4Q A,0.90%,0.80%,1.60%,-0.50%,71,0.70%,4.00%,- -
2/28/2003,21:30,4Q P,1.00%,1.00%,1.50%,0.10%,65,1.40%,0.70%,0.60%
3/27/2003,21:30,4Q F,1.40%,1.40%,1.50%,1.20%,61,1.40%,1.40%,- -
4/25/2003,20:30,1Q A,2.40%,2.30%,3.80%,0.50%,68,1.60%,1.40%,- -
5/29/2003,20:30,1Q P,1.80%,1.80%,2.30%,1.40%,65,1.90%,1.60%,2.20%
6/26/2003,20:30,1Q F,1.90%,1.90%,1.90%,1.50%,63,1.40%,1.90%,- -
7/31/2003,20:30,2Q A,1.50%,1.50%,2.50%,0.80%,69,2.40%,1.40%,- -
8/28/2003,20:30,2Q P,2.90%,2.90%,3.30%,2.40%,69,3.10%,2.40%,3.50%
9/26/2003,20:30,2Q F,3.10%,3.10%,3.40%,3.00%,66,3.30%,3.10%,- -
10/30/2003,21:30,3Q A,6.00%,6.10%,8.00%,5.00%,74,7.20%,3.30%,- -
11/25/2003,21:30,3Q P,7.80%,7.70%,8.30%,6.90%,71,8.20%,7.20%,7.00%
12/23/2003,21:30,3Q F,8.20%,8.20%,8.40%,8.20%,62,8.20%,8.20%,- -
1/30/2004,21:30,4Q A,5.00%,4.90%,6.00%,3.80%,69,4.00%,8.20%,- -
2/27/2004,21:30,4Q P,3.80%,3.80%,5.00%,3.40%,70,4.10%,4.00%,4.70%
3/25/2004,21:30,4Q F,4.10%,4.10%,4.30%,3.90%,66,4.10%,4.10%,- -
4/29/2004,20:30,1Q A,5.00%,5.00%,6.10%,3.90%,75,4.20%,4.10%,- -
5/27/2004,20:30,1Q P,4.50%,4.50%,4.80%,4.00%,73,4.40%,4.20%,2.20%
6/25/2004,20:30,1Q F,4.40%,4.40%,4.70%,4.00%,62,3.90%,4.40%,- -
7/30/2004,20:30,2Q A,3.70%,3.70%,4.80%,2.90%,73,3.00%,3.90%,3.00%
8/27/2004,20:30,2Q P,2.70%,2.70%,3.10%,2.10%,68,2.80%,3.00%,3.10%
9/29/2004,20:30,2Q F,3.00%,3.00%,3.70%,2.80%,76,3.30%,2.80%,- -
10/29/2004,20:30,3Q A,4.30%,4.30%,5.50%,2.80%,80,3.70%,3.30%,- -
11/30/2004,21:30,3Q P,3.70%,3.80%,4.50%,3.40%,69,3.90%,3.70%,- -
12/22/2004,21:30,3Q F,3.90%,3.90%,4.20%,3.60%,62,4.00%,3.90%,3.80%
1/28/2005,21:30,4Q A,3.50%,3.50%,4.40%,2.70%,83,3.10%,4.00%,- -
2/25/2005,21:30,4Q P,3.70%,3.70%,4.10%,3.30%,71,3.80%,3.10%,4.10%
3/30/2005,21:30,4Q F,4.00%,4.00%,4.20%,3.60%,70,3.80%,3.80%,- -
4/28/2005,20:30,1Q A,3.50%,3.50%,4.50%,2.80%,82,3.10%,3.80%,- -
5/26/2005,20:30,1Q P,3.60%,3.60%,4.00%,3.30%,75,3.50%,3.10%,4.50%
6/29/2005,20:30,1Q F,3.70%,3.70%,4.00%,3.20%,72,3.80%,3.50%,- -
7/29/2005,20:30,2Q A,3.50%,3.50%,4.10%,2.70%,66,3.40%,3.80%,- -
8/31/2005,20:30,2Q P,3.40%,3.50%,4.40%,3.20%,73,3.30%,3.40%,1.90%
9/29/2005,20:30,2Q F,3.30%,3.30%,3.50%,2.90%,65,3.30%,3.30%,- -
10/28/2005,20:30,3Q A,3.60%,3.60%,5.10%,2.70%,67,3.80%,3.30%,- -
11/30/2005,21:30,3Q P,4.00%,4.00%,4.40%,3.30%,67,4.30%,3.80%,3.60%
12/21/2005,21:30,3Q F,4.30%,4.30%,4.50%,4.10%,63,4.10%,4.30%,- -
1/27/2006,21:30,4Q A,2.80%,2.70%,3.40%,1.90%,74,1.10%,4.10%,- -
2/28/2006,21:30,4Q P,1.60%,1.60%,2.00%,1.10%,64,1.60%,1.10%,2.60%
3/30/2006,21:30,4Q F,1.70%,1.70%,1.90%,1.40%,68,1.70%,1.60%,- -
4/28/2006,20:30,1Q A,4.90%,4.90%,6.00%,4.00%,76,4.80%,1.70%,- -
5/25/2006,20:30,1Q P,5.80%,5.70%,6.20%,5.10%,72,5.30%,4.80%,5.40%
6/29/2006,20:30,1Q F,5.60%,5.60%,5.90%,5.20%,66,5.60%,5.30%,- -
7/28/2006,20:30,2Q A,3.00%,3.10%,3.80%,2.00%,75,2.50%,5.60%,- -
8/30/2006,20:30,2Q P,3.00%,3.00%,3.30%,2.50%,72,2.90%,2.50%,0.90%
9/28/2006,20:30,2Q F,2.90%,2.90%,3.00%,2.50%,70,2.60%,2.90%,- -
10/27/2006,20:30,3Q A,2.00%,2.00%,3.00%,1.00%,80,1.60%,2.60%,- -
11/29/2006,21:30,3Q P,1.80%,1.70%,2.00%,1.40%,71,2.20%,1.60%,0.60%
12/21/2006,21:30,3Q F,2.20%,2.20%,2.40%,2.00%,67,2.00%,2.20%,- -
1/31/2007,21:30,4Q A,3.00%,3.00%,3.90%,1.80%,77,3.50%,2.00%,- -
2/28/2007,21:30,4Q P,2.30%,2.30%,3.00%,1.50%,76,2.20%,3.50%,3.50%
3/29/2007,20:30,4Q F,2.20%,2.20%,2.50%,2.00%,75,2.50%,2.20%,- -
4/27/2007,20:30,1Q A,1.80%,1.90%,2.70%,1.20%,83,1.30%,2.50%,- -
5/31/2007,20:30,1Q P,0.80%,0.80%,1.80%,0.10%,78,0.60%,1.30%,0.90%
6/28/2007,20:30,1Q F,0.80%,0.80%,1.50%,0.50%,74,0.70%,0.60%,- -
7/27/2007,20:30,2Q A,3.20%,3.20%,4.10%,2.20%,86,3.40%,0.70%,0.10%
8/30/2007,20:30,2Q P,4.10%,4.00%,4.50%,3.20%,82,4.00%,3.40%,2.30%
