Date,Period,Revised
11/27/1996,3Q P,4.1
3/26/1997,4Q F,4.4
4/30/1997,1Q A,4.3
5/28/1997,1Q P,4.3
6/25/1997,1Q F,4.3
7/31/1997,2Q A,4.3
8/27/1997,2Q P,4.3
9/24/1997,2Q F,4.3
10/30/1997,3Q A,4.7
11/26/1997,3Q P,4.7
12/23/1997,3Q F,4.7
1/30/1998,4Q A,4.5
2/27/1998,4Q P,4.5
3/26/1998,4Q F,4.5
4/30/1998,1Q A,4.9
5/28/1998,1Q P,4.9
6/25/1998,1Q F,4.9
7/31/1998,2Q A,4.1
8/27/1998,2Q P,4.1
9/24/1998,2Q F,4.1
10/30/1998,3Q A,4.1
11/24/1998,3Q P,4.1
12/23/1998,3Q F,4.1
1/29/1999,4Q A,4.9
2/26/1999,4Q P,4.9
3/31/1999,4Q F,4.9
4/30/1999,1Q A,4.8
5/27/1999,1Q P,4.8
6/25/1999,1Q F,4.8
7/29/1999,2Q A,4.7
8/26/1999,2Q P,4.7
9/30/1999,2Q F,4.7
10/28/1999,3Q A,4.7
11/24/1999,3Q P,4.7
12/22/1999,3Q F,4.7
1/28/2000,4Q A,4.8
2/25/2000,4Q P,4.8
3/30/2000,4Q F,4.8
4/27/2000,1Q A,4.2
5/25/2000,1Q P,4.2
6/29/2000,1Q F,4.2
7/28/2000,2Q A,5.3
8/25/2000,2Q P,5.3
9/28/2000,2Q F,5.3
10/27/2000,3Q A,4.1
11/29/2000,3Q P,4.1
12/21/2000,3Q F,4.1
1/31/2001,4Q A,3
2/28/2001,4Q P,3
3/29/2001,4Q F,3
4/27/2001,1Q A,2.3
5/25/2001,1Q P,2.3
6/29/2001,1Q F,2.3
7/27/2001,2Q A,1.1
8/29/2001,2Q P,1.1
9/28/2001,2Q F,1.1
10/31/2001,3Q A,0.5
11/30/2001,3Q P,0.5
12/21/2001,3Q F,0.5
1/30/2002,4Q A,0.2
2/28/2002,4Q P,0.2
3/28/2002,4Q F,0.2
4/26/2002,1Q A,1.3
5/24/2002,1Q P,1.3
6/27/2002,1Q F,1.3
7/31/2002,2Q A,1.3
8/29/2002,2Q P,1.3
9/27/2002,2Q F,1.3
10/31/2002,3Q A,2.2
11/26/2002,3Q P,2.2
12/20/2002,3Q F,2.2
1/30/2003,4Q A,2.1
2/28/2003,4Q P,2.1
3/27/2003,4Q F,2.1
4/25/2003,1Q A,1.8
5/29/2003,1Q P,1.8
6/26/2003,1Q F,1.8
7/31/2003,2Q A,2
8/28/2003,2Q P,2
9/26/2003,2Q F,2
10/30/2003,3Q A,3.3
11/25/2003,3Q P,3.3
12/23/2003,3Q F,3.3
1/30/2004,4Q A,4.3
2/27/2004,4Q P,4.3
3/25/2004,4Q F,4.3
4/29/2004,1Q A,4.3
5/27/2004,1Q P,4.3
6/25/2004,1Q F,4.3
7/30/2004,2Q A,4.2
8/27/2004,2Q P,4.2
9/29/2004,2Q F,4.2
10/29/2004,3Q A,3.4
11/30/2004,3Q P,3.4
12/22/2004,3Q F,3.4
1/28/2005,4Q A,3.3
2/25/2005,4Q P,3.3
3/30/2005,4Q F,3.3
4/28/2005,1Q A,3.9
5/26/2005,1Q P,3.9
6/29/2005,1Q F,3.9
7/29/2005,2Q A,3.6
8/31/2005,2Q P,3.6
9/29/2005,2Q F,3.6
10/28/2005,3Q A,3.5
11/30/2005,3Q P,3.5
12/21/2005,3Q F,3.5
1/27/2006,4Q A,3.1
2/28/2006,4Q P,3.1
3/30/2006,4Q F,3.1
