date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2006-07-31,20060802.0,115.0,20060830.0,,99.0,2.0,,,,
2006-08-31,20060830.0,144.0,20061004.0,8.0,107.0,4.0,127.5,123.8,110.0,130.0
2006-09-30,20061004.0,50.0,20061101.0,13.0,78.0,4.0,115.0,111.3,90.0,125.0
2006-10-31,20061101.0,117.0,20061206.0,11.0,128.0,6.0,107.5,107.5,90.0,120.0
2006-11-30,20061206.0,230.0,20070103.0,21.0,158.0,7.0,100.0,99.3,60.0,130.0
2006-12-31,20070103.0,147.0,20070131.0,26.0,-40.0,10.0,120.0,115.5,60.0,160.0
2007-01-31,20070131.0,157.0,20070307.0,27.0,152.0,9.0,140.0,145.6,110.0,185.0
2007-02-28,20070307.0,54.0,20070404.0,23.0,57.0,9.0,100.0,98.9,60.0,150.0
2007-03-31,20070404.0,114.0,20070502.0,23.0,106.0,6.0,135.0,143.3,120.0,185.0
2007-04-30,20070502.0,46.0,20070530.0,15.0,64.0,12.0,100.0,96.7,70.0,115.0
2007-05-31,20070530.0,145.0,20070705.0,23.0,97.0,14.0,120.0,117.9,80.0,165.0
2007-06-30,20070705.0,108.0,20070801.0,14.0,150.0,18.0,100.0,102.7,79.0,125.0
2007-07-31,20070801.0,23.0,20070905.0,15.0,48.0,20.0,100.0,102.8,60.0,120.0
2007-08-31,20070905.0,50.0,20071003.0,19.0,38.0,21.0,80.0,81.2,40.0,110.0
2007-09-30,20071003.0,-3.0,20071031.0,22.0,58.0,25.0,60.0,62.8,30.0,130.0
2007-10-31,20071031.0,86.0,20071205.0,11.0,106.0,21.0,58.0,54.5,28.0,70.0
2007-11-30,20071205.0,103.0,20080103.0,21.0,189.0,22.0,50.0,49.9,10.0,100.0
2007-12-31,20080103.0,28.0,20080130.0,29.0,40.0,16.0,32.5,36.7,-50.0,90.0
2008-01-31,20080130.0,28.0,20080305.0,24.0,130.0,21.0,40.0,36.7,-15.0,95.0
2008-02-29,20080305.0,-93.0,20080402.0,36.0,-23.0,24.0,17.5,14.3,-80.0,100.0
2008-03-31,20080402.0,-96.0,20080430.0,28.0,8.0,24.0,-45.0,-51.0,-120.0,0.0
2008-04-30,20080430.0,-101.0,20080604.0,27.0,10.0,25.0,-60.0,-65.2,-115.0,-20.0
2008-05-31,20080604.0,-114.0,20080702.0,27.0,40.0,25.0,-30.0,-36.1,-95.0,25.0
2008-06-30,20080702.0,-146.0,20080730.0,34.0,-79.0,28.0,-20.0,-7.6,-90.0,50.0
2008-07-31,20080730.0,-97.0,20080904.0,26.0,9.0,29.0,-60.0,-60.9,-115.0,-4.0
2008-08-31,20080904.0,-252.0,20081001.0,26.0,-33.0,27.0,-30.0,-36.0,-115.0,15.0
2008-09-30,20081001.0,-224.0,20081105.0,22.0,-8.0,27.0,-50.0,-58.3,-135.0,-20.0
2008-10-31,20081105.0,-334.0,20081203.0,42.0,-157.0,28.0,-102.0,-123.2,-245.0,-70.0
2008-11-30,20081203.0,-476.0,20090107.0,44.0,-250.0,22.0,-205.0,-219.0,-350.0,-169.0
2008-12-31,20090107.0,-659.0,20090204.0,66.0,-693.0,24.0,-495.0,-476.9,-550.0,-250.0
2009-01-31,20090204.0,-614.0,20090304.0,60.0,-522.0,23.0,-535.0,-554.8,-720.0,-487.0
2009-02-28,20090304.0,-706.0,20090401.0,62.0,-697.0,26.0,-630.0,-633.8,-770.0,-500.0
2009-03-31,20090401.0,-708.0,20090506.0,44.0,-742.0,30.0,-662.5,-663.2,-750.0,-525.0
2009-04-30,20090506.0,-545.0,20090603.0,34.0,-491.0,28.0,-645.0,-644.4,-733.0,-560.0
2009-05-31,20090603.0,-485.0,,36.0,-532.0,29.0,-525.0,-523.5,-580.0,-425.0
2009-06-30,20090701.0,-463.0,,45.0,-473.0,30.0,-394.0,-382.5,-500.0,-280.0
2009-07-31,20090805.0,-360.0,20090902.0,42.0,-371.0,30.0,-350.0,-338.8,-410.0,-200.0
2009-08-31,20090902.0,-277.0,20090930.0,40.0,-298.0,32.0,-250.0,-248.0,-396.0,-160.0
2009-09-30,20090930.0,-227.0,,39.0,-254.0,33.0,-200.0,-208.6,-300.0,-133.0
2009-10-31,20091104.0,-195.0,,25.0,-203.0,34.0,-197.5,-201.4,-250.0,-157.0
2009-11-30,20091202.0,-145.0,,24.0,-169.0,32.0,-150.0,-149.6,-190.0,-100.0
2009-12-31,20100106.0,-61.0,,47.0,-84.0,31.0,-75.0,-71.2,-180.0,25.0
2010-01-31,20100203.0,-60.0,20100303.0,29.0,-22.0,37.0,-30.0,-32.9,-110.0,50.0
2010-02-28,20100303.0,-24.0,20100331.0,44.0,-20.0,31.0,-20.0,-33.1,-150.0,25.0
2010-03-31,20100331.0,19.0,20100505.0,26.0,-23.0,35.0,40.0,44.1,-20.0,100.0
2010-04-30,20100505.0,65.0,20100603.0,24.0,32.0,35.0,30.0,34.2,0.0,80.0
2010-05-31,20100603.0,57.0,20100630.0,34.0,55.0,34.0,70.0,76.8,35.0,180.0
2010-06-30,20100630.0,19.0,20100804.0,15.0,13.0,36.0,60.0,61.1,23.0,100.0
2010-07-31,20100804.0,37.0,20100901.0,20.0,42.0,37.0,30.0,33.4,-15.0,85.0
2010-08-31,20100901.0,10.0,20101006.0,24.0,-10.0,35.0,15.0,9.9,-50.0,55.0
2010-09-30,20101006.0,-2.0,20101103.0,20.0,-39.0,37.0,20.0,22.7,-44.0,75.0
2010-10-31,20101103.0,82.0,20101201.0,14.0,43.0,38.0,20.0,20.3,-10.0,50.0
2010-11-30,20101201.0,92.0,20110105.0,18.0,93.0,40.0,70.0,71.8,40.0,125.0
2010-12-31,20110105.0,247.0,20110202.0,19.0,297.0,33.0,100.0,101.5,50.0,150.0
2011-01-31,20110202.0,189.0,20110302.0,52.0,187.0,33.0,140.0,131.0,-100.0,200.0
2011-02-28,20110302.0,208.0,20110330.0,26.0,217.0,34.0,180.0,173.8,90.0,210.0
2011-03-31,20110330.0,207.0,20110504.0,25.0,201.0,34.0,207.5,213.6,171.0,295.0
2011-04-30,20110504.0,177.0,20110601.0,18.9,179.0,34.0,197.5,194.0,164.0,240.0
2011-05-31,20110601.0,36.0,20110707.0,19.4,38.0,37.0,175.0,175.5,125.0,200.0
2011-06-30,20110707.0,145.0,20110803.0,29.8,157.0,36.0,70.0,77.6,40.0,175.0
2011-07-31,20110803.0,109.0,20110831.0,24.5,114.0,39.0,100.0,97.6,20.0,150.0
2011-08-31,20110831.0,89.0,20111005.0,28.5,91.0,37.0,100.0,88.2,5.0,140.0
2011-09-30,20111005.0,116.0,20111102.0,25.9,91.0,39.0,75.0,65.2,-10.0,117.0
2011-10-31,20111102.0,130.0,20111130.0,18.4,110.0,41.0,100.0,106.2,38.0,150.0
2011-11-30,20111130.0,204.0,20120105.0,18.5,206.0,44.0,130.0,131.9,95.0,200.0
2011-12-31,20120105.0,292.0,20120201.0,23.9,325.0,38.0,177.5,176.7,125.0,230.0
2012-01-31,20120201.0,173.0,20120307.0,31.0,170.0,40.0,181.5,187.8,145.0,300.0
2012-02-29,20120307.0,230.0,20120404.0,24.3,216.0,44.0,215.0,211.4,120.0,270.0
2012-03-31,20120404.0,201.0,20120502.0,18.6,209.0,38.0,205.5,208.0,170.0,250.0
2012-04-30,20120502.0,113.0,20120531.0,21.4,119.0,37.0,170.0,169.0,100.0,200.0
2012-05-31,20120531.0,136.0,20120705.0,27.5,133.0,39.0,150.0,145.1,85.0,225.0
2012-06-30,20120705.0,172.0,20120801.0,21.0,176.0,35.0,100.0,100.5,50.0,150.0
2012-07-31,20120801.0,173.0,20120906.0,21.2,163.0,38.0,120.0,118.0,75.0,180.0
2012-08-31,20120906.0,189.0,20121003.0,18.7,201.0,41.0,140.0,137.0,90.0,170.0
2012-09-30,20121003.0,114.0,20121101.0,22.5,162.0,38.0,140.0,139.9,90.0,190.0
2012-10-31,20121101.0,157.0,20121205.0,21.3,158.0,37.0,131.0,129.7,80.0,170.0
2012-11-30,20121205.0,148.0,,29.3,118.0,38.0,125.0,121.4,35.0,174.0
2012-12-31,20130103.0,185.0,20130130.0,28.0,215.0,36.0,140.0,139.5,70.0,210.0
2013-01-31,20130130.0,215.0,20130306.0,24.2,192.0,38.0,165.0,167.9,120.0,235.0
2013-02-28,20130306.0,237.0,20130403.0,17.0,198.0,41.0,170.0,167.4,125.0,210.0
2013-03-31,20130403.0,131.0,20130501.0,16.7,158.0,39.0,200.0,197.9,170.0,240.0
2013-04-30,20130501.0,113.0,20130605.0,19.2,119.0,37.0,150.0,153.1,110.0,190.0
2013-05-31,20130605.0,134.0,20130703.0,20.5,135.0,40.0,165.0,163.3,110.0,200.0
2013-06-30,20130703.0,198.0,20130731.0,17.4,188.0,38.0,160.0,158.9,100.0,196.0
2013-07-31,20130731.0,198.0,20130905.0,14.4,200.0,40.0,180.0,180.1,140.0,215.0
2013-08-31,20130905.0,159.0,20131002.0,16.0,176.0,43.0,184.0,181.8,150.0,225.0
2013-09-30,20131002.0,145.0,20131030.0,15.4,166.0,40.0,180.0,181.9,160.0,235.0
2013-10-31,20131030.0,184.0,20131204.0,21.4,130.0,39.0,150.0,142.2,70.0,177.0
2013-11-30,20131204.0,229.0,20140108.0,18.4,215.0,40.0,170.0,169.9,125.0,210.0
2013-12-31,20140108.0,227.0,20140205.0,12.8,238.0,36.0,200.0,198.3,170.0,225.0
2014-01-31,20140205.0,127.0,20140305.0,20.4,175.0,40.0,185.0,185.1,125.0,241.0
2014-02-28,20140305.0,178.0,20140402.0,17.0,139.0,39.0,155.0,155.4,100.0,180.0
2014-03-31,20140402.0,209.0,20140430.0,22.0,191.0,38.0,195.0,194.6,150.0,275.0
2014-04-30,20140430.0,215.0,20140604.0,16.3,220.0,45.0,210.0,208.4,165.0,250.0
2014-05-31,20140604.0,,,25.4,179.0,45.0,210.0,213.6,120.0,275.0
2014-06-30,20140702.0,,,16.9,281.0,47.0,205.0,205.9,169.0,250.0
2014-07-31,20140730.0,212.0,20140904.0,23.0,218.0,45.0,230.0,233.9,190.0,295.0
2014-08-31,20140904.0,202.0,20141001.0,19.2,204.0,43.0,220.0,223.3,190.0,290.0
2014-09-30,20141001.0,225.0,20141105.0,16.7,213.0,41.0,205.0,206.4,160.0,255.0
2014-10-31,20141105.0,233.0,20141203.0,15.1,230.0,44.0,220.0,220.5,193.0,265.0
2014-11-30,20141203.0,227.0,20150107.0,14.8,208.0,47.0,222.0,222.2,190.0,262.0
2014-12-31,20150107.0,253.0,20150204.0,28.1,241.0,45.0,225.0,231.4,185.0,310.0
2015-01-31,20150204.0,250.0,20150304.0,13.1,213.0,44.0,222.5,225.5,200.0,260.0
2015-02-28,20150304.0,214.0,20150401.0,21.6,212.0,46.0,219.0,215.8,118.6,255.0
2015-03-31,20150401.0,175.0,20150506.0,16.6,189.0,42.0,225.0,224.6,178.0,265.0
2015-04-30,20150506.0,165.0,20150603.0,20.6,169.0,43.0,200.0,198.8,170.0,270.0
2015-05-31,20150603.0,203.0,20150701.0,22.1,201.0,46.0,200.0,200.3,153.0,275.0
2015-06-30,20150701.0,229.0,20150805.0,18.0,237.0,44.0,217.5,217.5,190.0,274.0
2015-07-31,20150805.0,177.0,20150902.0,15.0,185.0,44.0,215.0,217.4,190.0,263.0
2015-08-31,20150902.0,186.0,20150930.0,13.8,190.0,45.0,200.0,202.8,160.0,230.0
2015-09-30,20150930.0,190.0,20151104.0,17.2,200.0,45.0,190.0,189.7,120.0,215.0
2015-10-31,20151104.0,196.0,20151202.0,17.9,182.0,43.0,180.0,179.7,140.0,230.0
2015-11-30,20151202.0,211.0,20160106.0,13.5,217.0,40.0,190.0,187.0,150.0,210.0
2015-12-31,20160106.0,267.0,20160203.0,16.3,257.0,39.0,198.0,196.2,150.0,230.0
2016-01-31,20160203.0,193.0,20160302.0,22.6,205.0,45.0,195.0,196.1,160.0,295.0
2016-02-29,20160302.0,205.0,20160330.0,15.1,214.0,45.0,190.0,189.2,160.0,237.0
2016-03-31,20160330.0,194.0,20160504.0,14.4,200.0,39.0,195.0,194.3,150.0,225.0
