date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2010-01-31,20100205.0,,,26.0,0.2,,,,,
2010-02-28,20100305.0,0.2,20100402.0,0.1,0.1,51.0,0.2,0.2,0.1,0.4
2010-03-31,20100402.0,,,0.1,-0.1,54.0,0.2,0.2,0.0,0.3
2010-04-30,20100507.0,0.1,20100604.0,0.1,0.0,54.0,0.1,0.1,-0.1,0.3
2010-05-31,20100604.0,0.2,20100702.0,,0.3,57.0,0.1,0.1,0.0,0.2
2010-06-30,20100702.0,0.0,20100806.0,0.1,-0.1,58.0,0.1,0.1,0.0,0.3
2010-07-31,20100806.0,,,0.1,0.2,57.0,0.1,0.1,0.0,0.3
2010-08-31,20100903.0,,,0.0,0.3,56.0,0.1,0.1,0.1,0.2
2010-09-30,20101008.0,0.1,20101105.0,0.1,0.0,57.0,0.2,0.2,0.0,0.3
2010-10-31,20101105.0,0.3,20101203.0,0.0,0.2,54.0,0.2,0.2,0.1,0.2
2010-11-30,20101203.0,,,0.0,0.0,57.0,0.2,0.2,0.1,0.3
2010-12-31,20110107.0,,,0.1,0.1,51.0,0.2,0.2,0.0,0.3
2011-01-31,20110204.0,,,,0.4,52.0,0.2,0.2,0.1,0.3
2011-02-28,20110304.0,,,0.1,0.0,52.0,0.2,0.2,0.0,0.3
2011-03-31,20110401.0,0.2,20110506.0,0.1,0.0,50.0,0.2,0.2,0.0,0.3
2011-04-30,20110506.0,,,0.1,0.1,54.0,0.2,0.2,0.1,0.5
2011-05-31,20110603.0,,,0.1,0.3,56.0,0.2,0.2,0.0,0.3
2011-06-30,20110708.0,,,0.0,0.0,53.0,0.2,0.2,0.1,0.3
2011-07-31,20110805.0,0.5,20110902.0,0.1,0.4,54.0,0.2,0.2,0.0,0.3
2011-08-31,20110902.0,-0.2,20111007.0,0.1,-0.1,50.0,0.2,0.2,0.0,0.3
2011-09-30,20111007.0,0.3,20111104.0,0.1,0.2,56.0,0.2,0.2,0.1,0.5
2011-10-31,20111104.0,0.3,20111202.0,0.1,0.2,57.0,0.2,0.2,0.0,0.3
2011-11-30,20111202.0,0.0,20120106.0,0.0,-0.1,54.0,0.2,0.2,0.0,0.3
2011-12-31,20120106.0,0.1,20120203.0,0.1,0.2,48.0,0.2,0.2,0.0,0.3
2012-01-31,20120203.0,0.1,20120309.0,0.0,0.2,56.0,0.2,0.2,0.0,0.3
2012-02-29,20120309.0,0.3,20120406.0,0.0,0.1,58.0,0.2,0.2,0.1,0.4
2012-03-31,20120406.0,,,0.0,0.2,49.0,0.2,0.2,0.1,0.2
2012-04-30,20120504.0,0.1,20120601.0,0.0,0.0,52.0,0.2,0.2,0.1,0.3
2012-05-31,20120601.0,0.2,20120706.0,0.1,0.1,54.0,0.2,0.2,0.0,0.3
2012-06-30,20120706.0,,,0.0,0.3,51.0,0.2,0.2,0.1,0.2
2012-07-31,20120803.0,,,0.0,0.1,50.0,0.2,0.2,0.1,0.3
2012-08-31,20120907.0,,,0.1,0.0,56.0,0.2,0.2,0.1,0.3
2012-09-30,20121005.0,,,0.1,0.3,56.0,0.2,0.2,0.0,0.3
2012-10-31,20121102.0,,,0.1,0.0,55.0,0.2,0.2,0.0,0.3
