date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,19991228.0,141.7,20000125.0,1.7,141.4,33.0,135.0,135.15,131.0,140.0
2000-01-31,20000125.0,,,1.8,144.7,35.0,142.5,142.13,138.0,147.0
2000-02-29,20000229.0,140.8,20000328.0,1.4,141.8,36.0,143.0,143.02,140.0,145.8
2000-03-31,20000328.0,137.1,20000425.0,1.4,136.7,35.0,140.0,139.87,137.0,143.0
2000-04-30,20000425.0,137.7,20000530.0,2.6,136.9,35.0,135.0,135.28,130.0,142.0
2000-05-31,20000530.0,144.7,20000627.0,1.5,144.4,37.0,136.05,136.2,130.0,140.0
2000-06-30,20000627.0,139.2,20000725.0,1.6,138.8,44.0,140.0,139.8,135.0,143.0
2000-07-31,20000725.0,143.0,20000829.0,1.3,141.7,38.0,139.2,138.9,132.0,142.0
2000-08-31,20000829.0,140.8,20000926.0,0.8,141.1,38.0,141.3,141.24,138.0,143.0
2000-09-30,20000926.0,,,1.0,141.9,38.0,141.0,141.1,139.0,143.4
2000-10-31,20001031.0,135.8,20001128.0,1.0,135.2,40.0,140.0,140.2,138.0,142.7
2000-11-30,20001128.0,132.6,20001228.0,2.5,133.5,32.0,136.0,136.44,131.0,142.2
2000-12-31,20001228.0,128.6,20010130.0,2.9,128.3,32.0,128.0,128.2,120.0,136.0
2001-01-31,20010130.0,115.7,20010227.0,3.5,114.4,40.0,125.0,123.96,115.0,130.0
2001-02-28,20010227.0,109.2,20010327.0,4.6,106.8,41.0,110.0,109.81,99.0,122.0
2001-03-31,20010327.0,116.9,20010424.0,2.3,117.0,45.0,105.0,104.86,100.0,110.0
2001-04-30,20010424.0,109.9,20010529.0,2.9,109.2,37.0,112.0,112.38,105.0,120.0
2001-05-31,20010529.0,116.1,20010626.0,1.6,115.5,38.0,111.0,111.04,104.0,115.0
2001-06-30,20010626.0,118.9,20010731.0,1.4,117.9,38.0,114.5,114.34,109.4,119.0
2001-07-31,20010731.0,116.3,20010828.0,1.1,116.5,42.0,118.0,117.72,108.0,120.0
2001-08-31,20010828.0,114.0,20010925.0,0.9,114.3,39.0,117.5,117.4,115.0,120.0
2001-09-30,20010925.0,97.0,20011030.0,7.8,97.6,41.0,105.0,103.52,65.0,113.5
2001-10-31,20011030.0,85.3,20011127.0,1.9,85.5,41.0,95.5,95.65,90.0,99.0
2001-11-30,20011127.0,84.9,20011228.0,2.0,82.2,50.0,86.5,86.42,80.0,90.0
2001-12-31,20011228.0,94.6,20020129.0,2.0,93.7,37.0,83.0,83.54,81.0,90.0
2002-01-31,20020129.0,97.8,20020226.0,2.71,97.3,40.0,96.35,96.72,90.0,105.0
2002-02-28,20020226.0,95.0,20020326.0,1.3,94.1,58.0,97.0,97.03,95.0,100.0
2002-03-31,20020326.0,110.7,20020430.0,1.8,110.2,52.0,98.0,98.0,94.3,105.0
2002-04-30,20020430.0,108.5,20020528.0,1.7,108.8,52.0,107.5,107.53,102.8,112.0
2002-05-31,20020528.0,110.3,20020625.0,1.8,109.8,58.0,110.0,109.52,102.5,114.0
2002-06-30,20020625.0,106.3,20020730.0,2.1,106.4,53.0,106.0,105.59,100.0,109.2
2002-07-31,20020730.0,97.4,20020827.0,1.3,97.1,45.0,101.0,101.26,99.0,104.0
2002-08-31,20020827.0,94.5,20020924.0,1.2,93.5,53.0,97.0,97.04,94.5,100.0
2002-09-30,20020924.0,93.7,20021029.0,1.3,93.3,59.0,92.1,92.39,89.0,96.0
2002-10-31,20021029.0,79.6,20021126.0,2.7,79.4,56.0,90.0,89.48,80.0,95.2
2002-11-30,20021126.0,84.9,20021231.0,2.2,84.1,54.0,85.0,85.49,82.0,90.0
2002-12-31,20021231.0,80.7,20030128.0,1.5,80.3,41.0,86.0,86.07,82.0,90.0
2003-01-31,20030128.0,78.8,20030225.0,2.9,79.0,60.0,78.4,77.99,70.0,84.0
2003-02-28,20030225.0,64.8,20030325.0,1.4,64.0,62.0,77.0,76.88,74.0,81.0
2003-03-31,20030325.0,,,2.6,62.5,56.0,62.0,62.4,56.0,70.0
2003-04-30,20030429.0,,,3.3,81.0,62.0,70.0,70.94,64.5,80.0
2003-05-31,20030527.0,83.6,20030624.0,3.8,83.8,58.0,84.65,85.01,75.0,94.0
2003-06-30,20030624.0,,,2.0,83.5,62.0,82.0,82.19,78.0,87.0
2003-07-31,20030729.0,77.0,20030826.0,1.2,76.6,61.0,85.0,84.8,82.0,91.0
2003-08-31,20030826.0,81.7,20030930.0,1.9,81.3,65.0,80.0,79.35,73.0,83.5
2003-09-30,20030930.0,77.0,20031028.0,1.6,76.8,61.0,80.5,80.9,76.0,85.9
2003-10-31,20031028.0,81.7,20031125.0,1.8,81.1,62.0,79.25,79.26,70.0,82.0
2003-11-30,20031125.0,92.5,20031230.0,2.2,91.7,66.0,85.0,85.34,80.8,92.0
2003-12-31,20031230.0,91.7,20040127.0,2.3,91.3,49.0,91.75,91.8,85.0,97.0
2004-01-31,20040127.0,96.4,20040224.0,3.6,96.8,58.0,98.5,98.53,89.0,107.0
2004-02-29,20040224.0,88.5,20040330.0,2.9,87.3,60.0,92.5,92.7,86.2,102.0
2004-03-31,20040330.0,88.5,20040427.0,1.9,88.3,62.0,86.0,86.46,82.0,91.0
2004-04-30,20040427.0,93.0,20040525.0,1.9,92.9,61.0,88.5,88.55,85.0,95.0
2004-05-31,20040525.0,93.1,20040629.0,1.6,93.2,61.0,94.0,93.56,88.0,98.5
2004-06-30,20040629.0,102.8,20040727.0,1.4,101.9,64.0,95.0,95.36,91.5,99.3
2004-07-31,20040727.0,105.7,20040831.0,1.8,106.1,65.0,102.0,101.89,98.0,107.0
2004-08-31,20040831.0,98.7,20040928.0,1.6,98.0,61.0,103.5,103.24,97.0,106.1
2004-09-30,20040928.0,96.7,20041026.0,1.4,96.8,68.0,99.5,99.24,94.5,102.0
2004-10-31,20041026.0,92.9,20041130.0,2.0,92.8,67.0,94.0,93.25,85.5,97.0
2004-11-30,20041130.0,92.6,20041228.0,1.4,90.5,59.0,96.0,95.97,93.5,100.0
2004-12-31,20041228.0,102.7,20050125.0,1.3,102.3,52.0,94.0,94.2,91.7,98.0
2005-01-31,20050125.0,105.1,20050222.0,1.4,103.4,65.0,101.0,101.13,98.0,107.5
2005-02-28,20050222.0,104.4,20050329.0,1.5,104.0,61.0,103.0,102.98,98.0,106.0
2005-03-31,20050329.0,103.0,20050426.0,1.6,102.4,64.0,103.0,102.79,97.0,107.5
2005-04-30,20050426.0,97.5,20050531.0,1.7,97.7,67.0,98.0,97.83,90.0,101.0
2005-05-31,20050531.0,103.1,20050628.0,1.3,102.2,58.0,96.05,96.34,93.5,100.0
2005-06-30,20050628.0,106.2,20050726.0,2.0,105.8,62.0,104.0,104.45,100.0,112.0
2005-07-31,20050726.0,103.6,20050830.0,1.5,103.2,54.0,106.25,106.29,102.5,112.0
2005-08-31,20050830.0,105.5,20050927.0,1.7,105.6,67.0,101.0,100.58,95.0,104.5
2005-09-30,20050927.0,87.5,20051025.0,3.4,86.6,62.0,95.0,93.98,85.0,100.0
2005-10-31,20051025.0,85.2,20051129.0,3.1,85.0,59.0,88.0,87.87,80.0,95.1
2005-11-30,20051129.0,98.3,20051228.0,2.0,98.9,59.0,90.2,90.56,86.0,95.3
2005-12-31,20051228.0,103.8,20060131.0,2.8,103.6,53.0,103.0,102.69,91.0,107.5
2006-01-31,20060131.0,106.8,20060228.0,1.1,106.3,61.0,105.0,104.62,102.0,108.0
2006-02-28,20060228.0,102.7,20060328.0,1.6,101.7,58.0,104.0,104.18,99.8,107.0
2006-03-31,20060328.0,107.5,20060425.0,0.9,107.2,65.0,102.0,101.78,99.8,103.5
2006-04-30,20060425.0,109.8,20060530.0,1.4,109.6,62.0,106.2,106.07,102.5,109.0
2006-05-31,20060530.0,104.7,20060627.0,2.5,103.2,66.0,101.0,100.88,95.0,107.0
2006-06-30,20060627.0,105.4,20060725.0,1.6,105.7,63.0,103.8,103.39,98.0,107.0
2006-07-31,20060725.0,107.0,20060829.0,1.3,106.5,65.0,104.0,104.2,99.0,123.0
2006-08-31,20060829.0,100.2,20060926.0,1.7,99.6,67.0,102.7,102.55,99.0,106.5
2006-09-30,20060926.0,105.9,20061031.0,1.9,104.5,66.0,103.0,102.56,97.0,107.0
2006-10-31,20061031.0,105.1,20061128.0,1.8,105.4,60.0,108.0,107.88,104.5,113.2
2006-11-30,20061128.0,105.3,20061228.0,1.2,102.9,60.0,106.0,106.1,103.7,110.0
2006-12-31,20061228.0,110.0,20070130.0,1.1,109.0,52.0,102.0,102.03,99.0,105.0
2007-01-31,20070130.0,110.2,20070227.0,1.5,110.3,64.0,110.0,110.18,106.0,116.0
2007-02-28,20070227.0,111.2,20070327.0,1.2,112.5,66.0,108.5,108.5,105.0,111.0
2007-03-31,20070327.0,108.2,20070424.0,2.0,107.2,67.0,108.5,108.24,100.0,112.5
2007-04-30,20070424.0,106.3,20070529.0,1.2,104.0,67.0,105.0,104.65,102.0,107.5
2007-05-31,20070529.0,108.5,20070626.0,1.4,108.0,67.0,105.0,104.45,100.0,107.0
2007-06-30,20070626.0,105.3,20070731.0,1.4,103.9,70.0,105.0,105.2,100.6,108.0
