date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2002-09-30,20021018.0,,,0.1,1.5,0.0,,,,
2002-10-31,20021119.0,,,,2.0,1.0,,,,
2002-11-30,20021217.0,,,,2.2,1.0,,,,
2002-12-31,20030116.0,,,,2.4,0.0,,,,
2003-01-31,20030221.0,,,1.1,2.6,3.0,2.6,1.9,0.4,2.8
2003-02-28,20030321.0,,,,3.0,2.0,,,,
2003-03-31,20030416.0,,,,3.0,2.0,,,,
2003-04-30,20030516.0,,,,2.2,1.0,,,,
2003-05-31,20030617.0,,,,2.1,3.0,2.1,2.1,2.0,2.1
2003-06-30,20030716.0,,,,2.1,2.0,,,,
2003-07-31,20030815.0,,,,2.1,2.0,2.1,1.5,0.1,2.2
2003-08-31,20030916.0,,,,2.2,1.0,,,,
2003-09-30,20031016.0,,,,2.3,0.0,,,,
2003-10-31,20031118.0,,,,2.0,2.0,,,,
2003-11-30,20031216.0,,,,1.8,3.0,2.1,2.1,2.0,2.1
2003-12-31,20040115.0,,,0.1,1.9,3.0,1.8,1.8,1.7,1.9
2004-01-31,20040220.0,,,0.7,1.9,3.0,1.6,1.2,0.2,1.9
2004-02-29,20040317.0,,,0.1,1.7,4.0,1.6,1.6,1.5,1.7
2004-03-31,20040414.0,,,0.3,1.7,5.0,1.5,1.4,0.9,1.6
2004-04-30,20040514.0,,,0.1,2.3,5.0,2.4,2.4,2.3,2.5
2004-05-31,20040615.0,,,0.1,3.1,5.0,2.9,2.9,2.8,3.0
2004-06-30,20040716.0,,,1.1,3.3,6.0,3.1,2.7,0.2,3.2
2004-07-31,20040817.0,,,0.1,3.0,4.0,3.2,3.2,3.1,3.3
2004-08-31,20040916.0,,,0.1,2.7,8.0,2.8,2.8,2.7,3.2
2004-09-30,20041019.0,,,,2.5,5.0,2.5,2.5,2.4,2.5
2004-10-31,20041117.0,,,0.1,3.2,5.0,3.0,3.0,2.8,3.1
2004-11-30,20041217.0,,,0.1,3.5,8.0,3.5,3.5,3.3,3.6
2004-12-31,20050119.0,,,0.1,3.3,12.0,3.4,3.4,3.3,3.6
2005-01-31,20050223.0,,,0.3,3.0,10.0,3.2,3.1,2.2,3.2
2005-02-28,20050323.0,,,0.1,3.0,15.0,2.9,2.9,2.8,3.0
2005-03-31,20050420.0,,,0.1,3.1,11.0,3.1,3.1,2.9,3.2
2005-04-30,20050518.0,,,0.1,3.5,13.0,3.3,3.3,3.1,3.4
2005-05-31,20050615.0,,,0.1,2.8,6.0,2.9,3.0,2.9,3.1
2005-06-30,20050714.0,,,0.1,2.5,5.0,2.7,2.7,2.6,2.9
2005-07-31,20050816.0,,,0.1,3.2,10.0,3.0,3.0,2.8,3.1
2005-08-31,20050915.0,,,0.1,3.6,8.0,3.7,3.7,3.5,3.8
2005-09-30,20051014.0,,,0.9,4.7,12.0,4.3,4.0,1.2,4.5
2005-10-31,20051116.0,,,0.1,4.3,10.0,4.1,4.1,4.0,4.5
2005-11-30,20051215.0,,,0.2,3.5,12.0,3.6,3.6,3.4,4.1
2005-12-31,20060118.0,,,0.1,3.4,10.0,3.6,3.7,3.5,3.9
2006-01-31,20060222.0,,,0.1,4.0,7.0,3.8,3.9,3.6,4.1
2006-02-28,20060316.0,,,,3.6,5.0,3.7,3.7,3.6,3.7
2006-03-31,20060419.0,,,0.1,3.4,15.0,3.5,3.4,3.2,3.6
2006-04-30,20060517.0,,,0.2,3.5,17.0,3.5,3.5,3.0,3.8
2006-05-31,20060614.0,,,0.2,4.2,16.0,3.9,3.9,3.4,4.1
2006-06-30,20060719.0,,,0.1,4.3,17.0,4.3,4.3,4.2,4.4
2006-07-31,20060816.0,,,0.2,4.1,13.0,4.2,4.2,4.0,4.5
2006-08-31,20060915.0,,,0.1,3.8,18.0,3.8,3.9,3.7,4.1
2006-09-30,20061018.0,,,0.1,2.1,16.0,2.3,2.2,2.1,2.5
2006-10-31,20061116.0,,,0.1,1.3,12.0,1.5,1.5,1.4,1.7
2006-11-30,20061215.0,,,0.1,2.0,18.0,2.2,2.2,2.0,2.3
2006-12-31,20070118.0,,,0.5,2.5,18.0,2.4,2.3,0.2,2.6
2007-01-31,20070221.0,,,0.2,2.1,28.0,1.9,2.0,1.7,2.6
2007-02-28,20070316.0,,,0.1,2.4,22.0,2.3,2.3,2.2,2.7
2007-03-31,20070417.0,,,0.1,2.8,14.0,2.8,2.8,2.7,2.9
2007-04-30,20070515.0,,,0.1,2.6,25.0,2.6,2.6,2.5,3.0
2007-05-31,20070615.0,,,0.1,2.7,18.0,2.6,2.6,2.5,2.9
2007-06-30,20070718.0,,,0.1,2.7,22.0,2.6,2.6,2.5,2.9
2007-07-31,20070815.0,,,0.1,2.4,21.0,2.4,2.5,2.2,2.7
