date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000114.0,,,0.1,0.1,44.0,0.2,0.2,0.0,0.3
2000-01-31,20000218.0,,,,0.2,43.0,0.2,0.2,0.1,0.3
2000-02-29,20000317.0,,,,0.2,42.0,0.2,0.2,0.1,0.3
2000-03-31,20000414.0,0.2,20000516.0,,0.4,42.0,0.2,0.2,0.1,0.3
2000-04-30,20000516.0,,,0.1,0.2,32.0,0.2,0.2,0.1,0.3
2000-05-31,20000614.0,,,,0.2,41.0,0.2,0.2,0.1,0.3
2000-06-30,20000718.0,,,0.1,0.2,43.0,0.2,0.2,0.1,0.4
2000-07-31,20000816.0,,,,0.2,45.0,0.2,0.2,0.1,0.3
2000-08-31,20000915.0,,,,0.2,46.0,0.2,0.2,0.1,0.3
2000-09-30,20001018.0,,,0.1,0.3,46.0,0.2,0.2,0.1,0.6
2000-10-31,20001116.0,,,,0.2,45.0,0.2,0.2,0.0,0.2
2000-11-30,20001215.0,,,,0.3,43.0,0.2,0.2,0.1,0.3
2000-12-31,20010117.0,,,0.1,0.1,47.0,0.2,0.2,0.0,0.2
2001-01-31,20010221.0,,,0.1,0.3,44.0,0.2,0.2,0.1,0.4
2001-02-28,20010321.0,,,,0.3,45.0,0.2,0.2,0.0,0.3
2001-03-31,20010417.0,,,,0.2,38.0,0.2,0.2,0.1,0.3
2001-04-30,20010516.0,,,,0.2,46.0,0.2,0.2,0.1,0.3
2001-05-31,20010615.0,,,,0.1,44.0,0.2,0.2,0.1,0.3
2001-06-30,20010718.0,,,,0.3,40.0,0.2,0.2,0.1,0.3
2001-07-31,20010816.0,,,0.1,0.2,50.0,0.2,0.2,0.1,0.3
2001-08-31,20010918.0,,,0.1,0.2,37.0,0.2,0.2,0.1,0.3
2001-09-30,20011019.0,,,0.1,0.2,50.0,0.2,0.2,0.0,0.3
2001-10-31,20011116.0,,,0.1,0.2,55.0,0.0,0.0,-0.2,0.3
2001-11-30,20011214.0,,,0.1,0.4,50.0,0.2,0.2,0.0,0.2
2001-12-31,20020116.0,,,0.1,0.1,52.0,0.1,0.1,0.0,0.3
2002-01-31,20020220.0,,,0.1,0.2,57.0,0.2,0.2,0.0,0.3
2002-02-28,20020321.0,,,,0.3,58.0,0.2,0.2,0.1,0.3
2002-03-31,20020416.0,,,,0.1,59.0,0.2,0.2,0.1,0.4
2002-04-30,20020515.0,,,0.1,0.3,62.0,0.2,0.2,0.1,0.3
2002-05-31,20020618.0,,,,0.2,57.0,0.2,0.2,0.1,0.2
2002-06-30,20020719.0,,,,0.1,58.0,0.2,0.2,0.0,0.3
2002-07-31,20020816.0,,,0.1,0.2,58.0,0.2,0.2,-0.1,0.3
2002-08-31,20020918.0,,,,0.3,63.0,0.2,0.2,0.1,0.3
2002-09-30,20021018.0,,,,0.1,60.0,0.2,0.2,0.1,0.3
2002-10-31,20021119.0,,,,0.2,51.0,0.2,0.2,0.1,0.3
2002-11-30,20021217.0,,,,0.2,54.0,0.2,0.2,0.0,0.3
2002-12-31,20030116.0,0.2,20030221.0,0.1,0.1,59.0,0.1,0.1,0.0,0.3
2003-01-31,20030221.0,,,0.1,0.1,64.0,0.2,0.2,0.1,0.4
2003-02-28,20030321.0,,,0.1,0.1,64.0,0.2,0.2,0.0,0.4
