date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000127.0,6.3,20000224.0,0.9,4.1,41.0,0.7,1.0,-0.8,4.3
2000-01-31,20000224.0,-2.2,20000324.0,1.5,-1.3,37.0,-2.0,-1.7,-4.0,3.2
2000-02-29,20000324.0,-2.0,20000426.0,0.8,-2.3,40.0,-0.2,-0.2,-2.5,1.5
2000-03-31,20000426.0,4.5,20000526.0,0.7,2.6,43.0,2.0,1.9,0.5,3.5
2000-04-30,20000526.0,-5.7,20000628.0,1.2,-6.4,46.0,-0.5,-0.2,-3.0,4.0
2000-05-31,20000628.0,7.0,20000727.0,1.2,6.0,47.0,2.9,2.9,0.3,8.5
2000-06-30,20000727.0,9.5,20000824.0,1.6,10.0,41.0,-0.3,-0.4,-4.0,5.0
2000-07-31,20000824.0,-13.1,20000927.0,2.3,-12.4,47.0,-7.0,-6.5,-10.0,0.9
2000-08-31,20000927.0,3.5,20001027.0,1.4,2.9,40.0,2.5,2.6,0.3,8.0
2000-09-30,20001027.0,2.4,20001128.0,1.0,1.8,44.0,0.8,0.8,-1.0,3.2
2000-10-31,20001128.0,-6.5,20001222.0,1.4,-5.5,38.0,-1.0,-1.6,-4.3,1.0
2000-11-30,20001222.0,1.8,20010126.0,1.5,2.3,42.0,1.5,1.3,-5.5,4.0
2000-12-31,20010126.0,1.2,20010227.0,1.0,2.2,43.0,-1.5,-1.6,-3.5,0.4
2001-01-31,20010227.0,-7.3,20010327.0,1.7,-6.0,45.0,-2.5,-2.6,-6.0,0.5
2001-02-28,20010327.0,-0.3,20010425.0,1.4,-0.2,51.0,0.5,0.4,-3.7,3.7
2001-03-31,20010425.0,2.2,20010525.0,0.7,3.0,44.0,0.5,0.7,-1.5,2.0
2001-04-30,20010525.0,-5.5,20010626.0,1.1,-5.0,45.0,-2.2,-2.3,-5.0,0.8
2001-05-31,20010626.0,2.7,20010726.0,1.1,2.9,42.0,-0.3,-0.2,-2.9,2.0
