date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2014-01-31,20140219.0,,,0.1,0.2,56.0,0.1,0.1,0.0,0.3
2014-02-28,20140314.0,,,0.0,-0.2,65.0,0.1,0.1,0.0,0.2
2014-03-31,20140411.0,,,0.1,0.6,69.0,0.2,0.2,0.0,0.4
2014-04-30,20140514.0,,,0.1,0.5,62.0,0.2,0.2,0.0,0.5
2014-05-31,20140613.0,,,0.1,-0.1,64.0,0.1,0.1,-0.2,0.5
2014-06-30,20140716.0,,,0.1,0.2,59.0,0.2,0.2,0.0,0.7
2014-07-31,20140815.0,,,0.1,0.2,64.0,0.2,0.2,0.0,0.5
2014-08-31,20140916.0,,,0.1,0.1,67.0,0.1,0.1,-0.1,0.2
2014-09-30,20141015.0,,,0.1,0.0,65.0,0.1,0.1,-0.1,0.3
2014-10-31,20141118.0,,,0.1,0.4,68.0,0.1,0.1,-0.1,0.3
2014-11-30,20141212.0,,,0.1,0.0,67.0,0.1,0.1,-0.1,0.3
2014-12-31,20150115.0,,,0.1,0.3,64.0,0.1,0.1,-0.1,0.4
2015-01-31,20150218.0,,,0.1,-0.1,65.0,0.1,0.1,-0.1,0.4
2015-02-28,20150313.0,,,0.1,-0.5,65.0,0.1,0.1,-0.1,0.4
2015-03-31,20150414.0,,,0.1,0.2,66.0,0.1,0.1,-0.5,0.4
2015-04-30,20150514.0,,,0.1,-0.2,66.0,0.1,0.1,-0.1,0.3
2015-05-31,20150612.0,,,0.1,0.1,65.0,0.1,0.1,-0.6,0.3
2015-06-30,20150715.0,,,0.1,0.3,63.0,0.1,0.1,-0.1,0.3
2015-07-31,20150814.0,,,0.1,0.3,62.0,0.1,0.1,0.0,0.3
2015-08-31,20150911.0,,,0.1,0.3,66.0,0.1,0.1,-0.1,0.2
2015-09-30,20151014.0,,,0.1,-0.3,60.0,0.1,0.1,-0.2,0.3
2015-10-31,20151113.0,,,0.1,-0.3,62.0,0.1,0.1,-0.1,0.4
2015-11-30,20151211.0,,,0.1,0.3,59.0,0.1,0.1,-0.1,0.3
2015-12-31,20160115.0,0.2,20160217.0,0.1,0.1,62.0,0.1,0.1,-0.2,0.2
2016-01-31,20160217.0,,,0.1,0.4,56.0,0.1,0.1,-0.1,0.2
2016-02-29,20160315.0,,,0.1,0.0,59.0,0.1,0.1,-0.1,0.3
2016-03-31,20160413.0,,,0.1,-0.1,55.0,0.1,0.1,-0.1,0.3
2016-04-30,20160513.0,,,0.1,0.1,59.0,0.1,0.1,0.0,0.3
2016-05-31,20160615.0,,,0.1,0.3,58.0,0.1,0.1,0.0,0.2
2016-06-30,20160714.0,,,0.1,0.4,56.0,0.1,0.1,-0.1,0.2
2016-07-31,20160812.0,,,0.1,-0.3,55.0,0.2,0.2,0.0,0.3
2016-08-31,20160915.0,,,0.1,0.1,55.0,0.1,0.1,-0.1,0.3
2016-09-30,20161014.0,,,0.1,0.2,53.0,0.1,0.1,-0.1,0.3
2016-10-31,20161116.0,,,0.1,-0.2,52.0,0.2,0.2,0.0,0.3
2016-11-30,20161214.0,,,0.1,0.4,53.0,0.2,0.2,0.1,0.4
2016-12-31,20170113.0,0.1,20170214.0,0.1,0.2,51.0,0.1,0.1,0.0,0.3
2017-01-31,20170214.0,,,0.0,0.4,55.0,0.2,0.2,0.1,0.3
2017-02-28,20170314.0,,,0.1,0.3,56.0,0.2,0.2,0.0,0.3
2017-03-31,20170413.0,,,0.1,0.0,52.0,0.2,0.2,0.0,0.3
2017-04-30,20170511.0,,,0.1,0.4,48.0,0.2,0.2,-0.1,0.3
2017-05-31,20170613.0,,,0.1,0.3,54.0,0.1,0.1,-0.2,0.3
2017-06-30,20170713.0,,,0.1,0.1,53.0,0.2,0.1,-0.1,0.3
2017-07-31,20170810.0,,,0.0,-0.1,52.0,0.2,0.2,0.1,0.3
2017-08-31,20170913.0,,,0.1,0.1,52.0,0.2,0.2,-0.1,0.3
2017-09-30,20171012.0,,,0.1,0.4,50.0,0.2,0.2,0.1,0.3
2017-10-31,20171114.0,,,0.1,0.4,50.0,0.2,0.2,0.0,0.3
2017-11-30,20171212.0,,,0.1,0.3,50.0,0.2,0.2,0.0,0.4
2017-12-31,20180111.0,,,0.0,-0.1,45.0,0.2,0.2,0.1,0.3
2018-01-31,20180215.0,,,0.2,0.4,50.0,0.2,0.2,-0.9,0.5
2018-02-28,20180314.0,,,0.1,0.2,52.0,0.2,0.2,-0.2,0.3
2018-03-31,20180410.0,,,0.0,0.3,49.0,0.2,0.2,0.1,0.3
2018-04-30,20180509.0,,,0.1,0.2,52.0,0.2,0.2,0.1,0.3
2018-05-31,20180613.0,,,0.0,0.3,46.0,0.2,0.2,0.1,0.3
2018-06-30,20180711.0,,,0.1,0.3,48.0,0.2,0.2,0.1,0.3
2018-07-31,20180809.0,,,0.1,0.1,49.0,0.2,0.2,0.1,0.4
2018-08-31,20180912.0,,,0.0,-0.1,48.0,0.2,0.2,0.1,0.3
2018-09-30,20181010.0,,,0.1,0.2,47.0,0.2,0.2,0.0,0.3
2018-10-31,20181109.0,,,0.1,0.5,47.0,0.2,0.2,0.1,0.4
2018-11-30,20181211.0,,,0.1,0.3,49.0,0.1,0.1,-0.2,0.3
2018-12-31,20190115.0,0.0,20190214.0,0.1,-0.1,49.0,0.2,0.2,-0.1,0.2
2019-01-31,20190214.0,,,0.1,0.3,49.0,0.2,0.2,0.0,0.3
2019-02-28,20190313.0,,,0.1,0.1,44.0,0.2,0.2,-0.1,0.3
2019-03-31,20190411.0,,,0.1,0.3,50.0,0.2,0.2,0.1,0.3
2019-04-30,20190509.0,,,0.1,0.1,51.0,0.2,0.2,0.0,0.3
2019-05-31,20190611.0,,,0.1,0.2,47.0,0.2,0.2,0.0,0.3
