date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2004-08-31,20041018.0,59.9,20041116.0,,59.0,,,,,
2004-09-30,20041116.0,67.5,20041215.0,,63.4,1.0,,,,
2004-10-31,20041215.0,48.3,20050118.0,,48.1,,,,,
2004-11-30,20050118.0,89.3,20050215.0,13.4,81.0,6.0,58.5,58.333,35.0,80.0
2004-12-31,20050215.0,60.7,20050315.0,7.9,61.3,6.0,58.5,60.5,50.0,75.0
2005-01-31,20050315.0,92.5,20050415.0,7.7,91.5,6.0,58.5,60.5,51.0,75.0
2005-02-28,20050415.0,84.1,20050516.0,16.8,84.5,14.0,65.0,58.386,18.7,70.0
2005-03-31,20050516.0,40.6,20050615.0,6.5,45.7,14.0,70.0,68.643,55.0,80.0
2005-04-30,20050615.0,47.8,20050718.0,7.3,47.4,7.0,70.0,68.0,55.0,80.0
2005-05-31,20050718.0,55.8,20050815.0,6.9,60.0,7.0,60.0,60.643,50.0,70.0
2005-06-30,20050815.0,80.9,20050916.0,3.5,71.2,10.0,64.5,64.76,60.0,69.6
2005-07-31,20050916.0,87.5,20051018.0,7.4,87.4,3.0,60.0,54.767,44.3,60.0
2005-08-31,20051018.0,89.0,20051116.0,9.7,91.3,5.0,60.0,61.7,48.5,75.0
2005-09-30,20051116.0,101.7,20051215.0,6.8,101.9,4.0,75.0,76.5,70.0,86.0
2005-10-31,20051215.0,104.2,20060118.0,5.6,106.8,5.0,75.0,72.42,65.0,80.0
2005-11-30,20060118.0,91.6,20060215.0,8.1,89.1,11.0,85.0,89.45,80.0,105.0
2005-12-31,20060215.0,53.8,20060315.0,6.7,56.6,4.0,76.15,74.825,65.0,82.0
2006-01-31,20060315.0,69.1,20060417.0,19.2,66.0,7.0,64.8,63.314,33.0,102.4
2006-02-28,20060417.0,90.5,20060515.0,3.8,86.9,5.0,60.0,61.58,58.0,67.4
2006-03-31,20060515.0,70.4,20060615.0,5.3,69.8,10.0,79.85,76.82,68.5,85.0
2006-04-30,20060615.0,51.1,20060718.0,4.9,46.7,10.0,60.0,63.22,60.0,75.0
2006-05-31,20060718.0,63.6,20060815.0,7.5,69.6,8.0,58.35,58.813,45.0,70.0
2006-06-30,20060815.0,75.1,20060918.0,9.1,75.1,18.0,65.0,68.894,55.0,90.0
2006-07-31,20060918.0,,,9.0,32.9,14.0,70.0,68.9,50.0,90.0
2006-08-31,20061017.0,125.275,20061116.0,10.9,116.8,14.0,56.45,58.136,40.0,78.0
2006-09-30,20061116.0,81.705,20061215.0,12.5,65.1,14.0,73.25,71.343,47.0,93.3
2006-10-31,20061215.0,89.3,20070117.0,7.9,82.3,14.0,70.0,69.671,55.0,85.0
2006-11-30,20070117.0,87.141,20070215.0,12.0,68.4,14.0,75.0,76.336,60.0,105.0
2006-12-31,20070215.0,11.837,20070315.0,12.1,15.6,12.0,60.0,62.583,40.0,88.0
2007-01-31,20070315.0,111.359,20070416.0,16.2,97.4,13.0,70.0,66.308,38.0,86.5
2007-02-28,20070416.0,66.505,20070515.0,9.5,58.1,15.0,75.0,76.7,60.0,92.0
2007-03-31,20070515.0,59.14,20070615.0,17.2,67.6,14.0,71.0,65.664,10.0,85.0
2007-04-30,20070615.0,83.802,20070717.0,7.5,84.1,13.0,72.0,69.715,55.0,80.0
2007-05-31,20070717.0,135.752,20070815.0,10.9,126.1,13.0,73.0,73.946,60.0,100.0
2007-06-30,20070815.0,108.648,20070918.0,11.9,120.9,13.0,63.0,65.731,45.0,90.0
2007-07-31,20070918.0,11.164,20071016.0,21.5,19.2,13.0,90.0,84.792,50.0,125.0
2007-08-31,20071016.0,-72.882,20071116.0,15.7,-69.3,12.0,60.0,54.5,25.0,80.0
2007-09-30,20071116.0,13.929,20071217.0,23.5,26.4,12.0,71.45,66.825,20.0,100.0
2007-10-31,20071217.0,128.938,20080116.0,13.7,114.0,12.0,50.0,53.818,40.0,90.0
2007-11-30,20080116.0,90.286,20080215.0,17.2,90.9,12.0,50.0,51.667,19.0,75.0
2007-12-31,20080215.0,54.949,20080317.0,14.9,56.5,14.0,73.5,71.493,45.0,100.0
2008-01-31,20080317.0,60.496,20080415.0,20.0,62.0,6.0,60.0,64.333,35.0,100.0
2008-02-29,20080415.0,,,8.3,72.5,8.0,60.0,57.5,45.0,70.0
2008-03-31,20080515.0,77.145,20080616.0,15.2,80.4,11.0,62.5,64.318,38.0,90.0
2008-04-30,20080616.0,116.146,20080716.0,8.3,115.1,10.0,63.25,62.75,45.0,76.0
2008-05-31,20080716.0,83.241,20080815.0,12.9,67.0,8.0,70.0,72.813,58.0,90.0
2008-06-30,20080815.0,53.421,20080916.0,12.9,53.4,11.0,60.0,57.573,30.0,75.0
2008-07-31,20080916.0,8.6,20081016.0,9.3,6.088,9.0,55.0,53.111,35.0,69.0
2008-08-31,20081016.0,,,21.1,14.0,5.0,30.0,29.0,0.0,65.0
2008-09-30,20081118.0,65.4,20081215.0,18.1,66.2,7.0,27.2,30.314,5.0,60.0
2008-10-31,20081215.0,-0.4,20090116.0,9.8,1.5,5.0,40.0,34.34,15.0,40.0
2008-11-30,20090116.0,-25.6,20090217.0,13.7,-21.7,5.0,15.0,15.6,0.0,36.0
2008-12-31,20090217.0,34.7,20090316.0,18.0,34.8,7.0,20.0,21.129,-5.0,50.0
2009-01-31,20090316.0,,,20.1,-43.0,5.0,45.0,40.74,5.0,60.0
2009-02-28,20090415.0,22.0,20090515.0,29.7,22.0,10.0,14.0,11.64,-43.0,55.0
2009-03-31,20090515.0,55.4,20090615.0,12.4,55.8,8.0,32.5,31.363,10.0,49.0
2009-04-30,20090615.0,11.5,20090716.0,12.2,11.2,9.0,60.0,58.356,40.0,85.0
2009-05-31,20090716.0,-19.4,20090817.0,21.4,-19.8,8.0,16.5,9.5,-20.0,35.0
2009-06-30,20090817.0,90.2,20090916.0,2.3,90.7,5.0,17.5,17.518,15.0,20.09
2009-07-31,20090916.0,0.0,20091016.0,15.8,15.3,7.0,60.0,56.929,25.0,73.5
2009-08-31,20091016.0,34.2,20091117.0,17.5,28.6,9.0,30.0,23.611,-15.0,45.0
2009-09-30,20091117.0,,,12.4,40.7,8.0,30.0,30.288,10.0,50.0
2009-10-31,20091215.0,19.3,20100119.0,8.0,20.7,8.0,37.1,37.913,25.0,50.0
2009-11-30,20100119.0,126.4,20100216.0,10.3,126.8,8.0,25.0,27.725,15.0,50.0
2009-12-31,20100216.0,,,17.8,63.3,7.0,35.4,38.514,15.0,68.2
2010-01-31,20100315.0,15.0,20100415.0,31.8,19.1,4.0,47.5,64.125,42.5,119.0
2010-02-28,20100415.0,,,16.5,47.1,5.0,29.7,31.54,5.0,50.0
2010-03-31,20100517.0,,,11.8,140.5,7.0,50.0,51.443,35.1,75.0
2010-04-30,20100615.0,81.5,20100716.0,53.7,83.0,7.0,70.0,63.386,-25.0,150.0
2010-05-31,20100716.0,35.3,20100816.0,39.3,35.4,6.0,40.0,59.483,25.0,132.9
