date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000114.0,,,0.1,0.4,43.0,0.4,0.38,0.1,0.7
2000-01-31,20000215.0,1.1,20000315.0,0.1,1.0,44.0,0.6,0.57,0.2,0.9
2000-02-29,20000315.0,0.1,20000414.0,0.1,0.3,43.0,0.6,0.56,0.2,0.8
2000-03-31,20000414.0,0.7,20000515.0,0.1,0.3,40.0,0.25,0.25,0.0,0.7
2000-04-30,20000515.0,0.7,20000615.0,0.2,0.9,37.0,0.8,0.72,0.2,1.0
2000-05-31,20000615.0,0.5,20000714.0,0.3,0.4,49.0,-0.3,-0.31,-1.2,0.4
2000-06-30,20000714.0,,,0.1,0.2,43.0,0.3,0.31,0.1,0.7
2000-07-31,20000815.0,0.0,20000915.0,0.1,0.4,41.0,0.4,0.33,0.0,0.6
2000-08-31,20000915.0,0.4,20001017.0,0.2,0.3,46.0,0.0,0.0,-0.6,0.5
2000-09-30,20001017.0,0.4,20001115.0,0.2,0.2,42.0,0.1,0.11,-0.2,0.4
2000-10-31,20001115.0,,,0.1,-0.1,45.0,0.1,0.13,-0.1,0.4
2000-11-30,20001215.0,-0.3,20010117.0,0.2,-0.2,39.0,0.0,-0.02,-0.3,0.3
2000-12-31,20010117.0,-0.5,20010216.0,0.3,-0.6,45.0,-0.5,-0.51,-1.5,0.0
2001-01-31,20010216.0,-0.6,20010316.0,0.2,-0.3,45.0,0.0,0.0,-0.7,0.5
2001-02-28,20010316.0,-0.4,20010417.0,0.2,-0.6,42.0,-0.3,-0.34,-0.8,0.1
2001-03-31,20010417.0,-0.1,20010514.0,0.2,0.4,38.0,-0.1,-0.06,-0.5,0.4
2001-04-30,20010514.0,-0.6,20010615.0,0.2,-0.3,43.0,-0.2,-0.16,-0.5,0.2
2001-05-31,20010615.0,-0.5,20010717.0,0.2,-0.8,44.0,-0.4,-0.44,-0.8,0.1
2001-06-30,20010717.0,-0.9,20010815.0,0.1,-0.7,38.0,-0.5,-0.46,-0.8,-0.1
2001-07-31,20010815.0,,,0.1,-0.1,51.0,-0.3,-0.25,-0.5,0.2
2001-08-31,20010914.0,-0.7,20011016.0,0.3,-0.8,46.0,-0.3,-0.32,-0.8,0.3
2001-09-30,20011016.0,,,0.2,-1.0,49.0,-0.8,-0.77,-1.5,-0.1
2001-10-31,20011116.0,-0.9,20011214.0,0.2,-1.1,55.0,-0.9,-0.9,-1.3,-0.5
2001-11-30,20011214.0,-0.4,20020116.0,0.3,-0.3,48.0,-0.65,-0.62,-1.2,0.5
2001-12-31,20020116.0,-0.3,20020215.0,0.2,-0.1,54.0,0.0,0.03,-0.4,0.5
2002-01-31,20020215.0,0.2,20020315.0,0.2,-0.1,63.0,-0.2,-0.1,-0.8,0.6
