date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2010-09-30,20101109.0,3011.0,20101207.0,,2929.0,,,,,
2010-10-31,20101207.0,3328.0,20110111.0,,3362.0,,,,,
2010-11-30,20110111.0,3202.0,20110208.0,,3248.0,,,,,
2010-12-31,20110208.0,2921.0,20110311.0,,3063.0,,,,,
2011-01-31,20110311.0,2741.0,20110413.0,,2760.0,2.0,,,,
2011-02-28,20110413.0,3025.0,20110511.0,,3093.0,2.0,,,,
2011-03-31,20110511.0,3123.0,20110607.0,,3124.0,2.0,,,,
2011-04-30,20110607.0,2953.0,20110712.0,,2972.0,2.0,,,,
2011-05-31,20110712.0,3034.0,20110810.0,,2974.0,2.0,,,,
2011-06-30,20110810.0,3169.0,20110907.0,,3109.0,2.0,,,,
2011-07-31,20110907.0,3213.0,20111012.0,71.1,3228.0,3.0,3074.0,3047.3,2950.0,3118.0
2011-08-31,20111012.0,3129.0,20111108.0,,3056.0,1.0,,,,
2011-09-30,20111108.0,3377.0,20111213.0,,3354.0,1.0,,,,
2011-10-31,20111213.0,3224.0,20120110.0,,3267.0,2.0,,,,
2011-11-30,20120110.0,3118.0,20120207.0,,3161.0,2.0,,,,
2011-12-31,20120207.0,3540.0,20120313.0,7.8,3376.0,3.0,3250.0,3249.7,3240.0,3259.0
2012-01-31,20120313.0,3477.0,20120410.0,44.2,3459.0,3.0,3334.0,3346.7,3300.0,3406.0
2012-02-29,20120410.0,3565.0,20120508.0,,3498.0,2.0,,,,
2012-03-31,20120508.0,3741.0,20120619.0,,3737.0,2.0,,,,
2012-04-30,20120619.0,3447.0,20120710.0,34.2,3416.0,4.0,3685.0,3671.0,3614.0,3700.0
2012-05-31,20120710.0,3657.0,20120807.0,53.0,3642.0,4.0,3587.5,3575.0,3500.0,3625.0
2012-06-30,20120807.0,3722.0,20120911.0,32.4,3762.0,4.0,3716.5,3710.8,3660.0,3750.0
2012-07-31,20120911.0,3593.0,20121010.0,91.2,3664.0,4.0,3740.0,3732.5,3600.0,3850.0
2012-08-31,20121010.0,3661.0,20121106.0,8.5,3561.0,3.0,3735.0,3731.7,3720.0,3740.0
2012-09-30,20121106.0,3547.0,20121211.0,41.0,3561.0,4.0,3652.5,3654.5,3600.0,3713.0
2012-10-31,20121211.0,3665.0,20130110.0,43.8,3675.0,3.0,3600.0,3615.3,3571.0,3675.0
2012-11-30,20130110.0,3790.0,20130212.0,37.5,3676.0,4.0,3676.5,3674.5,3620.0,3725.0
2012-12-31,20130212.0,3612.0,20130312.0,28.3,3617.0,3.0,3700.0,3720.0,3700.0,3760.0
2013-01-31,20130312.0,3611.0,20130409.0,66.5,3693.0,3.0,3670.0,3706.7,3650.0,3800.0
2013-02-28,20130409.0,3899.0,20130507.0,34.6,3925.0,4.0,3740.0,3731.8,3677.0,3770.0
2013-03-31,20130507.0,3875.0,20130611.0,341.7,3844.0,4.0,3770.0,3637.5,3060.0,3950.0
2013-04-30,20130611.0,3800.0,20130709.0,41.5,3757.0,4.0,3875.0,3862.5,3800.0,3900.0
2013-05-31,20130709.0,3907.0,20130806.0,56.9,3828.0,5.0,3800.0,3800.0,3700.0,3860.0
2013-06-30,20130806.0,3869.0,20130910.0,52.6,3936.0,5.0,3895.0,3859.0,3790.0,3910.0
2013-07-31,20130910.0,3808.0,20131024.0,15.5,3689.0,3.0,3900.0,3891.7,3870.0,3905.0
2013-08-31,20131024.0,3844.0,20131122.0,95.7,3883.0,4.0,3765.0,3748.8,3600.0,3865.0
2013-09-30,20131122.0,3883.0,20131210.0,40.6,3913.0,5.0,3850.0,3856.2,3800.0,3915.0
2013-10-31,20131210.0,3931.0,20140117.0,12.7,3925.0,4.0,3897.5,3895.0,3875.0,3910.0
2013-11-30,20140117.0,4033.0,20140211.0,18.2,4001.0,4.0,3930.0,3938.8,3925.0,3970.0
2013-12-31,20140211.0,3914.0,20140311.0,88.3,3990.0,4.0,3980.0,4000.0,3900.0,4140.0
2014-01-31,20140311.0,3874.0,20140408.0,30.1,3974.0,4.0,4015.0,4001.3,3950.0,4025.0
2014-02-28,20140408.0,4125.0,20140509.0,10.8,4173.0,5.0,4020.0,4017.0,4000.0,4030.0
2014-03-31,20140509.0,4166.0,20140610.0,74.5,4014.0,8.0,4125.0,4125.0,4010.0,4270.0
2014-04-30,20140610.0,4464.0,20140708.0,35.3,4455.0,9.0,4050.0,4056.6,4014.0,4100.0
2014-05-31,20140708.0,4577.0,20140812.0,66.1,4635.0,7.0,4350.0,4372.9,4265.0,4500.0
2014-06-30,20140812.0,4675.0,20140909.0,89.7,4671.0,10.0,4600.0,4598.5,4450.0,4785.0
2014-07-31,20140909.0,4605.0,20141007.0,37.2,4673.0,10.0,4700.0,4687.0,4625.0,4740.0
2014-08-31,20141007.0,4853.0,20141113.0,45.6,4835.0,11.0,4700.0,4696.5,4650.0,4825.0
2014-09-30,20141113.0,4685.0,20141209.0,59.3,4735.0,13.0,4800.0,4775.1,4655.0,4850.0
2014-10-31,20141209.0,4830.0,20150113.0,62.6,4834.0,12.0,4795.0,4794.6,4675.0,4880.0
2014-11-30,20150113.0,,,72.0,4972.0,9.0,4850.0,4857.8,4730.0,5010.0
2014-12-31,20150210.0,4877.0,20150310.0,52.0,5028.0,10.0,4982.5,4959.0,4880.0,5035.0
2015-01-31,20150310.0,,,62.2,4998.0,11.0,5050.0,5058.5,4950.0,5220.0
2015-02-28,20150407.0,,,28.7,5133.0,4.0,5006.5,5020.8,5000.0,5070.0
2015-03-31,20150512.0,5109.0,20150609.0,62.3,4994.0,8.0,5107.5,5103.8,5000.0,5200.0
2015-04-30,20150609.0,,,63.5,5376.0,7.0,5044.0,5063.0,4992.0,5200.0
2015-05-31,20150707.0,5357.0,20150812.0,46.3,5363.0,8.0,5300.0,5302.4,5250.0,5395.0
2015-06-30,20150812.0,,,68.8,5249.0,8.0,5350.0,5327.4,5200.0,5400.0
2015-07-31,20150909.0,5668.0,20151016.0,49.5,5753.0,12.0,5300.0,5289.9,5200.0,5350.0
2015-08-31,20151016.0,,,74.9,5370.0,9.0,5580.0,5583.6,5450.0,5688.0
2015-09-30,20151112.0,5534.0,20151208.0,55.3,5526.0,10.0,5400.0,5410.6,5285.0,5500.0
2015-10-31,20151208.0,,,65.2,5383.0,9.0,5500.0,5526.1,5450.0,5670.0
2015-11-30,20160112.0,5346.0,20160209.0,41.5,5431.0,9.0,5450.0,5450.6,5400.0,5520.0
2015-12-31,20160209.0,5281.0,20160317.0,52.7,5607.0,8.0,5412.5,5402.5,5330.0,5465.0
2016-01-31,20160317.0,5604.0,20160405.0,72.4,5541.0,7.0,5500.0,5547.4,5450.0,5650.0
2016-02-29,20160405.0,5608.0,20160510.0,37.6,5445.0,5.0,5490.0,5473.0,5400.0,5500.0
2016-03-31,20160510.0,,,59.4,5757.0,7.0,5450.0,5464.4,5380.0,5564.0
2016-04-30,20160608.0,,,103.5,5788.0,9.0,5675.0,5670.4,5500.0,5834.0
2016-05-31,20160712.0,,,115.8,5500.0,5.0,5650.0,5610.0,5450.0,5750.0
2016-06-30,20160810.0,,,128.1,5624.0,7.0,5675.0,5586.6,5381.0,5700.0
2016-07-31,20160907.0,,,56.6,5871.0,6.0,5630.0,5651.0,5575.0,5750.0
2016-08-31,20161012.0,5453.0,20161108.0,66.9,5443.0,10.0,5800.0,5774.6,5650.0,5865.0
2016-09-30,20161108.0,5631.0,20161207.0,57.6,5486.0,8.0,5487.5,5492.6,5400.0,5620.0
2016-10-31,20161207.0,5451.0,20170110.0,147.1,5534.0,8.0,5500.0,5461.1,5110.0,5629.0
2016-11-30,20170110.0,5505.0,20170207.0,91.6,5522.0,8.0,5500.0,5469.8,5284.0,5550.0
2016-12-31,20170207.0,5539.0,20170316.0,54.8,5501.0,7.0,5580.0,5565.6,5451.0,5640.0
2017-01-31,20170316.0,5625.0,20170411.0,68.4,5626.0,6.0,5556.0,5568.7,5500.0,5700.0
2017-02-28,20170411.0,5682.0,20170509.0,53.9,5743.0,5.0,5650.0,5665.0,5600.0,5750.0
2017-03-31,20170509.0,5785.0,20170606.0,49.9,5743.0,6.0,5725.0,5722.5,5635.0,5800.0
2017-04-30,20170606.0,5967.0,20170711.0,40.0,6044.0,5.0,5750.0,5755.0,5700.0,5800.0
