date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2012-05-31,20120601.0,,,,,0.0,,,,
2012-06-30,20120702.0,,,,,5.0,52.9,52.9,52.9,53.0
2012-07-31,20120801.0,,,,,5.0,51.8,51.7,51.5,51.8
2012-08-31,20120904.0,,,,,7.0,51.9,51.9,51.9,52.1
2012-09-30,20121001.0,,,,,8.0,51.5,51.5,51.0,53.0
2012-10-31,20121101.0,,,,,5.0,51.3,51.2,50.9,51.5
2012-11-30,20121203.0,,,,,8.0,52.1,52.0,51.0,52.5
2012-12-31,20130102.0,,,,,8.0,53.6,53.2,51.0,54.5
2013-01-31,20130201.0,,,,,8.0,55.3,55.1,52.0,56.1
2013-02-28,20130301.0,,,,,6.0,55.2,55.4,55.0,57.0
2013-03-31,20130401.0,,,,,10.0,55.0,55.0,54.0,56.5
2013-04-30,20130501.0,,,,,7.0,52.0,51.9,51.5,52.0
2013-05-31,20130603.0,,,,,10.0,52.0,52.0,51.5,52.5
2013-06-30,20130701.0,,,,,12.0,52.3,52.3,51.8,52.8
2013-07-31,20130801.0,,,,,12.0,53.2,53.3,53.0,54.0
2013-08-31,20130903.0,,,,,8.0,54.0,54.1,53.9,54.5
2013-09-30,20131001.0,,,,,8.0,53.1,53.1,52.5,53.8
2013-10-31,20131101.0,,,,,10.0,51.1,51.2,50.5,52.0
2013-11-30,20131202.0,,,,,10.0,54.3,54.3,53.8,54.7
2013-12-31,20140102.0,,,,,9.0,54.7,54.7,54.4,55.0
2014-01-31,20140203.0,,,,,17.0,53.8,53.8,53.0,54.3
2014-02-28,20140303.0,,,1.7,,18.0,56.7,56.0,49.5,57.2
2014-03-31,20140401.0,,,0.5,,15.0,56.0,55.9,55.0,56.5
2014-04-30,20140501.0,,,0.5,,16.0,55.4,55.4,54.0,56.2
2014-05-31,20140602.0,,,0.3,,17.0,56.2,56.1,55.2,56.5
2014-06-30,20140701.0,,,0.2,,16.0,57.5,57.5,57.0,57.7
2014-07-31,20140801.0,,,1.2,,8.0,56.5,56.3,53.3,57.5
2014-08-31,20140902.0,,,0.2,,14.0,58.0,57.9,57.5,58.0
2014-09-30,20141001.0,,,0.2,,13.0,57.9,57.9,57.5,58.0
2014-10-31,20141103.0,,,0.4,,15.0,56.2,56.2,54.9,57.0
2014-11-30,20141201.0,,,0.2,,17.0,55.0,54.9,54.5,55.2
2014-12-31,20150102.0,,,0.3,,15.0,54.0,53.8,53.0,54.5
2015-01-31,20150202.0,,,0.4,,13.0,53.7,53.9,53.5,54.9
2015-02-28,20150302.0,,,0.2,,10.0,54.3,54.3,54.0,54.5
2015-03-31,20150401.0,,,0.4,,12.0,55.3,55.1,54.1,55.5
2015-04-30,20150501.0,,,0.6,,12.0,54.2,54.5,54.0,56.0
2015-05-31,20150601.0,,,0.2,,12.0,53.8,53.7,53.5,54.1
2015-06-30,20150701.0,,,0.2,,11.0,53.4,53.4,53.1,53.8
2015-07-31,20150803.0,,,0.1,,10.0,53.8,53.8,53.6,54.0
2015-08-31,20150901.0,,,0.1,,13.0,52.9,52.9,52.7,53.2
2015-09-30,20151001.0,,,0.1,,12.0,53.0,53.0,52.8,53.0
2015-10-31,20151102.0,,,0.3,,14.0,54.0,54.1,53.7,55.0
2015-11-30,20151201.0,,,0.6,,13.0,52.6,52.9,52.5,54.8
2015-12-31,20160104.0,,,0.2,,8.0,51.1,51.1,50.9,51.5
2016-01-31,20160201.0,,,0.5,,16.0,52.6,52.6,51.6,54.0
2016-02-29,20160301.0,,,0.4,,14.0,51.2,51.3,51.0,52.3
2016-03-31,20160401.0,,,0.5,,10.0,51.5,51.7,51.4,52.9
2016-04-30,20160502.0,,,0.2,,15.0,50.8,50.9,50.5,51.4
2016-05-31,20160601.0,,,0.4,,13.0,50.5,50.7,50.4,51.8
2016-06-30,20160701.0,,,0.3,51.3,9.0,51.2,51.2,50.5,51.5
2016-07-31,20160801.0,,,0.5,52.9,14.0,52.9,52.6,51.3,53.0
2016-08-31,20160901.0,,,1.2,52.0,14.0,52.1,51.7,48.0,52.5
2016-09-30,20161003.0,,,0.3,51.5,10.0,51.4,51.4,50.5,52.0
2016-10-31,20161101.0,,,0.2,53.4,11.0,53.2,53.1,52.7,53.2
2016-11-30,20161201.0,,,0.2,54.1,9.0,53.9,53.8,53.4,54.0
2016-12-31,20170103.0,,,0.2,54.3,11.0,54.2,54.2,53.9,54.5
2017-02-28,20170301.0,,,0.5,54.2,9.0,54.5,54.7,54.3,55.5
2017-03-31,20170403.0,,,0.3,53.3,10.0,53.5,53.6,53.4,54.6
2017-04-30,20170501.0,,,0.2,52.8,12.0,52.8,52.9,52.5,53.5
2017-05-31,20170601.0,,,0.3,52.7,10.0,52.5,52.7,52.4,53.5
2017-06-30,20170703.0,,,0.2,52.0,10.0,52.1,52.2,52.0,52.7
2017-07-31,20170801.0,,,0.3,53.3,9.0,53.2,53.1,52.4,53.4
2017-08-31,20170901.0,,,0.3,52.8,7.0,52.5,52.6,52.5,53.3
2017-09-30,20171002.0,,,0.1,53.1,10.0,53.0,53.0,52.7,53.3
2017-10-31,20171101.0,,,0.4,54.6,10.0,54.5,54.3,53.2,54.6
2017-11-30,20171201.0,,,0.4,53.9,5.0,54.0,54.1,53.5,54.6
2017-12-31,20180102.0,,,0.4,55.1,10.0,55.0,55.0,54.2,55.8
2018-01-31,20180124.0,,,0.5,55.5,18.0,55.0,55.0,54.0,55.8
2018-02-28,20180301.0,,,0.2,55.3,8.0,55.9,55.8,55.2,56.0
2018-03-31,20180402.0,,,1.1,55.6,9.0,55.7,56.0,54.9,59.0
2018-04-30,20180501.0,,,0.2,56.5,7.0,56.5,56.4,56.0,56.5
2018-05-31,20180601.0,,,0.2,56.4,7.0,56.6,56.5,56.0,56.8
2018-06-30,20180702.0,,,0.4,55.4,11.0,54.6,54.6,53.5,55.0
2018-07-31,20180801.0,,,1.3,55.3,9.0,55.5,55.9,55.0,59.7
2018-08-31,20180904.0,,,0.2,54.7,7.0,54.5,54.5,54.0,54.7
2018-09-30,20181001.0,,,0.4,55.6,6.0,55.6,55.3,54.5,55.6
2018-10-31,20181101.0,,,0.3,55.7,9.0,55.8,55.7,55.0,55.9
2018-11-30,20181203.0,,,0.4,55.3,13.0,55.4,55.4,55.0,56.7
2018-12-31,20190102.0,,,0.4,53.8,11.0,53.9,53.9,53.0,55.0
2019-01-31,20190201.0,,,0.4,54.9,9.0,54.9,54.7,54.0,55.0
2019-02-28,20190301.0,,,1.0,53.0,9.0,53.7,54.1,53.5,56.8
2019-03-31,20190401.0,,,0.6,52.4,9.0,52.5,52.4,51.0,53.5
2019-04-30,20190501.0,,,0.7,52.6,8.0,52.4,52.6,52.0,54.4
2019-05-31,20190603.0,,,0.2,50.5,9.0,50.6,50.7,50.2,51.1
