date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2014-03-31,20140403.0,,,0.5,,5.0,55.5,55.7,55.0,56.5
2014-04-30,20140505.0,,,0.3,,7.0,54.5,54.6,54.2,55.3
2014-05-31,20140604.0,,,0.3,,4.0,58.2,58.3,58.0,58.7
2014-06-30,20140703.0,,,1.0,,6.0,61.0,60.6,58.6,61.5
2014-07-31,20140805.0,,,0.7,,8.0,60.8,60.5,59.0,61.0
2014-08-31,20140904.0,,,0.2,,6.0,58.5,58.6,58.3,59.0
2014-09-30,20141003.0,,,0.3,,3.0,58.5,58.4,58.0,58.8
2014-10-31,20141105.0,,,0.2,,6.0,57.1,57.1,56.8,57.3
2014-11-30,20141203.0,,,0.2,,5.0,56.5,56.4,56.0,56.5
2014-12-31,20150106.0,,,0.9,,9.0,53.7,54.0,53.0,56.5
2015-01-31,20150204.0,,,0.8,,8.0,54.1,54.4,53.9,56.5
2015-02-28,20150304.0,,,0.9,,7.0,57.0,56.4,54.7,57.2
2015-03-31,20150406.0,,,0.1,,9.0,58.6,58.6,58.4,58.8
2015-04-30,20150505.0,,,0.2,,8.0,57.8,57.7,57.5,58.0
2015-05-31,20150603.0,,,0.3,,7.0,56.4,56.5,56.0,57.0
2015-06-30,20150706.0,,,0.5,,9.0,54.9,55.1,54.5,56.5
2015-07-31,20150805.0,,,0.5,,6.0,55.2,55.1,54.0,55.5
2015-08-31,20150903.0,,,0.2,,7.0,55.0,55.0,54.6,55.2
2015-09-30,20151005.0,,,0.4,,9.0,55.6,55.6,54.8,56.5
2015-10-31,20151104.0,,,0.2,,9.0,54.5,54.6,54.4,55.0
2015-11-30,20151203.0,,,0.1,,4.0,56.5,56.6,56.5,56.7
2015-12-31,20160106.0,,,0.8,,7.0,54.0,54.0,52.4,55.0
2016-01-31,20160203.0,,,0.2,,8.0,53.7,53.8,53.5,54.0
2016-02-29,20160303.0,,,0.2,,8.0,50.0,50.1,49.8,50.5
2016-03-31,20160405.0,,,0.2,,6.0,51.2,51.2,51.0,51.5
2016-04-30,20160504.0,,,0.2,,7.0,52.1,52.2,52.0,52.5
2016-05-31,20160603.0,,,0.1,,8.0,51.4,51.4,51.2,51.5
2016-06-30,20160706.0,,,0.4,51.4,10.0,51.3,51.4,51.0,52.4
2016-07-31,20160803.0,,,1.2,51.4,10.0,51.0,51.4,50.7,55.0
2016-08-31,20160902.0,,,0.1,51.0,8.0,51.0,51.0,50.9,51.2
2016-09-30,20161005.0,,,0.5,52.3,7.0,51.9,51.8,50.5,52.1
2016-10-31,20161103.0,,,0.9,54.8,8.0,54.8,54.4,52.0,54.8
2016-11-30,20161205.0,,,0.1,54.6,9.0,54.9,54.8,54.7,55.0
2016-12-31,20170105.0,,,0.1,53.9,7.0,53.4,53.4,53.3,53.5
2017-01-31,20170203.0,,,,55.6,2.0,,,,
2017-02-28,20170303.0,,,0.1,53.8,4.0,54.0,53.9,53.8,54.0
2017-03-31,20170405.0,,,0.2,52.8,5.0,53.1,53.1,52.9,53.4
2017-04-30,20170503.0,,,0.3,53.1,6.0,52.5,52.5,52.0,52.8
2017-05-31,20170605.0,,,0.2,53.6,3.0,54.0,53.8,53.5,54.0
2017-06-30,20170706.0,,,0.2,54.2,4.0,53.0,52.9,52.5,53.0
2017-07-31,20170803.0,,,0.1,54.7,4.0,54.2,54.3,54.2,54.4
2017-08-31,20170906.0,,,1.5,56.0,7.0,56.9,56.3,52.7,57.0
2017-09-30,20171004.0,,,0.3,55.3,8.0,55.1,55.2,55.0,55.9
2017-10-31,20171103.0,,,0.0,55.3,4.0,55.9,55.9,55.9,56.0
2017-11-30,20171205.0,,,0.4,54.5,8.0,55.2,55.2,54.7,56.0
2017-12-31,20180104.0,,,0.5,53.7,7.0,52.5,52.7,52.4,53.8
2018-01-31,20180205.0,,,0.1,53.3,5.0,53.3,53.4,53.2,53.5
2018-02-28,20180305.0,,,0.2,55.9,5.0,55.9,55.8,55.5,56.0
2018-03-31,20180404.0,,,0.3,54.0,6.0,54.2,54.2,53.6,54.5
2018-04-30,20180503.0,,,0.1,54.6,6.0,54.5,54.4,54.3,54.5
2018-05-31,20180605.0,,,0.0,56.8,6.0,55.7,55.7,55.7,55.8
2018-06-30,20180705.0,,,0.1,56.5,6.0,56.5,56.5,56.3,56.6
2018-07-31,20180803.0,,,0.2,56.0,5.0,56.2,56.3,56.0,56.7
2018-08-31,20180906.0,,,0.2,54.8,5.0,55.2,55.1,54.8,55.3
2018-09-30,20181003.0,,,0.3,53.5,6.0,53.0,52.9,52.2,53.1
2018-10-31,20181105.0,,,0.3,54.8,7.0,54.6,54.5,54.0,54.7
2018-11-30,20181206.0,,,0.0,54.7,8.0,54.4,54.4,54.3,54.4
2018-12-31,20190104.0,,,0.2,54.4,9.0,53.4,53.4,53.0,53.6
2019-01-31,20190205.0,,,0.2,54.2,8.0,54.2,54.2,53.8,54.3
2019-02-28,20190305.0,,,0.1,56.0,9.0,56.2,56.2,56.0,56.2
2019-03-31,20190403.0,,,0.2,55.3,7.0,54.8,54.7,54.2,54.8
2019-04-30,20190503.0,,,0.3,53.0,6.0,52.9,52.8,52.0,53.0
2019-05-31,20190605.0,,,0.2,50.9,7.0,50.9,50.8,50.5,51.1
