date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000103.0,56.8,20000201.0,0.6,55.5,36.0,56.0,56.3,55.4,58.0
2000-01-31,20000201.0,,,0.9,56.3,38.0,56.0,54.7,0.0,57.5
2000-02-29,20000301.0,,,0.7,56.9,42.0,56.5,56.3,54.0,58.0
2000-03-31,20000403.0,,,1.0,55.8,38.0,57.0,56.7,53.0,58.0
2000-04-30,20000501.0,,,0.8,54.9,40.0,55.6,55.6,53.0,57.0
2000-05-31,20000601.0,,,0.5,53.2,45.0,55.3,55.1,53.5,56.0
2000-06-30,20000703.0,,,0.7,51.8,27.0,52.8,52.9,51.7,54.5
2000-07-31,20000801.0,,,0.8,51.8,43.0,52.5,52.3,50.0,54.0
2000-08-31,20000901.0,,,0.7,49.5,41.0,52.3,52.1,50.0,53.0
2000-09-30,20001002.0,,,0.6,49.9,37.0,50.2,50.3,49.0,51.0
2000-10-31,20001101.0,,,0.7,48.3,46.0,49.5,49.5,47.0,51.0
2000-11-30,20001201.0,,,1.2,47.7,44.0,48.0,47.7,43.0,49.5
2000-12-31,20010102.0,,,0.7,43.7,41.0,47.0,46.9,43.0,49.0
2001-01-31,20010201.0,,,1.2,41.2,49.0,43.0,43.6,39.5,54.0
2001-02-28,20010301.0,,,1.0,41.9,46.0,42.0,41.9,40.0,44.0
2001-03-31,20010402.0,,,1.3,43.1,46.0,41.5,41.5,39.0,44.0
2001-04-30,20010501.0,,,1.0,43.2,38.0,44.0,44.0,41.1,47.0
2001-05-31,20010601.0,,,6.7,42.1,46.0,43.5,42.5,-0.1,45.0
2001-06-30,20010702.0,,,0.8,44.7,41.0,43.0,42.9,41.5,45.0
2001-07-31,20010801.0,,,0.9,43.6,50.0,44.5,44.3,41.9,46.0
2001-08-31,20010904.0,,,0.8,47.9,48.0,44.0,43.8,41.0,47.0
2001-09-30,20011001.0,,,1.8,47.0,47.0,45.6,45.4,40.0,49.0
2001-10-31,20011101.0,,,1.0,39.8,53.0,44.5,44.3,42.0,46.5
2001-11-30,20011203.0,,,1.3,44.5,42.0,42.0,41.9,39.0,47.0
2001-12-31,20020102.0,48.1,20020201.0,1.0,48.2,43.0,46.0,45.8,43.5,48.0
2002-01-31,20020201.0,,,1.0,49.9,55.0,50.0,50.0,48.0,53.0
2002-02-28,20020301.0,,,0.8,54.7,63.0,51.0,51.2,49.0,53.5
2002-03-31,20020401.0,,,1.0,55.6,53.0,54.8,54.7,52.0,58.0
2002-04-30,20020501.0,,,0.8,53.9,53.0,55.0,55.1,53.5,57.0
2002-05-31,20020603.0,,,1.0,55.7,60.0,54.7,54.9,53.0,57.5
