date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2009-12-31,20100120.0,-0.7,20100217.0,,-4.0,1.0,,,,
2010-01-31,20100217.0,6.6,20100316.0,4.0,2.8,77.0,4.1,4.6,-4.9,25.7
2010-02-28,20100316.0,1.1,20100416.0,2.8,-5.9,71.0,-3.6,-4.0,-13.7,3.2
2010-03-31,20100416.0,5.0,20100518.0,2.6,1.6,74.0,6.1,6.2,0.9,13.0
2010-04-30,20100518.0,3.9,20100616.0,2.2,5.8,77.0,3.8,4.2,-1.0,11.8
2010-05-31,20100616.0,-14.9,20100720.0,3.3,-10.0,78.0,-3.7,-4.4,-14.4,3.9
2010-06-30,20100720.0,-8.7,20100817.0,3.7,-5.0,75.0,-2.7,-2.8,-11.5,4.6
2010-07-31,20100817.0,0.4,20100921.0,2.6,1.7,74.0,2.0,2.0,-4.4,12.0
2010-08-31,20100921.0,10.5,20101019.0,2.8,10.5,74.0,0.7,0.2,-7.5,9.9
2010-09-30,20101019.0,-4.2,20101117.0,2.8,0.3,71.0,-3.0,-3.0,-8.0,4.4
2010-10-31,20101117.0,-11.1,20101216.0,2.3,-11.7,75.0,-2.0,-2.1,-9.8,2.5
2010-11-30,20101216.0,3.8,20110119.0,2.7,3.9,76.0,6.0,6.0,0.2,14.6
2010-12-31,20110119.0,-5.1,20110216.0,2.5,-4.3,72.0,-0.9,-0.5,-8.1,6.0
2011-01-31,20110216.0,18.5,20110316.0,3.8,14.6,76.0,1.9,1.1,-10.2,11.5
2011-02-28,20110316.0,-18.5,20110419.0,3.0,-22.5,74.0,-5.0,-4.6,-10.0,7.1
2011-03-31,20110419.0,12.9,20110517.0,4.5,7.2,77.0,8.6,9.5,-0.8,29.4
2011-04-30,20110517.0,-8.8,20110616.0,2.7,-10.6,74.0,3.6,3.2,-8.9,9.3
2011-05-31,20110616.0,0.0,20110719.0,2.9,3.5,78.0,4.2,4.2,-5.7,11.9
2011-06-30,20110719.0,10.8,20110816.0,2.6,14.6,71.0,2.7,2.3,-10.7,8.9
2011-07-31,20110816.0,-2.3,20110920.0,2.5,-1.5,77.0,-4.6,-4.2,-9.4,3.3
2011-08-31,20110920.0,-7.0,20111019.0,2.0,-5.0,78.0,-2.3,-2.3,-5.6,5.0
2011-09-30,20111019.0,7.7,20111117.0,2.2,15.0,75.0,3.3,3.6,-1.9,12.6
2011-10-31,20111117.0,-2.9,20111220.0,2.2,-0.3,82.0,-7.3,-7.5,-12.6,-2.7
2011-11-30,20111220.0,9.1,20120119.0,1.9,9.3,79.0,1.1,0.8,-4.5,4.3
2011-12-31,20120119.0,-1.9,20120216.0,3.0,-4.1,76.0,-0.7,-0.5,-8.8,5.6
2012-01-31,20120216.0,3.7,20120320.0,2.5,1.5,80.0,-3.4,-3.2,-8.4,5.3
2012-02-29,20120320.0,-2.8,20120417.0,2.4,-1.1,80.0,0.1,0.3,-7.0,10.9
2012-03-31,20120417.0,-2.6,20120516.0,2.0,-5.8,82.0,1.0,0.8,-4.0,7.5
2012-04-30,20120516.0,5.4,20120619.0,2.4,2.6,79.0,4.7,4.5,-2.0,11.6
2012-05-31,20120619.0,,,1.6,-4.8,77.0,0.7,0.6,-4.5,4.6
