date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2006-05-31,20060626.0,0.5,20060727.0,,4.6,2.0,,,,
2006-06-30,20060727.0,-0.9,20060824.0,2.8,-3.0,63.0,-6.8,-5.9,-12.1,2.8
2006-07-31,20060824.0,-7.5,20060927.0,1.9,-4.3,63.0,-2.7,-3.0,-7.2,2.1
2006-08-31,20060927.0,3.8,20061026.0,2.1,4.1,64.0,-3.0,-3.2,-7.6,2.6
2006-09-30,20061026.0,3.7,20061129.0,2.3,5.3,68.0,-1.0,-1.0,-5.2,4.8
2006-10-31,20061129.0,-3.8,20061227.0,2.4,-3.2,65.0,-2.4,-3.0,-8.8,3.7
2006-11-30,20061227.0,7.4,20070126.0,2.5,3.4,50.0,1.6,1.4,-4.4,11.1
2006-12-31,20070126.0,9.1,20070228.0,1.8,4.8,67.0,0.5,0.8,-3.1,5.1
2007-01-31,20070228.0,-15.8,20070326.0,2.9,-16.6,69.0,-3.6,-3.8,-10.7,3.6
2007-02-28,20070326.0,-4.2,20070425.0,3.5,-3.9,58.0,5.4,5.4,-3.9,14.2
2007-03-31,20070425.0,-1.4,20070524.0,4.8,2.6,71.0,5.0,5.2,-3.3,29.7
2007-04-30,20070524.0,12.5,20070626.0,2.5,16.2,72.0,0.2,0.3,-6.8,9.6
2007-05-31,20070626.0,-2.2,20070726.0,3.2,-1.6,72.0,-5.9,-5.9,-13.4,0.9
2007-06-30,20070726.0,-4.0,20070824.0,2.1,-6.6,73.0,-2.7,-2.6,-11.5,2.2
2007-07-31,20070824.0,3.8,20070927.0,2.0,2.8,73.0,-1.7,-1.7,-7.7,3.1
2007-08-31,20070927.0,-7.9,20071025.0,2.5,-8.3,72.0,-5.2,-5.4,-16.1,0.0
2007-09-30,20071025.0,-0.1,20071129.0,2.5,4.8,77.0,-3.1,-3.1,-8.8,3.1
2007-10-31,20071129.0,1.7,20071228.0,2.0,1.7,71.0,-2.6,-3.1,-8.4,1.9
2007-11-30,20071228.0,-12.6,20080128.0,1.7,-9.0,68.0,-1.6,-1.7,-5.9,3.0
2007-12-31,20080128.0,-4.0,20080227.0,2.7,-4.7,62.0,0.0,-0.5,-8.0,5.1
2008-01-31,20080227.0,-1.6,20080326.0,2.3,-2.8,69.0,-0.7,-0.9,-7.3,7.6
2008-02-29,20080326.0,-5.3,20080424.0,1.5,-1.8,71.0,-1.7,-1.6,-4.8,2.0
2008-03-31,20080424.0,-11.0,20080527.0,1.4,-8.5,75.0,-1.7,-1.5,-5.1,2.0
2008-04-30,20080527.0,4.8,20080625.0,2.8,3.3,70.0,-1.1,0.1,-4.9,8.4
2008-05-31,20080625.0,-5.0,20080725.0,2.6,-2.5,73.0,-2.7,-2.0,-8.8,8.4
2008-06-30,20080725.0,-2.9,20080826.0,1.7,-0.6,75.0,-1.8,-1.4,-6.3,3.5
2008-07-31,20080826.0,1.2,20080925.0,1.9,2.4,76.0,-0.9,-1.2,-7.0,7.6
2008-08-31,20080925.0,-10.1,20081027.0,2.0,-11.5,75.0,-1.0,-0.9,-4.3,7.8
2008-09-30,20081027.0,0.7,20081126.0,4.0,2.7,59.0,-2.2,-1.8,-13.0,8.9
2008-10-31,20081126.0,-5.2,20081223.0,3.6,-5.3,67.0,-5.0,-5.5,-18.1,1.3
2008-11-30,20081223.0,-4.4,20090129.0,3.7,-2.9,65.0,-4.2,-5.4,-20.8,0.5
2008-12-31,20090129.0,,,3.3,-14.7,70.0,-2.5,-3.3,-15.2,1.2
2009-01-31,20090226.0,-13.2,20090325.0,3.8,-10.2,73.0,-2.1,-2.1,-12.0,5.7
2009-02-28,20090325.0,,,4.2,4.7,65.0,-2.9,-0.6,-9.4,10.0
2009-03-31,20090424.0,-3.0,20090528.0,3.5,-0.6,68.0,0.0,-0.1,-8.0,11.3
2009-04-30,20090528.0,2.7,20090624.0,2.9,0.3,72.0,1.1,1.5,-7.3,12.4
2009-05-31,20090624.0,2.4,20090727.0,2.6,-0.6,71.0,2.3,3.0,-2.0,13.6
2009-06-30,20090727.0,9.1,20090826.0,2.6,11.0,63.0,3.0,3.6,-2.1,10.2
2009-07-31,20090826.0,6.5,20090925.0,2.4,9.6,71.0,1.6,1.8,-5.0,9.4
2009-08-31,20090925.0,1.0,20091028.0,2.8,0.7,75.0,1.6,2.2,-3.0,15.5
2009-09-30,20091028.0,-2.4,20091125.0,2.1,-3.6,75.0,2.6,2.1,-4.0,7.2
2009-10-31,20091125.0,1.8,20091223.0,3.1,6.2,75.0,0.4,0.4,-12.9,5.7
2009-11-30,20091223.0,-9.3,20100127.0,2.7,-11.3,72.0,1.7,1.1,-7.0,7.0
2009-12-31,20100127.0,-3.9,20100224.0,3.7,-7.6,70.0,3.0,3.4,-4.2,12.4
2010-01-31,20100224.0,-8.7,20100324.0,3.1,-11.2,72.0,3.5,3.8,-5.0,12.9
2010-02-28,20100324.0,-4.1,20100423.0,3.7,-2.2,78.0,1.9,1.1,-11.0,11.0
2010-03-31,20100423.0,29.9,20100526.0,3.6,26.9,77.0,5.5,6.6,-2.6,17.5
2010-04-30,20100526.0,14.7,20100623.0,4.0,14.8,75.0,3.4,2.3,-10.0,9.5
2010-05-31,20100623.0,-36.7,20100726.0,9.3,-32.7,76.0,-18.7,-17.4,-40.5,5.2
2010-06-30,20100726.0,12.1,20100825.0,5.6,23.6,73.0,3.3,4.7,-13.3,20.0
2010-07-31,20100825.0,-7.7,20100924.0,3.9,-12.4,74.0,0.0,0.2,-12.0,7.6
2010-08-31,20100924.0,1.1,20101027.0,3.9,0.0,72.0,6.9,6.9,-2.2,17.8
2010-09-30,20101027.0,12.0,20101124.0,3.8,6.6,73.0,4.2,4.5,-6.3,21.4
2010-10-31,20101124.0,-10.7,20101223.0,2.6,-8.1,72.0,1.6,1.9,-3.9,9.8
2010-11-30,20101223.0,0.0,20110126.0,2.9,5.5,70.0,6.0,6.3,0.7,13.1
2010-12-31,20110126.0,15.7,20110224.0,3.3,17.5,79.0,3.5,2.5,-6.9,8.6
2011-01-31,20110224.0,-9.6,20110323.0,3.9,-12.6,70.0,-7.3,-7.6,-16.4,3.3
2011-02-28,20110323.0,-13.5,20110425.0,4.0,-16.9,77.0,2.1,2.5,-15.5,14.4
2011-03-31,20110425.0,8.3,20110524.0,4.5,11.1,68.0,12.0,12.2,-1.2,20.0
2011-04-30,20110524.0,6.5,20110623.0,2.9,7.3,75.0,0.0,0.2,-6.7,6.7
2011-05-31,20110623.0,-0.6,20110726.0,3.4,-2.1,67.0,-4.0,-4.3,-10.8,6.8
2011-06-30,20110726.0,-2.9,20110823.0,2.8,-1.0,72.0,0.3,0.3,-6.0,7.2
2011-07-31,20110823.0,-0.3,20110926.0,2.3,-0.7,76.0,-0.6,-0.4,-7.1,5.8
2011-08-31,20110926.0,-0.3,20111026.0,2.6,-2.3,73.0,-1.7,-1.5,-7.7,7.4
2011-09-30,20111026.0,3.4,20111128.0,3.0,5.7,73.0,1.7,2.0,-6.8,10.2
2011-10-31,20111128.0,1.3,20111223.0,3.3,1.3,70.0,0.6,0.7,-4.2,19.8
2011-11-30,20111223.0,2.3,20120126.0,2.5,1.6,73.0,2.6,2.3,-2.9,14.0
2011-12-31,20120126.0,1.9,20120224.0,2.0,-2.2,75.0,1.9,2.6,-2.0,11.1
2012-01-31,20120224.0,-5.4,20120323.0,2.5,-0.9,77.0,2.6,3.3,-2.3,15.6
2012-02-29,20120323.0,7.3,20120424.0,2.1,-1.6,78.0,1.3,1.5,-3.4,9.0
2012-03-31,20120424.0,-7.3,20120523.0,2.6,-7.1,78.0,1.9,1.6,-4.2,7.7
2012-04-30,20120523.0,-1.2,20120625.0,2.4,3.3,72.0,2.1,3.0,-0.9,14.3
2012-05-31,20120625.0,6.7,20120725.0,2.3,7.6,67.0,1.0,1.3,-4.7,9.3
2012-06-30,20120725.0,-3.5,20120823.0,2.2,-8.4,74.0,0.7,0.2,-6.5,3.0
2012-07-31,20120823.0,3.6,20120926.0,2.7,3.6,72.0,4.3,4.5,-2.9,14.3
2012-08-31,20120926.0,-1.3,20121024.0,1.8,-0.3,71.0,2.2,2.2,-3.2,7.5
2012-09-30,20121024.0,0.8,20121128.0,2.2,5.7,75.0,3.2,3.7,-0.8,9.9
2012-10-31,20121128.0,-3.5,20121227.0,2.4,-0.3,74.0,0.3,0.2,-6.2,7.5
2012-11-30,20121227.0,9.3,20130125.0,2.3,4.4,71.0,3.3,3.2,-2.2,9.8
2012-12-31,20130125.0,-3.8,20130226.0,2.5,-7.3,77.0,2.1,2.4,-9.8,7.7
