date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000202.0,921.0,20000302.0,20.0,900.0,39.0,890.0,872.72,280.0,950.0
2000-01-31,20000302.0,924.0,20000329.0,18.0,882.0,41.0,890.0,888.49,835.0,912.0
2000-02-29,20000329.0,924.0,20000502.0,14.0,919.0,42.0,875.0,874.1,840.0,902.0
2000-03-31,20000502.0,965.0,20000531.0,16.0,966.0,43.0,900.0,904.95,850.0,930.0
2000-04-30,20000531.0,877.0,20000629.0,20.0,909.0,45.0,940.0,939.0,900.0,985.0
2000-05-31,20000629.0,861.0,20000802.0,19.0,875.0,48.0,898.0,898.0,850.0,945.0
2000-06-30,20000802.0,823.0,20000829.0,16.0,829.0,47.0,875.0,880.0,850.0,925.0
2000-07-31,20000829.0,921.0,20001003.0,17.0,944.0,42.0,840.0,839.54,795.0,885.0
2000-08-31,20001003.0,866.0,20001031.0,20.0,893.0,45.0,900.0,899.45,850.0,948.0
2000-09-30,20001031.0,953.0,20001204.0,14.0,946.0,45.0,900.0,894.38,850.0,925.0
2000-10-31,20001204.0,929.0,20010105.0,14.0,928.0,41.0,915.0,912.74,880.0,940.0
2000-11-30,20010105.0,860.0,20010131.0,16.0,909.0,39.0,925.0,921.0,895.0,965.0
2000-12-31,20010131.0,1034.0,20010227.0,15.0,975.0,47.0,891.0,890.13,846.0,930.0
2001-01-31,20010227.0,933.0,20010326.0,30.0,921.0,46.0,925.0,925.46,860.0,1005.0
2001-02-28,20010326.0,980.0,20010425.0,17.0,911.0,49.0,920.0,918.53,875.0,977.0
2001-03-31,20010425.0,988.0,20010524.0,13.0,1021.0,44.0,910.0,910.77,888.0,940.0
2001-04-30,20010524.0,921.0,20010626.0,16.0,894.0,45.0,975.0,977.53,950.0,1015.0
2001-05-31,20010626.0,907.0,20010727.0,18.0,928.0,42.0,900.0,901.78,850.0,950.0
2001-06-30,20010727.0,906.0,20010824.0,13.0,922.0,48.0,925.0,923.81,885.0,950.0
2001-07-31,20010824.0,893.0,20010927.0,10.0,950.0,46.0,919.0,918.3,900.0,950.0
2001-08-31,20010927.0,876.0,20011026.0,99.0,898.0,41.0,925.0,911.51,320.0,975.0
2001-09-30,20011026.0,878.0,20011129.0,33.0,864.0,51.0,860.0,854.2,750.0,920.0
2001-10-31,20011129.0,,,18.0,880.0,54.0,850.0,846.0,800.0,885.0
2001-11-30,20011228.0,895.0,20020128.0,17.0,934.0,42.0,885.0,885.0,850.0,950.0
2001-12-31,20020128.0,966.0,20020227.0,25.0,946.0,45.0,925.0,924.53,870.0,1000.0
2002-01-31,20020227.0,831.0,20020327.0,23.0,823.0,54.0,940.0,937.87,890.0,985.0
2002-02-28,20020327.0,906.0,20020424.0,32.0,875.0,51.0,890.0,882.82,800.0,950.0
2002-03-31,20020424.0,906.0,20020524.0,22.0,878.0,53.0,882.0,881.0,825.0,925.0
2002-04-30,20020524.0,951.0,20020626.0,18.0,915.0,57.0,885.0,884.02,830.0,925.0
2002-05-31,20020626.0,996.0,20020725.0,16.0,1028.0,50.0,920.0,922.72,890.0,975.0
2002-06-30,20020725.0,953.0,20020826.0,22.0,1001.0,49.0,980.0,982.45,925.0,1040.0
2002-07-31,20020826.0,977.0,20020926.0,20.0,1017.0,44.0,975.0,973.25,940.0,1030.0
2002-08-31,20020926.0,1017.0,20021025.0,18.0,996.0,57.0,980.0,982.25,950.0,1025.0
2002-09-30,20021025.0,1054.0,20021126.0,18.0,1021.0,52.0,990.0,990.5,950.0,1050.0
2002-10-31,20021126.0,1011.0,20021227.0,15.0,1007.0,47.0,990.0,987.0,950.0,1020.0
2002-11-30,20021227.0,1045.0,20030128.0,19.0,1069.0,42.0,1000.0,1001.02,950.0,1050.0
2002-12-31,20030128.0,1077.0,20030227.0,32.0,1082.0,58.0,1040.0,1036.1,950.0,1100.0
2003-01-31,20030227.0,929.0,20030326.0,26.0,914.0,55.0,1050.0,1042.75,990.0,1100.0
2003-02-28,20030326.0,943.0,20030425.0,32.0,854.0,53.0,925.0,926.81,870.0,1020.0
2003-03-31,20030425.0,1011.0,20030527.0,31.0,1012.0,55.0,905.0,905.8,825.0,965.0
2003-04-30,20030527.0,,,19.0,1028.0,59.0,985.0,987.53,950.0,1030.0
2003-05-31,20030625.0,1108.0,20030725.0,24.0,1157.0,60.0,1040.0,1038.05,950.0,1100.0
2003-06-30,20030725.0,1200.0,20030826.0,45.0,1160.0,61.0,1115.0,1114.97,1000.0,1250.0
2003-07-31,20030826.0,1112.0,20030925.0,44.0,1165.0,60.0,1150.0,1140.93,1000.0,1200.0
2003-08-31,20030925.0,1147.0,20031027.0,42.0,1150.0,64.0,1122.5,1123.06,990.0,1225.0
2003-09-30,20031027.0,,,29.0,1145.0,62.0,1125.0,1127.65,1050.0,1200.0
2003-10-31,20031126.0,1109.0,20031224.0,33.0,1105.0,58.0,1139.5,1133.97,975.0,1200.0
2003-11-30,20031224.0,,,28.0,1082.0,59.0,1125.0,1120.37,1000.0,1180.0
2003-12-31,20040128.0,,,,1060.0,57.0,1100.0,1089.72,990.0,1150.0
2004-01-31,20040226.0,1099.0,20040324.0,47.0,1106.0,57.0,1070.0,1065.84,980.0,1170.0
2004-02-29,20040324.0,1128.0,20040426.0,31.0,1163.0,61.0,1100.0,1079.49,13.0,1200.0
2004-03-31,20040426.0,1239.0,20040526.0,21.0,1228.0,56.0,1172.5,1170.93,1100.0,1215.0
2004-04-30,20040526.0,1192.0,20040624.0,35.0,1093.0,59.0,1200.0,1198.41,1100.0,1300.0
2004-05-31,20040624.0,1337.0,20040727.0,35.0,1369.0,58.0,1125.0,1127.9,1050.0,1200.0
2004-06-30,20040727.0,1211.0,20040825.0,43.0,1326.0,59.0,1273.0,1268.22,1150.0,1500.0
2004-07-31,20040825.0,1082.0,20040927.0,27.0,1134.0,60.0,1300.0,1296.3,1250.0,1350.0
2004-08-31,20040927.0,1165.0,20041027.0,29.0,1184.0,55.0,1155.0,1158.0,1100.0,1250.0
2004-09-30,20041027.0,1224.0,20041124.0,34.0,1206.0,62.0,1150.0,1146.31,1035.0,1210.0
2004-10-31,20041124.0,1278.0,20041223.0,22.0,1226.0,63.0,1200.0,1199.73,1150.0,1250.0
2004-11-30,20041223.0,1097.0,20050131.0,29.0,1125.0,60.0,1200.0,1204.22,1119.0,1251.0
2004-12-31,20050131.0,1218.0,20050228.0,40.0,1098.0,59.0,1200.0,1190.12,1086.0,1310.0
2005-01-31,20050228.0,1121.0,20050324.0,35.0,1106.0,51.0,1125.0,1128.1,1050.0,1260.0
