date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000119.0,1748.0,20000216.0,29.0,1712.0,43.0,1600.0,1611.0,1520.0,1700.0
2000-01-31,20000216.0,1758.0,20000316.0,32.0,1775.0,43.0,1645.0,1644.0,1580.0,1700.0
2000-02-29,20000316.0,1807.0,20000418.0,29.0,1781.0,43.0,1700.0,1708.0,1650.0,1750.0
2000-03-31,20000418.0,1618.0,20000516.0,47.0,1604.0,40.0,1743.0,1738.0,1650.0,1830.0
2000-04-30,20000516.0,1656.0,20000616.0,39.0,1663.0,41.0,1650.0,1644.0,1550.0,1725.0
2000-05-31,20000616.0,1596.0,20000720.0,28.0,1592.0,48.0,1620.0,1623.0,1550.0,1700.0
2000-06-30,20000720.0,1563.0,20000816.0,32.0,1554.0,42.0,1574.0,1580.0,1525.0,1650.0
2000-07-31,20000816.0,1526.0,20000919.0,30.0,1512.0,43.0,1560.0,1560.0,1500.0,1625.0
2000-08-31,20000919.0,1525.0,20001018.0,24.0,1531.0,36.0,1538.0,1536.0,1490.0,1600.0
2000-09-30,20001018.0,,,29.0,1530.0,43.0,1550.0,1546.0,1460.0,1600.0
2000-10-31,20001117.0,1528.0,20001220.0,22.0,1532.0,44.0,1550.0,1554.0,1500.0,1600.0
2000-11-30,20001220.0,,,25.0,1562.0,42.0,1540.0,1540.0,1490.0,1600.0
2000-12-31,20010118.0,1568.0,20010216.0,42.0,1575.0,36.0,1510.0,1510.0,1420.0,1675.0
2001-01-31,20010216.0,1653.0,20010316.0,45.0,1651.0,45.0,1550.0,1557.0,1460.0,1675.0
2001-02-28,20010316.0,1634.0,20010417.0,38.0,1647.0,44.0,1600.0,1600.0,1530.0,1680.0
2001-03-31,20010417.0,1586.0,20010516.0,27.0,1613.0,36.0,1625.0,1621.0,1550.0,1680.0
2001-04-30,20010516.0,1629.0,20010619.0,25.0,1609.0,44.0,1600.0,1599.0,1520.0,1650.0
2001-05-31,20010619.0,1610.0,20010718.0,20.0,1622.0,39.0,1590.0,1592.0,1550.0,1650.0
2001-06-30,20010718.0,1627.0,20010816.0,19.0,1658.0,39.0,1600.0,1606.0,1550.0,1650.0
2001-07-31,20010816.0,1641.0,20010920.0,21.0,1672.0,49.0,1620.0,1623.0,1580.0,1680.0
2001-08-31,20010920.0,1548.0,20011017.0,27.0,1527.0,36.0,1630.0,1637.0,1590.0,1710.0
2001-09-30,20011017.0,1572.0,20011119.0,30.0,1574.0,46.0,1500.0,1499.0,1450.0,1550.0
2001-10-31,20011119.0,1521.0,20011218.0,31.0,1552.0,49.0,1500.0,1506.0,1400.0,1560.0
2001-11-30,20011218.0,1625.0,20020117.0,33.0,1645.0,46.0,1540.0,1546.0,1500.0,1650.0
2001-12-31,20020117.0,1579.0,20020219.0,34.0,1570.0,52.0,1610.0,1611.0,1520.0,1700.0
2002-01-31,20020219.0,1721.0,20020320.0,41.0,1678.0,50.0,1600.0,1591.0,1450.0,1670.0
2002-02-28,20020320.0,1785.0,20020416.0,30.0,1769.0,58.0,1635.0,1640.0,1590.0,1720.0
2002-03-31,20020416.0,1644.0,20020516.0,35.0,1646.0,57.0,1700.0,1690.0,1550.0,1760.0
2002-04-30,20020516.0,1553.0,20020618.0,35.0,1555.0,58.0,1625.0,1635.0,1580.0,1725.0
