date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,19991216.0,15.1,20000120.0,3.1,8.6,25.0,14.0,14.02,8.8,22.0
2000-01-31,20000120.0,,,3.2,9.1,28.0,12.0,11.73,4.2,18.0
2000-02-29,20000217.0,,,2.4,13.3,27.0,12.0,11.04,5.0,15.0
2000-03-31,20000316.0,,,1.9,25.0,24.0,13.25,13.23,9.2,15.5
2000-04-30,20000420.0,,,3.1,12.8,24.0,20.0,19.17,13.1,27.5
2000-05-31,20000518.0,,,2.5,20.2,27.0,14.5,14.2,10.0,20.0
2000-06-30,20000615.0,,,3.9,1.7,28.0,14.0,14.1,4.0,24.0
2000-07-31,20000720.0,,,1.94,0.7,23.0,7.0,6.9,5.0,11.0
2000-08-31,20000817.0,,,4.2,14.1,25.0,5.0,4.3,-5.0,15.0
2000-09-30,20000921.0,,,3.9,8.2,26.0,8.0,8.7,3.0,20.0
2000-10-31,20001019.0,,,3.5,-3.8,26.0,6.5,7.04,0.0,15.0
2000-11-30,20001116.0,,,3.0,5.2,27.0,-1.0,-1.32,-6.0,5.0
2000-12-31,20001221.0,-4.2,20010118.0,3.4,-6.1,25.0,2.0,0.7,-5.0,5.0
2001-01-31,20010118.0,,,4.2,-36.8,26.0,-6.1,-6.53,-15.0,5.11
2001-02-28,20010215.0,,,6.9,-30.5,28.0,-28.0,-26.8,-40.0,-10.0
2001-03-31,20010315.0,,,4.5,-23.5,30.0,-25.0,-26.0,-40.0,-15.0
2001-04-30,20010419.0,,,3.2,-7.2,22.0,-20.0,-19.95,-28.0,-15.0
2001-05-31,20010517.0,,,3.5,-8.8,24.0,-7.8,-7.6899999999999995,-13.0,0.0
2001-06-30,20010621.0,,,3.7,-3.7,26.0,-10.0,-9.41,-15.0,0.0
2001-07-31,20010719.0,,,3.5,-12.2,27.0,-1.0,-1.3,-8.0,9.5
2001-08-31,20010816.0,,,3.4,-23.5,32.0,-10.0,-9.43,-18.0,-2.0
2001-09-30,20010920.0,,,4.9,-7.3,20.0,-15.0,-15.33,-30.0,-3.0
2001-10-31,20011018.0,,,5.9,-27.4,37.0,-15.0,-15.16,-40.0,-5.0
2001-11-30,20011115.0,,,5.8,-20.2,36.0,-25.0,-24.23,-35.0,-13.0
2001-12-31,20011220.0,-12.6,20020117.0,3.5,-5.5,28.0,-15.0,-15.15,-24.0,-10.0
2002-01-31,20020117.0,,,4.8,14.7,33.0,-2.0,-2.08,-12.5,10.0
2002-02-28,20020221.0,,,4.6,16.0,39.0,10.0,11.93,5.0,25.0
2002-03-31,20020321.0,,,2.8,11.4,37.0,18.0,17.58,12.0,22.0
2002-04-30,20020418.0,,,2.3,12.3,41.0,13.0,13.75,10.0,20.0
2002-05-31,20020516.0,,,1.9,9.1,42.0,12.0,12.56,8.2,18.0
2002-06-30,20020620.0,,,2.1,22.2,40.0,11.0,11.66,6.0,15.5
2002-07-31,20020718.0,,,2.6,6.6,37.0,17.5,16.96,10.0,25.0
2002-08-31,20020815.0,,,3.7,-3.1,42.0,8.0,7.04,-5.0,15.0
2002-09-30,20020919.0,,,2.6,2.3,46.0,2.0,1.94,-5.0,8.0
2002-10-31,20021017.0,,,4.6,-13.1,41.0,1.8,-0.11,-12.5,6.5
2002-11-30,20021121.0,,,6.0,6.1,48.0,0.0,-0.12,-15.0,10.0
2002-12-31,20021219.0,11.3,20030116.0,2.8,7.2,45.0,5.2,5.86,-3.0,12.0
2003-01-31,20030116.0,,,4.0,11.2,46.0,9.55,10.6,4.0,19.0
2003-02-28,20030220.0,,,3.3,2.3,47.0,9.0,8.18,1.2,15.0
2003-03-31,20030320.0,,,3.4,-8.0,50.0,-0.5,-0.26,-6.1,7.0
2003-04-30,20030417.0,,,6.8,-8.8,54.0,-10.0,-8.9,-21.0,3.0
2003-05-31,20030515.0,,,4.1,-4.8,48.0,-3.0,-2.39,-10.0,10.0
2003-06-30,20030619.0,,,4.8,4.0,53.0,5.0,5.71,-5.0,17.0
2003-07-31,20030717.0,,,2.9,8.3,48.0,7.0,6.9,-3.0,15.0
2003-08-31,20030821.0,,,2.1,22.1,48.0,10.0,10.23,4.8,15.0
2003-09-30,20030918.0,,,3.5,14.6,49.0,17.0,17.29,8.0,25.0
2003-10-31,20031016.0,,,3.9,28.0,52.0,16.0,16.4,7.0,30.0
2003-11-30,20031120.0,,,4.7,25.9,51.0,25.0,26.93,16.0,37.0
2003-12-31,20031218.0,30.3,20040115.0,3.4,32.1,50.0,25.0,25.4,17.0,37.7
2004-01-31,20040115.0,,,2.9,38.8,50.0,30.0,30.0,20.0,38.0
2004-02-29,20040219.0,,,2.9,31.4,51.0,35.0,35.08,27.0,41.8
2004-03-31,20040318.0,,,2.7,24.2,51.0,29.0,28.76,21.7,38.0
