date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2005-05-31,20050630.0,0.2,20050802.0,0.1,0.2,16.0,0.1,0.13,0.0,0.2
2005-06-30,20050802.0,0.0,20050901.0,,0.0,13.0,0.1,0.09,0.0,0.2
2005-07-31,20050901.0,0.1,20050930.0,0.1,0.1,9.0,0.1,0.1,0.0,0.2
2005-08-31,20050930.0,0.1,20051031.0,,0.2,15.0,0.1,0.11,0.1,0.2
2005-09-30,20051031.0,,,,0.2,6.0,0.1,0.13,0.1,0.2
2005-10-31,20051201.0,0.1,20051222.0,,0.1,14.0,0.2,0.18,0.1,0.2
2005-11-30,20051222.0,0.2,20060130.0,0.1,0.1,7.0,0.2,0.14,0.0,0.2
2005-12-31,20060130.0,,,,0.1,7.0,0.2,0.17,0.1,0.2
2006-01-31,20060301.0,,,,0.2,8.0,0.2,0.2,0.2,0.2
2006-02-28,20060331.0,,,,0.1,16.0,0.1,0.13,0.1,0.2
2006-03-31,20060501.0,,,,0.3,22.0,0.2,0.23,0.2,0.3
2006-04-30,20060526.0,,,,0.2,30.0,0.2,0.22,0.2,0.4
2006-05-31,20060630.0,,,,0.2,22.0,0.2,0.21,0.1,0.3
2006-06-30,20060801.0,,,,0.2,40.0,0.2,0.22,0.2,0.3
2006-07-31,20060831.0,,,0.1,0.1,51.0,0.2,0.18,0.0,0.3
2006-08-31,20060929.0,0.3,20061030.0,,0.2,45.0,0.2,0.19,0.1,0.2
2006-09-30,20061030.0,,,,0.2,33.0,0.2,0.2,0.1,0.2
2006-10-31,20061130.0,,,0.1,0.2,49.0,0.1,0.12,0.0,0.3
2006-11-30,20061222.0,,,0.1,0.0,51.0,0.1,0.11,0.0,0.2
2006-12-31,20070201.0,,,,0.1,48.0,0.2,0.17,0.1,0.3
2007-01-31,20070301.0,0.2,20070330.0,,0.3,50.0,0.2,0.23,0.2,0.3
2007-02-28,20070330.0,,,,0.3,56.0,0.2,0.23,0.2,0.3
2007-03-31,20070430.0,,,0.1,0.0,42.0,0.1,0.08,0.0,0.3
2007-04-30,20070601.0,,,,0.1,53.0,0.2,0.17,0.1,0.3
2007-05-31,20070629.0,,,,0.1,54.0,0.1,0.13,0.1,0.2
2007-06-30,20070731.0,0.2,20070831.0,,0.1,57.0,0.2,0.18,0.1,0.3
2007-07-31,20070831.0,,,,0.1,60.0,0.2,0.18,0.1,0.3
2007-08-31,20070928.0,,,,0.1,54.0,0.1,0.14,0.1,0.2
2007-09-30,20071101.0,,,,0.2,60.0,0.2,0.18,0.1,0.2
2007-10-31,20071130.0,,,,0.2,54.0,0.2,0.18,0.1,0.3
2007-11-30,20071221.0,,,0.1,0.2,52.0,0.2,0.21,0.1,0.3
2007-12-31,20080131.0,,,,0.2,55.0,0.2,0.2,0.2,0.3
2008-01-31,20080229.0,0.2,20080328.0,,0.3,48.0,0.3,0.25,0.2,0.3
2008-02-29,20080328.0,,,0.1,0.1,50.0,0.1,0.12,0.0,0.3
2008-03-31,20080501.0,,,,0.2,53.0,0.1,0.13,0.09,0.3
2008-04-30,20080530.0,0.2,20080627.0,,0.1,55.0,0.1,0.12,0.1,0.22
2008-05-31,20080627.0,0.2,20080804.0,0.1,0.1,53.0,0.2,0.2,0.1,0.5
2008-06-30,20080804.0,,,,0.3,45.0,0.2,0.22,0.1,0.3
2008-07-31,20080829.0,0.2,20080929.0,,0.3,52.0,0.3,0.28,0.2,0.3
2008-08-31,20080929.0,,,0.1,0.2,43.0,0.2,0.19,-0.1,0.3
2008-09-30,20081031.0,,,0.1,0.2,48.0,0.1,0.13,0.0,0.2
2008-10-31,20081126.0,,,0.1,0.0,44.0,0.0,0.03,-0.1,0.2
2008-11-30,20081224.0,,,0.1,0.0,45.0,0.0,0.03,-0.1,0.2
2008-12-31,20090202.0,,,,0.0,45.0,0.0,0.0,-0.1,0.1
2009-01-31,20090302.0,0.2,20090327.0,0.1,0.1,42.0,0.1,0.13,0.0,0.2
