date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2004-05-31,20040628.0,1.5,20040803.0,,1.6,2.0,,,,
2004-06-30,20040803.0,1.5,20040830.0,,1.5,5.0,1.7,1.6600000000000001,1.6,1.7
2004-07-31,20040830.0,1.4,20040930.0,0.1,1.5,7.0,1.5,1.528571,1.4,1.6
2004-08-31,20040930.0,,,,1.4,3.0,1.5,1.5,1.5,1.5
2004-09-30,20041101.0,,,,1.5,3.0,1.5,1.5,1.5,1.5
2004-10-31,20041201.0,,,0.1,1.5,9.0,1.4,1.455556,1.4,1.6
2004-11-30,20041223.0,1.6,20050131.0,,1.5,6.0,1.5,1.466667,1.4,1.5
2004-12-31,20050131.0,,,0.1,1.5,6.0,1.5,1.483333,1.3,1.6
2005-01-31,20050228.0,1.6,20050331.0,0.1,1.6,6.0,1.45,1.466667,1.4,1.6
2005-02-28,20050331.0,1.6,20050429.0,0.1,1.6,12.0,1.6,1.625,1.5,1.7
2005-03-31,20050429.0,1.7,20050527.0,0.2,1.7,12.0,1.7,1.7166670000000002,1.6,2.2
2005-04-30,20050527.0,1.5,20050630.0,,1.6,2.0,,,,
2005-05-31,20050630.0,2.0,20050802.0,0.1,1.6,8.0,1.7,1.6875,1.6,1.8
2005-06-30,20050802.0,1.9,20050901.0,0.1,1.9,8.0,1.65,1.7125,1.6,2.0
2005-07-31,20050901.0,1.9,20050930.0,0.1,1.8,7.0,1.9,1.9,1.8,2.0
2005-08-31,20050930.0,2.0,20051031.0,0.1,2.0,11.0,1.9,1.890909,1.8,2.0
2005-09-30,20051031.0,,,,2.0,5.0,1.9,1.94,1.9,2.0
2005-10-31,20051201.0,1.9,20051222.0,0.1,1.8,5.0,1.9,1.9,1.8,2.0
2005-11-30,20051222.0,1.9,20060130.0,,1.8,4.0,1.8,1.775,1.7,1.8
2005-12-31,20060130.0,,,,1.9,2.0,,,,
2006-01-31,20060301.0,1.8,20060331.0,0.6,1.8,6.0,1.8,1.516667,0.1,1.8
2006-02-28,20060331.0,,,0.1,1.8,10.0,1.7,1.72,1.5,1.8
2006-03-31,20060501.0,,,,2.0,12.0,1.9,1.883333,1.8,1.9
2006-04-30,20060526.0,,,,2.1,16.0,2.1,2.09375,2.0,2.2
2006-05-31,20060630.0,2.2,20060801.0,,2.1,11.0,2.1,2.118182,2.1,2.2
2006-06-30,20060801.0,2.3,20060831.0,0.1,2.4,7.0,2.3,2.228571,2.1,2.3
2006-07-31,20060831.0,2.3,20060929.0,,2.4,11.0,2.4,2.436364,2.4,2.5
2006-08-31,20060929.0,,,0.1,2.5,11.0,2.4,2.390909,2.3,2.5
2006-09-30,20061030.0,,,0.1,2.4,9.0,2.4,2.344444,2.0,2.4
2006-10-31,20061130.0,,,0.1,2.4,14.0,2.3,2.292857,2.2,2.4
2006-11-30,20061222.0,,,0.069597,2.2,16.0,2.3,2.3375,2.2,2.5
2006-12-31,20070201.0,,,0.1,2.2,13.0,2.3,2.269231,2.2,2.4
2007-01-31,20070301.0,2.2,20070330.0,0.1,2.3,6.0,2.3,2.283333,2.2,2.4
2007-02-28,20070330.0,,,,2.4,21.0,2.4,2.352381,2.3,2.4
2007-03-31,20070430.0,,,0.1,2.1,6.0,2.2,2.2,2.1,2.3
2007-04-30,20070601.0,,,0.1,2.0,18.0,2.1,2.061111,2.0,2.2
2007-05-31,20070629.0,2.0,20070731.0,0.1,1.9,24.0,1.9,1.925,1.8,2.2
2007-06-30,20070731.0,,,,1.9,30.0,1.9,1.916667,1.9,2.0
2007-07-31,20070831.0,,,,1.9,27.0,2.0,1.9666670000000002,1.9,2.0
2007-08-31,20070928.0,,,,1.8,23.0,1.8,1.8,1.7,1.9
2007-09-30,20071101.0,1.9,20071130.0,0.1,1.8,27.0,1.8,1.762963,1.7,1.9
2007-10-31,20071130.0,2.0,20071221.0,0.1,1.9,29.0,1.8,1.855172,1.8,2.0
2007-11-30,20071221.0,,,0.1,2.2,29.0,2.0,2.0,1.9,2.2
2007-12-31,20080131.0,,,,2.2,29.0,2.2,2.213793,2.2,2.4
2008-01-31,20080229.0,2.0,20080328.0,0.1,2.2,26.0,2.2,2.2,2.1,2.7
2008-02-29,20080328.0,,,0.1,2.0,30.0,2.1,2.14333,2.0,2.3
2008-03-31,20080501.0,2.2,20080530.0,0.1,2.1,27.0,2.0,2.02963,1.9,2.2
2008-04-30,20080530.0,2.2,20080627.0,0.1,2.1,34.0,2.1,2.11515,2.0,2.2
2008-05-31,20080627.0,2.2,20080804.0,0.1,2.1,27.0,2.2,2.15556,2.1,2.3
2008-06-30,20080804.0,,,,2.3,26.0,2.2,2.23077,2.2,2.3
2008-07-31,20080829.0,2.5,20080929.0,0.1,2.4,34.0,2.4,2.394118,2.2,2.5
2008-08-31,20080929.0,2.4,20081031.0,0.1,2.6,28.0,2.4,2.417857,2.2,2.6
2008-09-30,20081031.0,2.3,20081126.0,0.1,2.4,25.0,2.4,2.44,2.2,2.6
2008-10-31,20081126.0,2.0,20081224.0,0.1,2.1,26.0,2.2,2.226923,1.8,2.4
2008-11-30,20081224.0,,,0.1,1.9,23.0,2.0,1.978261,1.9,2.1
2008-12-31,20090202.0,,,0.1,1.7,21.0,1.7,1.714286,1.6,1.9
2009-01-31,20090302.0,1.7,20090327.0,0.1,1.6,22.0,1.6,1.609091,1.4,1.8
2009-02-28,20090327.0,,,0.1,1.8,25.0,1.6,1.6400000000000001,1.6,1.8
2009-03-31,20090430.0,,,0.1,1.8,25.0,1.8,1.788,1.6,1.9
2009-04-30,20090601.0,,,0.1,1.9,24.0,1.9,1.854167,1.7,1.9
2009-05-31,20090626.0,1.6,20090804.0,,1.8,24.0,1.8,1.8125,1.8,1.9
2009-06-30,20090804.0,,,0.3,1.5,28.0,1.7,1.660714,0.4,1.9
2009-07-31,20090828.0,,,0.1,1.4,28.0,1.4,1.360714,1.3,1.5
2009-08-31,20091001.0,,,,1.3,31.0,1.3,1.309677,1.2,1.4
2009-09-30,20091030.0,,,,1.3,32.0,1.3,1.30625,1.2,1.4
2009-10-31,20091125.0,,,0.1,1.4,29.0,1.4,1.375862,1.3,1.5
2009-11-30,20091223.0,,,0.1,1.4,30.0,1.5,1.516667,1.4,1.8
2009-12-31,20100201.0,,,0.2,1.5,26.0,1.5,1.5576919999999999,1.4,2.5
2010-01-31,20100301.0,1.5,20100329.0,0.1,1.4,22.0,1.4,1.390909,1.2,1.6
2010-02-28,20100329.0,,,,1.3,24.0,1.3,1.325,1.3,1.4
2010-03-31,20100503.0,,,0.1,1.3,26.0,1.3,1.296154,1.2,1.4
2010-04-30,20100528.0,,,0.1,1.2,21.0,1.1,1.13981,1.1,1.3
2010-05-31,20100628.0,1.5,20100803.0,0.1,1.3,20.0,1.15,1.145,1.0,1.2
2010-06-30,20100803.0,,,0.1,1.4,29.0,1.3,1.265517,1.2,1.5
2010-07-31,20100830.0,,,0.040786,1.4,23.0,1.4,1.408696,1.3,1.5
2010-08-31,20101001.0,1.3,20101101.0,0.044651,1.4,29.0,1.4,1.370517,1.3,1.4
2010-09-30,20101101.0,,,0.100565,1.2,21.0,1.3,1.319048,1.2,1.5
2010-10-31,20101124.0,0.8,20101223.0,0.1,0.9,33.0,1.0,0.993939,0.9,1.2
2010-11-30,20101223.0,,,0.160272,0.8,28.0,0.9,0.893571,0.1,1.0
2010-12-31,20110131.0,0.8,20110228.0,,0.7,25.0,0.8,0.784,0.7,0.8
2011-01-31,20110228.0,,,0.057616,0.8,27.0,0.8,0.796296,0.7,0.9
2011-02-28,20110328.0,,,0.041574,0.9,27.0,0.9,0.888889,0.8,1.0
2011-03-31,20110429.0,,,0.072406,0.9,21.0,0.9,0.90619,0.8,1.1
2011-04-30,20110527.0,1.1,20110627.0,0.18772,1.0,28.0,1.0,1.044286,0.9,2.0
2011-05-31,20110627.0,1.3,20110802.0,0.051346,1.2,29.0,1.1,1.133448,1.1,1.27
2011-06-30,20110802.0,1.4,20110829.0,0.04969,1.3,27.0,1.4,1.377778,1.3,1.5
2011-07-31,20110829.0,,,0.054397,1.6,34.0,1.5,1.457529,1.4,1.6
2011-08-31,20110930.0,1.7,20111028.0,0.081465,1.6,33.0,1.7,1.694242,1.3,1.8
2011-09-30,20111028.0,,,0.063399,1.6,32.0,1.7,1.7084380000000001,1.6,1.9
2011-10-31,20111123.0,,,0.032999,1.7,32.0,1.7,1.687188,1.6,1.7
2011-11-30,20111223.0,,,0.043037,1.7,25.0,1.7,1.7128,1.6,1.8
2011-12-31,20120130.0,1.9,20120301.0,0.050994,1.8,28.0,1.75,1.750821,1.7,1.823
2012-01-31,20120301.0,,,0.049429,1.9,30.0,1.8,1.840333,1.8,1.9100000000000001
2012-02-29,20120330.0,,,0.04969,1.9,27.0,1.9,1.855556,1.8,1.9
2012-03-31,20120430.0,,,0.082065,2.0,28.0,2.0,1.9571429999999999,1.8,2.1
2012-04-30,20120601.0,2.0,20120629.0,0.04996,1.9,25.0,1.9,1.948,1.9,2.0
2012-05-31,20120629.0,,,0.062099,1.8,23.0,1.8,1.830435,1.8,2.0
2012-06-30,20120731.0,,,0.055603,1.8,26.0,1.8,1.819231,1.7,1.9
2012-07-31,20120830.0,,,0.051839,1.6,29.0,1.7,1.727586,1.7,1.9
2012-08-31,20120928.0,,,0.040786,1.6,23.0,1.6,1.591304,1.5,1.7
2012-09-30,20121029.0,1.6,20121130.0,0.043911,1.7,23.0,1.7,1.673913,1.6,1.7
