date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2013-08-31,20130906.0,,,,63.2,,,,,
2013-09-30,20131022.0,,,,63.2,,,,,
2013-10-31,20131108.0,,,,62.8,,,,,
2013-11-30,20131206.0,,,,63.0,,,,,
2013-12-31,20140110.0,,,,62.8,,,,,
2014-01-31,20140207.0,,,,63.0,,,,,
2014-02-28,20140307.0,,,,63.0,,,,,
2014-03-31,20140404.0,,,,63.2,,,,,
2014-04-30,20140502.0,,,,62.8,,,,,
2014-05-31,20140606.0,,,,62.8,,,,,
2014-06-30,20140703.0,,,,62.8,,,,,
2014-07-31,20140801.0,,,,62.9,,,,,
2014-08-31,20140905.0,,,,62.8,,,,,
2014-09-30,20141003.0,,,,62.7,,,,,
2014-10-31,20141107.0,,,,62.8,1.0,,,,
2014-11-30,20141205.0,62.9,20150109.0,,62.8,1.0,,,,
2014-12-31,20150109.0,,,,62.7,1.0,,,,
2015-01-31,20150206.0,,,0.0,62.9,3.0,62.7,62.7,62.7,62.7
2015-02-28,20150306.0,,,0.0,62.8,3.0,62.9,62.9,62.9,63.0
2015-03-31,20150403.0,,,0.0,62.7,4.0,62.8,62.8,62.8,62.9
2015-04-30,20150508.0,,,,62.8,1.0,,,,
2015-05-31,20150605.0,,,,62.9,2.0,,,,
2015-06-30,20150702.0,,,0.0,62.6,3.0,62.9,62.9,62.8,62.9
2015-07-31,20150807.0,,,0.1,62.6,3.0,62.6,62.7,62.6,62.8
2015-08-31,20150904.0,,,0.1,62.6,4.0,62.7,62.7,62.6,62.7
2015-09-30,20151002.0,,,,62.4,2.0,,,,
2015-10-31,20151106.0,,,0.0,62.4,3.0,62.4,62.4,62.3,62.4
2015-11-30,20151204.0,,,0.0,62.5,3.0,62.4,62.4,62.4,62.5
2015-12-31,20160108.0,,,0.0,62.6,3.0,62.5,62.5,62.4,62.5
2016-01-31,20160205.0,,,0.0,62.7,3.0,62.7,62.7,62.6,62.7
2016-02-29,20160304.0,,,0.0,62.9,4.0,62.8,62.8,62.7,62.8
2016-03-31,20160401.0,,,0.0,63.0,3.0,62.9,62.9,62.9,62.9
2016-04-30,20160506.0,,,1.2,62.8,5.0,63.0,62.4,60.0,63.0
2016-05-31,20160603.0,,,,62.6,1.0,,,,
2016-06-30,20160708.0,,,,62.7,2.0,,,,
2016-07-31,20160805.0,,,,62.8,1.0,,,,
2016-08-31,20160902.0,,,,62.8,2.0,,,,
2016-09-30,20161007.0,,,,62.9,1.0,,,,
2016-10-31,20161104.0,,,,62.8,2.0,,,,
2016-11-30,20161202.0,62.6,20170106.0,,62.7,1.0,,,,
2016-12-31,20170106.0,,,,62.7,1.0,,,,
2017-01-31,20170203.0,,,,62.9,2.0,,,,
2017-02-28,20170310.0,,,,63.0,2.0,,,,
2017-03-31,20170407.0,,,,63.0,1.0,,,,
2017-04-30,20170505.0,,,,62.9,2.0,,,,
2017-05-31,20170602.0,,,0.0,62.7,3.0,62.9,62.9,62.9,63.0
2017-06-30,20170707.0,,,0.0,62.8,4.0,62.7,62.7,62.7,62.8
2017-07-31,20170804.0,,,,62.9,2.0,,,,
2017-08-31,20170901.0,,,,62.9,1.0,,,,
2017-09-30,20171006.0,,,0.0,63.1,3.0,62.9,62.9,62.9,62.9
2017-10-31,20171103.0,,,0.0,62.7,3.0,63.1,63.1,63.0,63.1
2017-11-30,20171208.0,,,,62.7,1.0,,,,
2017-12-31,20180105.0,,,,62.7,,,,,
2018-01-31,20180202.0,,,,62.7,2.0,,,,
2018-02-28,20180309.0,,,0.0,63.0,4.0,62.7,62.7,62.7,62.8
2018-03-31,20180406.0,,,,62.9,2.0,,,,
2018-04-30,20180504.0,,,0.1,62.8,4.0,63.0,62.9,62.8,63.0
2018-05-31,20180601.0,,,,62.7,2.0,,,,
2018-06-30,20180706.0,,,0.1,62.9,5.0,62.7,62.7,62.7,62.9
2018-07-31,20180803.0,,,,62.9,1.0,,,,
2018-08-31,20180907.0,,,,62.7,2.0,,,,
2018-09-30,20181005.0,,,0.0,62.7,4.0,62.7,62.7,62.7,62.8
2018-10-31,20181102.0,,,0.0,62.9,5.0,62.7,62.7,62.7,62.8
2018-11-30,20181207.0,,,0.0,62.9,5.0,62.9,62.9,62.9,63.0
2018-12-31,20190104.0,,,,63.1,2.0,,,,
2019-01-31,20190201.0,,,0.0,63.2,3.0,63.0,63.0,63.0,63.1
2019-02-28,20190308.0,,,0.0,63.2,3.0,63.2,63.2,63.1,63.2
2019-03-31,20190405.0,,,0.0,63.0,3.0,63.2,63.2,63.2,63.2
2019-04-30,20190503.0,,,0.1,62.8,4.0,63.0,63.0,62.9,63.1
2019-05-31,20190607.0,,,,62.8,2.0,,,,
