date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2011-12-31,20120112.0,-0.4,20120214.0,0.1,-0.2,11.0,0.3,0.3,0.1,0.5
2012-01-31,20120214.0,1.0,20120313.0,0.1,0.7,12.0,0.4,0.4,0.2,0.6
2012-02-29,20120313.0,,,0.2,0.5,17.0,0.5,0.5,0.3,1.2
2012-03-31,20120416.0,0.5,20120515.0,0.1,0.4,14.0,0.5,0.5,0.3,0.9
2012-04-30,20120515.0,0.1,20120613.0,0.2,0.4,17.0,0.3,0.3,-0.3,0.7
2012-05-31,20120613.0,,,0.2,0.0,14.0,0.3,0.3,0.0,0.5
2012-06-30,20120716.0,-0.2,20120814.0,0.2,-0.1,13.0,0.2,0.2,-0.2,0.4
2012-07-31,20120814.0,0.8,20120914.0,0.2,0.9,15.0,0.5,0.4,0.0,0.7
2012-08-31,20120914.0,0.1,20121015.0,0.2,-0.1,18.0,0.4,0.4,0.2,0.8
2012-09-30,20121015.0,,,0.2,0.9,16.0,0.4,0.4,0.2,0.9
2012-10-31,20121114.0,0.0,20121213.0,0.3,-0.1,22.0,0.4,0.3,-0.5,0.8
2012-11-30,20121213.0,,,0.2,0.5,19.0,0.3,0.3,-0.3,0.6
2012-12-31,20130115.0,0.7,20130213.0,0.3,0.6,24.0,0.3,0.3,-0.1,1.2
2013-01-31,20130213.0,0.3,20130313.0,0.3,0.1,22.0,0.3,0.2,-0.7,0.9
2013-02-28,20130313.0,0.3,20130412.0,0.3,0.4,23.0,0.2,0.2,-0.3,0.9
2013-03-31,20130412.0,0.1,20130513.0,0.2,-0.2,18.0,0.2,0.2,-0.1,0.5
2013-04-30,20130513.0,0.2,20130613.0,0.1,0.5,21.0,0.3,0.3,0.1,0.5
2013-05-31,20130613.0,0.2,20130715.0,0.2,0.3,22.0,0.3,0.3,0.1,0.6
2013-06-30,20130715.0,,,0.1,0.1,22.0,0.3,0.3,0.1,0.5
2013-07-31,20130813.0,,,0.2,0.5,19.0,0.4,0.4,0.2,0.8
2013-08-31,20130913.0,,,0.1,0.2,23.0,0.3,0.3,0.2,0.7
2013-09-30,20131029.0,0.3,20131120.0,0.1,0.5,26.0,0.4,0.4,0.2,0.7
2013-10-31,20131120.0,0.7,20131212.0,0.1,0.4,22.0,0.3,0.3,0.0,0.6
2013-11-30,20131212.0,0.2,20140114.0,0.2,0.5,21.0,0.3,0.2,-0.3,0.5
2013-12-31,20140114.0,0.3,20140213.0,0.1,0.7,20.0,0.3,0.3,0.0,0.6
2014-01-31,20140213.0,-0.6,20140313.0,0.1,-0.3,22.0,0.2,0.2,0.0,0.4
2014-02-28,20140313.0,0.4,20140414.0,0.2,0.3,22.0,0.2,0.3,-0.1,1.0
2014-03-31,20140414.0,1.3,20140513.0,0.1,0.8,17.0,0.5,0.5,0.3,0.8
2014-04-30,20140513.0,0.2,20140612.0,0.1,-0.1,20.0,0.5,0.5,0.2,0.7
2014-05-31,20140612.0,0.2,20140715.0,0.1,0.0,19.0,0.4,0.4,0.2,0.6
2014-06-30,20140715.0,0.5,20140813.0,0.1,0.6,21.0,0.5,0.5,0.1,0.8
2014-07-31,20140813.0,0.4,20140912.0,0.2,0.1,19.0,0.4,0.5,0.2,1.0
2014-08-31,20140912.0,,,0.1,0.4,24.0,0.5,0.5,0.3,0.7
2014-09-30,20141015.0,0.0,20141114.0,0.1,-0.2,26.0,0.4,0.4,0.2,0.6
2014-10-31,20141114.0,,,0.1,0.5,24.0,0.4,0.4,0.2,0.8
2014-11-30,20141211.0,,,0.1,0.6,24.0,0.5,0.5,0.3,0.6
2014-12-31,20150114.0,-0.3,20150212.0,0.2,-0.4,26.0,0.4,0.4,0.1,0.7
2015-01-31,20150212.0,-0.1,20150312.0,0.2,0.1,28.0,0.4,0.5,0.2,0.9
2015-02-28,20150312.0,-0.2,20150414.0,0.2,0.0,27.0,0.4,0.4,0.1,0.8
2015-03-31,20150414.0,0.5,20150513.0,0.2,0.3,24.0,0.5,0.5,0.1,0.8
2015-04-30,20150513.0,0.1,20150611.0,0.2,0.0,23.0,0.5,0.5,0.0,0.6
2015-05-31,20150611.0,,,0.2,0.7,27.0,0.5,0.5,0.1,1.1
2015-06-30,20150714.0,0.2,20150813.0,0.2,-0.1,24.0,0.3,0.3,-0.2,0.6
2015-07-31,20150813.0,0.6,20150915.0,0.2,0.3,25.0,0.5,0.5,0.1,0.8
2015-08-31,20150915.0,0.2,20151014.0,0.1,0.4,26.0,0.3,0.3,0.0,0.6
2015-09-30,20151014.0,0.1,20151113.0,0.1,-0.1,27.0,0.3,0.3,0.1,0.5
2015-10-31,20151113.0,,,0.1,0.2,26.0,0.4,0.3,0.1,0.6
2015-11-30,20151211.0,0.5,20160115.0,0.1,0.6,27.0,0.4,0.4,0.1,0.7
2015-12-31,20160115.0,,,0.2,-0.3,27.0,0.3,0.3,-0.5,0.8
2016-01-31,20160212.0,0.2,20160315.0,0.2,0.6,27.0,0.3,0.3,-0.1,0.6
2016-02-29,20160315.0,0.1,20160413.0,0.2,0.0,27.0,0.2,0.1,-0.2,0.4
2016-03-31,20160413.0,0.2,20160513.0,0.1,0.1,29.0,0.4,0.4,0.2,0.5
2016-04-30,20160513.0,1.0,20160614.0,0.1,0.9,30.0,0.4,0.4,0.1,0.6
2016-05-31,20160614.0,0.5,20160715.0,0.1,0.4,30.0,0.3,0.2,-0.2,0.5
2016-06-30,20160715.0,,,0.1,0.5,27.0,0.3,0.3,0.0,0.6
2016-07-31,20160812.0,-0.1,20160915.0,0.1,0.0,26.0,0.3,0.4,0.0,0.7
2016-08-31,20160915.0,-0.1,20161014.0,0.1,-0.1,26.0,0.4,0.3,0.1,0.6
2016-09-30,20161014.0,0.3,20161115.0,0.1,0.1,29.0,0.4,0.3,0.1,0.5
2016-10-31,20161115.0,0.6,20161214.0,0.1,0.8,27.0,0.4,0.4,0.2,0.7
2016-11-30,20161214.0,0.0,20170113.0,0.2,0.1,26.0,0.3,0.3,-0.1,0.5
2016-12-31,20170113.0,0.4,20170215.0,0.2,0.2,29.0,0.4,0.3,-0.5,0.6
2017-01-31,20170215.0,0.8,20170315.0,0.1,0.4,25.0,0.3,0.4,0.1,0.7
2017-02-28,20170315.0,-0.2,20170414.0,0.2,0.1,27.0,0.2,0.1,-0.3,0.5
2017-03-31,20170414.0,0.7,20170512.0,0.1,0.5,28.0,0.3,0.4,0.2,0.6
2017-04-30,20170512.0,0.6,20170614.0,0.1,0.2,26.0,0.4,0.4,0.2,0.7
2017-05-31,20170614.0,,,0.1,0.0,28.0,0.3,0.3,0.1,0.7
2017-06-30,20170714.0,0.1,20170815.0,0.1,-0.1,26.0,0.3,0.3,0.2,0.6
2017-07-31,20170815.0,,,0.1,0.6,30.0,0.4,0.4,0.2,0.6
2017-08-31,20170915.0,0.0,20171013.0,0.1,-0.2,29.0,0.2,0.2,-0.2,0.6
2017-09-30,20171013.0,0.5,20171115.0,0.2,0.4,30.0,0.4,0.4,0.1,0.8
2017-10-31,20171115.0,0.4,20171214.0,0.1,0.3,28.0,0.3,0.3,0.2,0.5
2017-11-30,20171214.0,1.4,20180112.0,0.1,0.8,31.0,0.4,0.4,0.1,0.7
2017-12-31,20180112.0,-0.2,20180214.0,0.2,0.3,26.0,0.4,0.4,-0.2,0.7
2018-01-31,20180214.0,,,0.1,0.0,27.0,0.4,0.4,0.0,0.6
2018-02-28,20180314.0,0.0,20180416.0,0.1,0.1,27.0,0.4,0.4,0.1,0.7
2018-03-31,20180416.0,0.5,20180515.0,0.1,0.4,23.0,0.4,0.4,0.2,0.6
2018-04-30,20180515.0,0.6,20180614.0,0.1,0.4,28.0,0.4,0.4,0.1,0.6
2018-05-31,20180614.0,0.8,20180716.0,0.1,0.5,26.0,0.4,0.4,0.2,0.7
2018-06-30,20180716.0,-0.1,20180815.0,0.1,0.0,25.0,0.4,0.4,0.2,0.7
2018-07-31,20180815.0,0.8,20180914.0,0.1,0.5,27.0,0.4,0.4,0.2,0.6
2018-08-31,20180914.0,0.0,20181015.0,0.1,0.1,26.0,0.4,0.4,0.2,0.8
2018-09-30,20181015.0,0.3,20181115.0,0.1,0.5,27.0,0.4,0.4,0.2,0.6
2018-10-31,20181115.0,0.7,20181214.0,0.1,0.3,27.0,0.4,0.4,-0.2,0.7
2018-11-30,20181214.0,1.0,20190214.0,0.2,0.9,31.0,0.4,0.5,0.1,1.1
