date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2009-10-31,20091110.0,,,,89.1,,,,,
2009-11-30,20091208.0,,,,88.3,1.0,,,,
2009-12-31,20100112.0,,,,88.0,1.0,,,,
2010-01-31,20100209.0,,,,89.3,,,,,
2010-02-28,20100309.0,,,0.1,88.0,3.0,90.0,90.1,90.0,90.2
2010-03-31,20100413.0,,,0.9,86.8,6.0,89.2,89.4,88.0,91.0
2010-04-30,20100511.0,,,0.6,90.6,4.0,87.1,87.4,87.0,88.5
2010-05-31,20100608.0,,,0.2,92.2,5.0,91.0,90.7,88.9,91.5
2010-06-30,20100713.0,,,1.8,89.0,4.0,91.2,92.0,90.5,95.0
2010-07-31,20100810.0,,,2.2,88.1,5.0,88.0,88.2,85.0,92.0
2010-08-31,20100914.0,,,1.4,88.8,9.0,89.0,88.1,85.0,89.0
2010-09-30,20101012.0,,,1.0,89.0,4.0,89.6,89.1,87.5,90.0
2010-10-31,20101109.0,,,0.5,91.7,9.0,90.0,90.1,89.0,91.0
2010-11-30,20101214.0,,,0.8,93.2,6.0,92.3,92.2,91.0,93.0
2010-12-31,20110111.0,,,0.5,92.6,8.0,94.5,94.4,93.5,95.0
2011-01-31,20110208.0,,,0.7,94.1,12.0,94.0,94.1,93.0,96.0
2011-02-28,20110308.0,,,0.9,94.5,13.0,95.0,95.3,93.3,97.0
2011-03-31,20110412.0,,,1.1,91.9,15.0,95.0,94.6,92.5,96.0
2011-04-30,20110510.0,,,1.8,91.2,10.0,91.8,91.8,89.0,95.8
2011-05-31,20110614.0,,,0.9,90.9,11.0,90.5,90.4,89.0,92.0
2011-06-30,20110712.0,,,0.9,90.8,7.0,91.2,90.9,89.0,91.7
2011-07-31,20110809.0,,,0.5,89.9,11.0,89.9,89.8,89.0,91.0
2011-08-31,20110913.0,,,1.8,88.1,11.0,88.0,88.4,86.0,91.0
2011-09-30,20111011.0,,,0.7,88.9,8.0,88.8,88.6,87.5,89.7
2011-10-31,20111108.0,,,0.9,90.2,9.0,90.0,89.4,88.0,90.3
2011-11-30,20111213.0,,,0.8,92.0,11.0,91.5,91.5,89.5,93.0
2011-12-31,20120110.0,,,1.1,93.8,9.0,93.8,93.7,92.5,96.0
2012-01-31,20120214.0,,,0.6,93.9,10.0,95.0,95.1,94.3,96.5
2012-02-29,20120313.0,,,0.7,94.3,13.0,94.5,94.4,93.0,95.1
2012-03-31,20120410.0,,,0.5,92.5,10.0,95.0,94.7,94.0,95.5
2012-04-30,20120508.0,,,0.6,94.5,13.0,93.0,92.7,91.5,93.6
2012-05-31,20120612.0,,,0.8,94.4,12.0,94.0,94.1,93.0,96.0
2012-06-30,20120710.0,,,0.9,91.4,12.0,93.3,93.2,91.5,94.5
2012-07-31,20120814.0,,,1.2,91.2,11.0,91.6,91.6,89.0,94.0
2012-08-31,20120911.0,,,0.6,92.9,12.0,91.4,91.3,90.0,92.5
2012-09-30,20121009.0,,,0.6,92.8,11.0,93.5,93.4,92.0,94.0
2012-10-31,20121113.0,,,0.8,93.1,12.0,93.0,92.8,91.5,94.0
2012-11-30,20121211.0,,,0.6,87.5,13.0,92.5,92.6,91.0,93.5
2012-12-31,20130108.0,,,1.5,88.0,13.0,87.2,87.4,84.0,89.5
2013-01-31,20130212.0,,,0.8,88.9,14.0,89.0,89.1,87.0,90.0
2013-02-28,20130312.0,,,1.1,90.8,15.0,90.0,89.8,87.0,91.0
2013-03-31,20130409.0,,,1.1,89.5,15.0,89.8,89.9,88.0,92.0
2013-04-30,20130514.0,,,0.9,92.1,14.0,90.3,90.2,89.0,92.0
2013-05-31,20130611.0,,,0.8,94.4,14.0,92.1,92.1,91.0,94.0
2013-06-30,20130709.0,,,0.6,93.5,16.0,94.9,94.6,93.5,95.5
2013-07-31,20130813.0,,,0.7,94.1,12.0,94.5,94.6,93.3,96.0
2013-08-31,20130910.0,94.1,20131008.0,0.5,94.0,15.0,95.0,94.8,93.5,95.5
2013-09-30,20131008.0,,,0.8,93.9,16.0,94.3,94.1,92.5,95.0
2013-10-31,20131112.0,,,0.7,91.6,12.0,93.5,93.4,92.0,95.0
2013-11-30,20131210.0,,,0.6,92.5,15.0,92.6,92.5,91.5,93.5
2013-12-31,20140114.0,,,0.5,93.9,17.0,93.1,93.3,92.5,94.0
2014-01-31,20140211.0,,,0.7,94.1,21.0,93.9,93.8,92.5,95.0
2014-02-28,20140311.0,,,0.6,91.4,16.0,93.8,93.8,93.0,95.0
2014-03-31,20140408.0,,,0.7,93.4,16.0,92.5,92.5,90.5,93.2
2014-04-30,20140513.0,,,0.5,95.2,18.0,94.5,94.5,93.4,95.2
2014-05-31,20140610.0,,,0.7,96.6,16.0,95.8,95.7,94.0,96.5
2014-06-30,20140708.0,,,0.4,95.0,16.0,97.0,97.1,96.0,98.0
2014-07-31,20140812.0,,,0.5,95.7,16.0,96.0,95.9,95.0,97.0
2014-08-31,20140909.0,,,0.4,96.1,22.0,96.0,96.2,95.5,97.0
2014-09-30,20141014.0,,,0.5,95.3,17.0,95.8,95.7,95.0,96.5
2014-10-31,20141111.0,,,0.6,96.1,21.0,96.0,95.6,94.0,96.5
2014-11-30,20141209.0,,,0.5,98.1,20.0,96.5,96.5,96.0,97.5
2014-12-31,20150113.0,,,1.1,100.4,19.0,98.5,98.2,96.0,99.5
2015-01-31,20150210.0,,,1.1,97.9,22.0,101.0,101.2,99.0,105.0
2015-02-28,20150310.0,,,0.7,98.0,22.0,98.9,98.5,97.0,100.0
2015-03-31,20150414.0,,,0.7,95.2,19.0,98.0,98.0,97.0,99.2
2015-04-30,20150512.0,,,0.8,96.9,19.0,96.0,96.2,94.8,98.0
2015-05-31,20150609.0,,,0.6,98.3,19.0,97.2,97.3,96.0,98.0
2015-06-30,20150714.0,,,0.7,94.1,21.0,98.5,98.3,97.0,99.2
2015-07-31,20150811.0,,,0.6,95.4,20.0,95.4,95.5,94.5,97.0
2015-08-31,20150908.0,,,0.6,95.9,17.0,96.0,95.7,94.0,96.5
2015-09-30,20151013.0,,,0.7,96.1,21.0,95.5,95.4,94.0,96.5
2015-10-31,20151110.0,,,0.6,96.1,20.0,96.4,96.4,95.0,97.5
2015-11-30,20151208.0,,,0.6,94.8,20.0,96.4,96.1,95.0,97.0
2015-12-31,20160112.0,,,0.7,95.2,21.0,95.0,95.1,93.6,96.0
2016-01-31,20160209.0,,,0.7,93.9,22.0,94.5,94.5,93.0,96.0
2016-02-29,20160308.0,,,0.6,92.9,19.0,94.0,93.9,92.4,94.6
2016-03-31,20160412.0,,,0.7,92.6,17.0,93.5,93.4,92.0,94.5
2016-04-30,20160510.0,,,0.4,93.6,17.0,93.0,93.2,92.5,94.0
2016-05-31,20160614.0,,,0.5,93.8,18.0,93.6,93.4,92.2,94.0
2016-06-30,20160712.0,,,0.5,94.5,18.0,93.9,93.7,93.0,94.5
2016-07-31,20160809.0,,,0.6,94.6,17.0,94.5,94.5,93.2,95.3
2016-08-31,20160913.0,,,0.4,94.4,16.0,94.8,94.7,94.0,96.0
2016-09-30,20161011.0,,,0.9,94.1,13.0,95.0,95.0,94.0,97.7
2016-10-31,20161108.0,,,0.5,94.9,19.0,94.1,94.2,93.5,95.3
2016-11-30,20161213.0,,,0.6,98.4,17.0,96.7,96.6,95.5,98.0
2016-12-31,20170110.0,,,0.7,105.8,16.0,99.5,99.5,98.0,101.0
2017-01-31,20170214.0,,,0.9,105.9,19.0,105.0,104.7,103.0,106.5
2017-02-28,20170314.0,,,0.9,105.3,18.0,105.6,105.5,102.5,106.5
2017-03-31,20170411.0,,,0.9,104.7,18.0,104.7,104.6,102.5,107.0
2017-04-30,20170509.0,,,1.0,104.5,17.0,104.0,104.1,102.0,105.5
2017-05-31,20170613.0,,,0.5,104.5,15.0,104.5,104.4,103.5,105.0
2017-06-30,20170711.0,,,0.7,103.6,15.0,104.4,104.2,103.0,105.0
2017-07-31,20170808.0,,,1.0,105.2,17.0,103.5,103.4,101.0,105.0
2017-08-31,20170912.0,,,0.4,105.3,12.0,104.8,104.7,104.0,105.5
2017-09-30,20171010.0,,,0.7,103.0,17.0,105.0,104.8,103.0,106.0
2017-10-31,20171114.0,,,0.8,103.8,16.0,104.0,104.0,102.0,105.0
2017-11-30,20171212.0,,,0.8,107.5,14.0,104.0,104.2,102.0,106.0
2017-12-31,20180109.0,,,1.3,104.9,12.0,107.8,107.6,105.0,110.0
2018-01-31,20180213.0,,,1.2,106.9,17.0,105.3,105.3,102.0,107.0
2018-02-28,20180313.0,,,0.7,107.6,17.0,107.1,107.2,106.0,108.5
2018-03-31,20180410.0,,,0.6,104.7,15.0,107.0,107.0,106.0,108.0
2018-04-30,20180508.0,,,0.7,104.8,18.0,104.5,104.5,103.0,106.0
2018-05-31,20180612.0,,,0.7,107.8,16.0,105.0,104.8,103.0,106.0
2018-06-30,20180710.0,,,1.2,107.2,17.0,106.9,106.8,105.0,109.0
2018-07-31,20180814.0,,,0.5,107.9,19.0,106.8,106.7,105.8,107.5
2018-08-31,20180911.0,,,0.5,108.8,19.0,108.0,108.0,107.0,109.0
2018-09-30,20181009.0,,,0.6,107.9,16.0,108.3,108.4,107.8,110.0
2018-10-31,20181113.0,,,0.4,107.4,20.0,108.0,107.7,106.9,108.3
2018-11-30,20181211.0,,,0.9,104.8,14.0,107.0,106.8,104.0,107.7
2018-12-31,20190108.0,,,1.4,104.4,17.0,103.0,103.7,102.0,106.0
2019-01-31,20190212.0,,,1.3,101.2,19.0,103.0,102.9,100.0,105.0
2019-02-28,20190312.0,,,0.9,101.7,15.0,102.5,102.5,100.5,104.4
2019-03-31,20190409.0,,,0.8,101.8,20.0,102.0,101.9,100.5,103.0
2019-04-30,20190514.0,,,1.1,103.5,19.0,102.0,102.2,100.0,105.0
2019-05-31,20190611.0,,,1.2,105.0,19.0,102.0,102.0,100.0,105.0
