date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2009-05-31,20090701.0,5.4,20090804.0,2.3,4.6,,,,,
2009-06-30,20090804.0,,,,9.2,1.0,,,,
2009-07-31,20090901.0,,,,12.9,2.0,,,,
2009-08-31,20091001.0,,,,12.1,1.0,,,,
2009-09-30,20091102.0,,,,19.8,,,,,
2009-10-31,20091201.0,28.7,20100105.0,,28.6,,,,,
2009-11-30,20100105.0,18.9,20100202.0,2.6,19.3,3.0,31.0,32.53,30.4,36.2
2009-12-31,20100202.0,9.2,20100304.0,2.6,10.5,,,,,
2010-01-31,20100304.0,8.6,20100405.0,,8.8,1.0,,,,
2010-02-28,20100405.0,17.4,20100504.0,,17.3,,,,,
2010-03-31,20100504.0,25.4,20100602.0,1.4,23.5,4.0,19.45,19.35,17.3,21.2
2010-04-30,20100602.0,,,1.9,24.6,4.0,20.15,19.83,17.0,22.0
2010-05-31,20100701.0,,,,-15.6,1.0,,,,
2010-06-30,20100803.0,-20.3,20100902.0,,-20.1,,,,,
2010-07-31,20100902.0,-20.7,20101004.0,,-20.1,1.0,,,,
2010-08-31,20101004.0,,,,-18.4,,,,,
2010-09-30,20101105.0,,,,-24.9,,,,,
2010-10-31,20101202.0,-22.6,20101230.0,,-22.4,1.0,,,,
2010-11-30,20101230.0,-2.8,20110127.0,,-2.4,2.0,,,,
2010-12-31,20110127.0,-3.3,20110228.0,,-3.6,,,,,
2011-01-31,20110228.0,,,,-4.4,2.0,,,,
2011-02-28,20110328.0,-10.5,20110428.0,,-9.3,,,,,
2011-03-31,20110428.0,-12.9,20110527.0,,-11.5,2.0,,,,
2011-04-30,20110527.0,-26.6,20110629.0,,-26.8,2.0,,,,
2011-05-31,20110629.0,,,,15.5,1.0,,,,
2011-06-30,20110728.0,,,2.46,17.3,6.0,14.65,15.75,14.1,21.1
2011-07-31,20110829.0,,,2.34,10.1,7.0,13.6,14.27,11.8,18.7
2011-08-31,20110929.0,,,0.87,13.1,8.0,6.43,6.8,5.7,8.5
2011-09-30,20111027.0,,,1.35,7.9,7.0,12.6,12.16,10.8,14.7
2011-10-31,20111130.0,,,,7.3,2.0,,,,
2011-11-30,20111229.0,,,,6.9,1.0,,,,
2011-12-31,20120125.0,,,,4.4,2.0,,,,
2012-01-31,20120227.0,,,0.82,10.3,4.0,10.69,10.72,9.6,11.9
